,nom_directors,ID_directors,STARmeter_directors,recompenses_directors,carriere_duree_directors,films_series_directors
95,JaneCampion,nm0001005,10618.0,6.0,39.0,21.0
96,NickCassavetes,nm0001024,4265.0,0.0,39.0,53.0
97,ClaudeChabrol,nm0001031,15338.0,3.0,54.0,104.0
98,EthanCoen,nm0001053,1071.0,13.0,40.0,28.0
99,JoelCoen,nm0001054,1383.0,15.0,43.0,30.0
100,ChrisColumbus,nm0001060,5923.0,0.0,40.0,28.0
101,SofiaCoppola,nm0001068,1242.0,7.0,52.0,40.0
102,CameronCrowe,nm0001081,7166.0,2.0,41.0,20.0
103,JohnDahl,nm0001093,16488.0,3.0,32.0,51.0
104,CharlesDance,nm0001097,2300.0,0.0,43.0,109.0
105,JoeDante,nm0001102,9340.0,1.0,52.0,71.0
106,AndrewDavis,nm0001112,12016.0,0.0,39.0,16.0
107,BenicioDelToro,nm0001125,1323.0,6.0,37.0,64.0
108,JonathanDemme,nm0001129,6488.0,3.0,46.0,49.0
109,TedDemme,nm0001130,25047.0,0.0,9.0,14.0
110,TomDiCillo,nm0001139,30545.0,3.0,41.0,18.0
111,RichardDonner,nm0001149,7980.0,0.0,60.0,36.0
112,GriffinDunne,nm0001162,3572.0,1.0,49.0,89.0
113,NoraEphron,nm0001188,7384.0,1.0,39.0,12.0
114,RainerWernerFassbinder,nm0001202,9446.0,2.0,17.0,70.0
115,AbelFerrara,nm0001206,8542.0,1.0,52.0,53.0
116,GaryFleder,nm0001219,27590.0,2.0,34.0,41.0
117,JamesFoley,nm0001226,14279.0,0.0,34.0,26.0
118,MilosForman,nm0001232,7780.0,10.0,55.0,36.0
119,StephenFrears,nm0001241,8668.0,6.0,55.0,63.0
120,WilliamFriedkin,nm0001243,5407.0,3.0,58.0,48.0
121,BobcatGoldthwait,nm0001281,3025.0,0.0,35.0,32.0
122,TonyGoldwyn,nm0001282,1204.0,0.0,37.0,73.0
123,RennyHarlin,nm0001317,5092.0,0.0,44.0,37.0
124,ToddHaynes,nm0001331,3844.0,2.0,46.0,25.0
125,BrianHelgeland,nm0001338,7685.0,2.0,35.0,8.0
126,WernerHerzog,nm0001348,1787.0,9.0,61.0,120.0
127,WalterHill,nm0001353,7194.0,2.0,53.0,27.0
128,MichaelHoffman,nm0001355,28012.0,0.0,39.0,14.0
129,TobeHooper,nm0001361,12071.0,0.0,43.0,32.0
130,PeterHyams,nm0001382,16287.0,0.0,49.0,22.0
131,PeterJackson,nm0001392,1705.0,13.0,45.0,36.0
132,AngelinaJolie,nm0001401,339.0,7.0,41.0,69.0
133,NeilJordan,nm0001403,10352.0,4.0,39.0,28.0
134,JanuszKaminski,nm0001405,18090.0,3.0,31.0,7.0
135,ShekharKapur,nm0001408,13540.0,0.0,38.0,27.0
136,LawrenceKasdan,nm0001410,12436.0,1.0,43.0,19.0
137,TakeshiKitano,nm0001429,9360.0,3.0,41.0,61.0
138,EmirKusturica,nm0001437,12705.0,8.0,45.0,47.0
139,NeilLaBute,nm0001438,20838.0,2.0,35.0,25.0
