,nom_directors,ID_directors,STARmeter_directors,recompenses_directors,carriere_duree_directors,films_series_directors
1396,ClarkJohnson,nm0424800,13384.0,0.0,42.0,99.0
1397,DukeJohnson,nm0425004,1522337.0,0.0,6.0,4.0
1398,MarkStevenJohnson,nm0425756,23804.0,0.0,28.0,11.0
1399,MikeJohnson,nm0425840,11676054.0,0.0,28.0,6.0
1401,NiallJohnson,nm0425894,87268.0,0.0,26.0,5.0
1402,RianJohnson,nm0426059,3642.0,5.0,27.0,15.0
1403,TimJohnson,nm0426333,68052.0,1.0,21.0,7.0
1404,PierreJolivet,nm0427136,138086.0,2.0,63.0,26.0
1405,MichaelB.Jordan,nm0430107,1216.0,0.0,26.0,59.0
1406,KhalilJoreige,nm0430307,1275167.0,1.0,22.0,9.0
1407,KaroleRocher,nm0430629,73404.0,0.0,27.0,40.0
1408,EdouardJoubeaud,nm0431040,665293.0,0.0,0.0,3.0
1409,ThierryJousse,nm0431185,4613412.0,0.0,25.0,8.0
1410,SamuelJouy,nm0431221,123878.0,1.0,24.0,37.0
1411,EricJudor,nm0431956,68504.0,1.0,25.0,40.0
1412,GerardJugnot,nm0432040,40990.0,1.0,51.0,128.0
1413,MirandaJuly,nm0432380,15234.0,3.0,24.0,16.0
1414,K.V.Anand,nm0433895,73124.0,0.0,19.0,7.0
1415,RomanKachanov,nm0434152,491969.0,0.0,30.0,2.0
1416,CedricKahn,nm0434806,46644.0,3.0,34.0,39.0
1417,KenjiKamiyama,nm0436784,13218.0,0.0,21.0,16.0
1418,MischaKamp,nm0436899,172436.0,0.0,9.0,6.0
1419,KangJe-kyu,nm0437625,135690.0,0.0,19.0,6.0
1420,PascalKane,nm0438051,7244890.0,0.0,37.0,22.0
1421,AsifKapadia,nm0438090,26923.0,5.0,25.0,19.0
1422,YvetteKaplan,nm0438394,268996.0,0.0,21.0,7.0
1423,SamKarmann,nm0439748,207836.0,3.0,42.0,71.0
1424,JakeKasdan,nm0440458,16026.0,0.0,38.0,30.0
1425,AnuragKashyap,nm0440604,13462.0,1.0,19.0,30.0
1426,MathieuKassovitz,nm0440913,5990.0,11.0,46.0,80.0
1427,SunaoKatabuchi,nm0441090,185382.0,1.0,16.0,6.0
1428,PhilipKaufman,nm0442241,14990.0,1.0,58.0,15.0
1429,AkiKaurismaki,nm0442454,3614.0,4.0,37.0,49.0
1430,MikaKaurismaki,nm0442455,36886.0,0.0,38.0,36.0
1431,NaomiKawase,nm0442905,44704.0,3.0,33.0,43.0
1432,TonyKaye,nm0443411,14446.0,5.0,23.0,15.0
1433,ClayKaytis,nm0443505,112094.0,0.0,18.0,6.0
1434,StephaneKazandjian,nm0443592,426232.0,0.0,22.0,5.0
1435,AbdellatifKechiche,nm0444244,21933.0,26.0,39.0,22.0
1436,SalimKechiouche,nm0444248,44483.0,0.0,27.0,49.0
1437,NietzchkaKeene,nm0444729,273228.0,0.0,0.0,2.0
1438,RichardKelly,nm0446819,8422.0,1.0,34.0,12.0
1439,RobertKenner,nm0448422,172973.0,0.0,33.0,6.0
1440,JamesKent,nm0448757,77088.0,0.0,27.0,17.0
1441,JenniferKent,nm0448768,15816.0,5.0,23.0,8.0
1442,PeterKerekes,nm0449272,272567.0,1.0,27.0,7.0
1443,EtgarKeret,nm0449316,405913.0,2.0,15.0,5.0
1444,YannickKergoat,nm0449323,372759.0,3.0,24.0,2.0
1445,LilianedeKermadec,nm0449394,268566.0,0.0,55.0,9.0
1446,LodgeKerrigan,nm0449868,65096.0,2.0,23.0,14.0
1447,AlekKeshishian,nm0450194,108879.0,0.0,21.0,4.0
1448,MichaelKeusch,nm0450661,189377.0,0.0,20.0,26.0
1449,MamaKeita,nm0450952,12044232.0,0.0,23.0,6.0
1450,FranckKhalfoun,nm0451076,48659.0,0.0,31.0,12.0
1451,MichelKhleifi,nm0451674,216272.0,0.0,34.0,15.0
1452,EricKhoo,nm0451799,127424.0,1.0,29.0,14.0
1453,CallieKhouri,nm0451884,27339.0,2.0,30.0,6.0
1454,AbbasKiarostami,nm0452102,9503.0,3.0,46.0,50.0
1455,SandrineKiberlain,nm0452161,22852.0,4.0,38.0,79.0
1456,BeebanKidron,nm0452319,56113.0,0.0,29.0,11.0
1457,StephenKijak,nm0452772,157694.0,0.0,14.0,11.0
1458,YasuhitoKikuchi,nm0452858,511889.0,0.0,0.0,3.0
1459,KimKi-duk,nm0453580,205208.0,4.0,23.0,28.0
1460,MichaelPatrickKing,nm0455078,35136.0,0.0,23.0,12.0
1461,RyuheiKitamura,nm0457565,26599.0,2.0,20.0,17.0
1462,CedricKlapisch,nm0458251,33998.0,8.0,39.0,32.0
1463,SaarKlein,nm0458964,139506.0,1.0,23.0,0.0
1464,ReinhardKlooss,nm0459996,258373.0,0.0,28.0,6.0
1465,NicolasKlotz,nm0460120,274505.0,0.0,35.0,28.0
1466,MasahiroKobayashi,nm0462029,426220.0,0.0,15.0,9.0
1467,TsuneoKobayashi,nm0462076,926197.0,0.0,2.0,0.0
1468,DavidKoepp,nm0462895,10470.0,1.0,36.0,12.0
1469,MarkKoetsier,nm0462988,303065.0,0.0,0.0,2.0
1470,SandraKogut,nm0463156,1018964.0,0.0,19.0,6.0
1471,MasayukiKojima,nm0463628,185575.0,0.0,22.0,10.0
1472,BorisKolar,nm0463841,372616.0,0.0,0.0,0.0
1473,EranKolirin,nm0464115,187579.0,3.0,22.0,5.0
1474,StephanKomandarev,nm0464526,111232.0,0.0,15.0,8.0
1475,SatoshiKon,nm0464804,11176.0,0.0,19.0,8.0
1476,MartinKoolhoven,nm0465551,51217.0,0.0,18.0,9.0
1477,PierreKoralnik,nm0466010,415264.0,0.0,37.0,13.0
1478,BaltasarKormakur,nm0466349,13707.0,2.0,31.0,36.0
1479,KitaroKosaka,nm0466901,285531.0,0.0,34.0,2.0
1480,VictorKossakovsky,nm0467285,57015.0,0.0,30.0,6.0
1481,PhilippeKotlarski,nm0467726,12643458.0,0.0,18.0,2.0
1482,AndrewKotting,nm0467836,260898.0,0.0,22.0,9.0
1483,JanKounen,nm0468007,60709.0,2.0,34.0,29.0
1484,DaniKouyate,nm0468125,1212529.0,0.0,30.0,9.0
1485,LechKowalski,nm0468627,389731.0,0.0,40.0,20.0
1486,DamjanKozole,nm0468995,195555.0,0.0,12.0,6.0
1487,GermanKral,nm0469378,412944.0,0.0,21.0,5.0
1488,WayneKramer,nm0469694,34516.0,1.0,16.0,11.0
1489,LarsKraume,nm0470081,175528.0,1.0,20.0,24.0
1490,ChrisKraus,nm0470098,171410.0,0.0,21.0,7.0
1491,RonKrauss,nm0470323,85436.0,0.0,14.0,4.0
1492,GerardKrawczyk,nm0470443,131402.0,0.0,37.0,20.0
1493,LenardFritzKrawinkel,nm0470465,919677.0,0.0,13.0,4.0
1494,NicoletteKrebitz,nm0470514,23063.0,0.0,37.0,44.0
1495,MarcoKreuzpaintner,nm0471086,40706.0,0.0,24.0,19.0
1496,SoniaKronlund,nm0472196,305682.0,0.0,25.0,3.0
1497,RogerKumble,nm0474955,19488.0,0.0,26.0,31.0
1498,KiyoshiKurosawa,nm0475905,11201.0,3.0,46.0,57.0
1499,DianeKurys,nm0476123,139385.0,2.0,46.0,26.0
1500,KarynKusama,nm0476201,10504.0,1.0,23.0,24.0
1501,CoreyYuen,nm0477035,39726.0,0.0,37.0,34.0
1502,KenKwapis,nm0477129,25540.0,0.0,34.0,32.0
1503,DagurKari,nm0477597,92123.0,0.0,19.0,6.0
1504,JacquesKebadian,nm0477727,1899121.0,0.0,55.0,16.0
1505,UlrichKohler,nm0477823,113011.0,1.0,17.0,6.0
1506,KarstenKiilerich,nm0478172,734463.0,0.0,30.0,11.0
1507,BruceLaBruce,nm0478418,25448.0,0.0,29.0,20.0
1508,JeanneLabrune,nm0479738,721373.0,0.0,33.0,16.0
1509,PierreLacan,nm0479807,701128.0,0.0,28.0,10.0
1510,StephanLacant,nm0479810,126392.0,0.0,0.0,12.0
1511,DavidLaChapelle,nm0479999,105197.0,0.0,4.0,5.0
1512,EdieLaconi,nm0480215,1630374.0,0.0,10.0,4.0
1513,PascalLaethier,nm0480690,8968788.0,0.0,0.0,2.0
1514,GabrielJulien-Laferriere,nm0480768,417707.0,0.0,30.0,13.0
1515,AxelleLaffont,nm0480831,75321.0,0.0,29.0,39.0
1516,LaurentLafitte,nm0480850,20113.0,0.0,31.0,59.0
1517,StephaneLafleur,nm0480894,259459.0,1.0,20.0,5.0
1518,RichardLaGravenese,nm0481418,28974.0,0.0,34.0,14.0
1519,Jean-FrancoisLaguionie,nm0481451,175663.0,2.0,54.0,20.0
1520,MarionLaine,nm0481866,212567.0,1.0,31.0,14.0
1521,NourEddineLakhmari,nm0482236,325274.0,0.0,17.0,6.0
1522,SophieLaloy,nm0482542,862897.0,0.0,18.0,4.0
1523,RingoLam,nm0482681,45322.0,0.0,35.0,29.0
1524,MarianoLamberti,nm0483338,894882.0,0.0,0.0,0.0
1525,ChristopheLamotte,nm0483770,360162.0,0.0,24.0,18.0
1526,MarianneLamour,nm0483791,865465.0,0.0,39.0,9.0
1527,ChristopherLandon,nm0484907,13516.0,0.0,26.0,12.0
1528,FranckLandron,nm0485016,4923533.0,0.0,29.0,5.0
1529,PerryLang,nm0485878,30558.0,0.0,41.0,50.0
1530,SamanthaLang,nm0485904,369055.0,0.0,26.0,5.0
1531,RemiLange,nm0486188,891106.0,0.0,25.0,21.0
1532,VincentLannoo,nm0486994,617139.0,0.0,22.0,11.0
1533,YorgosLanthimos,nm0487166,102.0,11.0,23.0,15.0
1534,ClaudeLanzmann,nm0487351,53346.0,1.0,48.0,17.0
1535,DavidLanzmann,nm0487352,534225.0,0.0,24.0,9.0
1536,JeromeLaperrousaz,nm0487458,1023998.0,0.0,38.0,5.0
1537,AnastasiaLapsui,nm0487844,711994.0,0.0,17.0,7.0
1538,MicheleLaroque,nm0488477,59959.0,0.0,35.0,85.0
1539,ArnaudLarrieu,nm0488623,329771.0,0.0,34.0,18.0
1540,Jean-MarieLarrieu,nm0488626,1373240.0,0.0,34.0,19.0
1541,EstelleLarrivaz,nm0488645,996138.0,1.0,30.0,25.0
1542,SheldonLarry,nm0488688,233245.0,0.0,30.0,22.0
1543,EricLartigau,nm0489309,222856.0,0.0,33.0,12.0
1544,PhilippeLarue,nm0489344,1981606.0,0.0,22.0,3.0
1545,MarionLary,nm0489375,6440051.0,0.0,28.0,5.0
1546,SusanaLastreto,nm0489946,3602348.0,0.0,0.0,0.0
1547,ElianedeLatour,nm0490324,660852.0,0.0,23.0,5.0
1548,ChantalLauby,nm0490702,120191.0,1.0,44.0,43.0
1549,SebastienLaudenbach,nm0490736,279785.0,1.0,25.0,10.0
1550,ChristophLauenstein,nm0490771,394431.0,1.0,0.0,3.0
1551,WolfgangLauenstein,nm0490773,625763.0,1.0,0.0,3.0
1552,EmmanuelLaurent,nm0491222,735994.0,0.0,2.0,0.0
1553,MelanieLaurent,nm0491259,1064.0,9.0,25.0,64.0
1554,EricLavaine,nm0491708,189503.0,0.0,23.0,13.0
1555,IsildLeBesco,nm0494066,28623.0,2.0,30.0,43.0
1556,Maiwenn,nm0494069,2921.0,13.0,43.0,43.0
1557,GabrielLeBomin,nm0494104,353723.0,0.0,18.0,8.0
1558,PhilippeLeGuay,nm0494355,185714.0,1.0,37.0,22.0
1559,BrunoLeJean,nm0494389,2418133.0,0.0,0.0,3.0
1560,JeromeLeMaire,nm0494408,1227433.0,0.0,4.0,3.0
1561,ChristopheLeMasne,nm0494426,852047.0,1.0,27.0,16.0
1562,YvanLeMoine,nm0494467,1614608.0,0.0,24.0,5.0
1563,AnneLeNy,nm0494504,48611.0,1.0,28.0,73.0
1564,SergeLePeron,nm0494557,1010931.0,0.0,40.0,11.0
1565,DidierLePecheur,nm0494558,425754.0,0.0,26.0,25.0
1566,EricLeRoch,nm0494569,754205.0,0.0,26.0,15.0
1567,ChristianLelong,nm0494733,10119966.0,0.0,14.0,3.0
1568,LucLeclercduSablon,nm0496172,5226125.0,0.0,38.0,15.0
1569,KadijaLeclere,nm0496227,320947.0,2.0,17.0,3.0
1570,OunieLecomte,nm0496293,1233236.0,1.0,25.0,3.0
1571,PatriceLeconte,nm0496312,38001.0,6.0,59.0,62.0
1572,BensonLee,nm0496863,299674.0,0.0,17.0,4.0
1573,FrancisLee,nm0497274,32225.0,0.0,0.0,2.0
1574,Je-yongLee,nm0497489,454249.0,0.0,15.0,7.0
1575,TonyLeech,nm0498555,207074.0,0.0,8.0,2.0
1576,LisaLeeman,nm0498658,485679.0,0.0,10.0,2.0
1577,PhilippeLefebvre,nm0498898,204834.0,1.0,30.0,73.0
1578,AlejandroLegaspi,nm0499196,1263143.0,0.0,0.0,4.0
1579,GillesLegrand,nm0499448,500615.0,2.0,30.0,5.0
1580,XavierLegrand,nm0499488,38038.0,9.0,17.0,7.0
1581,HassanLegzouli,nm0499567,1479295.0,0.0,15.0,3.0
1582,MichaelLehmann,nm0499724,23094.0,0.0,32.0,40.0
1583,MarkkuLehmuskallio,nm0499777,430810.0,0.0,35.0,11.0
1584,EricLeighton,nm0500343,171081.0,0.0,25.0,0.0
1585,DannyLeiner,nm0500444,40210.0,0.0,22.0,17.0
1586,DavidLeland,nm0500896,39615.0,1.0,50.0,10.0
1587,GillesLellouche,nm0500976,19466.0,2.0,29.0,81.0
1588,PhilippeLellouche,nm0500977,247106.0,0.0,26.0,32.0
1589,ClaudeLelouch,nm0500988,34106.0,8.0,66.0,72.0
1590,NicolaLemay,nm0501161,1003602.0,0.0,0.0,2.0
1591,MichaelLembeck,nm0501185,10881.0,0.0,47.0,43.0
1592,ValerieLemercier,nm0501256,32363.0,3.0,33.0,41.0
1593,EllaLemhagen,nm0501281,169453.0,0.0,21.0,10.0
1594,JeanLemire,nm0501335,2155590.0,0.0,9.0,4.0
1595,KasiLemmons,nm0501435,10056.0,0.0,34.0,27.0
1596,ArnaudLemort,nm0501548,643426.0,0.0,15.0,4.0
1597,BlandineLenoir,nm0502133,110366.0,0.0,31.0,25.0
1598,NunoLeonel,nm0502932,933291.0,0.0,1.0,7.0
1599,JohnR.Leonetti,nm0502954,43118.0,0.0,32.0,9.0
1600,PeterLepeniotis,nm0503259,122227.0,0.0,3.0,3.0
1601,JorgenLerdam,nm0503497,451947.0,0.0,25.0,9.0
1602,WitoldLesiewicz,nm0503982,1165302.0,0.0,0.0,0.0
1603,JalilLespert,nm0504267,75192.0,3.0,28.0,55.0
1604,PhilippeLespinasse,nm0504272,1106095.0,0.0,24.0,3.0
1605,LouisLeterrier,nm0504642,11736.0,0.0,24.0,21.0
1606,ElisabethLeuvrey,nm0505083,11026157.0,0.0,16.0,4.0
1607,BrianLevant,nm0505152,37727.0,0.0,40.0,16.0
1608,GregoryLevasseur,nm0505183,109622.0,0.0,24.0,0.0
1609,MarkLevinson,nm0506071,317137.0,0.0,30.0,0.0
1610,SamLevinson,nm0506094,8415.0,0.0,12.0,6.0
1611,KristianLevring,nm0506290,103738.0,1.0,15.0,5.0
1612,LorraineLevy,nm0506518,412440.0,0.0,19.0,9.0
1613,PatrickLevy,nm0506576,978293.0,0.0,23.0,9.0
1614,ShawnLevy,nm0506613,180.0,0.0,34.0,57.0
1615,BenLewin,nm0506802,25494.0,1.0,32.0,11.0
1616,KatiaLewkowicz,nm0507913,582700.0,0.0,19.0,17.0
1617,FernandoLeondeAranoa,nm0508208,56022.0,2.0,26.0,13.0
1618,BlancaLi,nm0508357,252756.0,0.0,24.0,25.0
1619,DemianLichtenstein,nm0509028,51351.0,0.0,18.0,4.0
1620,MitchellLichtenstein,nm0509033,28929.0,2.0,32.0,8.0
1621,JonathanLiebesman,nm0509448,23238.0,0.0,20.0,12.0
1622,RitonLiebman,nm0509504,205745.0,0.0,45.0,50.0
1623,JensLien,nm0509633,122087.0,5.0,19.0,7.0
1624,ErikLieshout,nm0509734,1713778.0,0.0,0.0,2.0
1625,SebastienLifshitz,nm0509852,128333.0,5.0,29.0,15.0
1626,Jean-PaulLilienfeld,nm0510233,531197.0,0.0,41.0,30.0
1627,KevinLima,nm0510674,31577.0,1.0,33.0,14.0
1628,DougLiman,nm0510731,3362.0,0.0,30.0,39.0
1629,JustinLin,nm0510912,10354.0,1.0,26.0,27.0
1630,PhilippeLioret,nm0513371,171429.0,4.0,39.0,14.0
1631,DwightH.Little,nm0514546,35756.0,0.0,29.0,41.0
1632,AlexisLloyd,nm0515913,693673.0,0.0,12.0,0.0
1633,KenLoach,nm0516360,6773.0,16.0,57.0,52.0
1634,TonyLoeser,nm0517318,1459981.0,0.0,15.0,3.0
1635,BobLogan,nm0517514,200182.0,0.0,27.0,2.0
1636,IlianaLolic,nm0518154,346835.0,0.0,33.0,12.0
1637,RichardLoncraine,nm0518644,45821.0,1.0,50.0,19.0
1638,KennethLonergan,nm0518836,9479.0,2.0,18.0,5.0
1639,PeterLord,nm0520485,63916.0,1.0,42.0,15.0
1640,OlivierLorelle,nm0520569,540964.0,2.0,25.0,0.0
1641,RobertLorenz,nm0520749,22503.0,0.0,21.0,6.0
1642,AlfredLot,nm0521411,431692.0,1.0,28.0,7.0
1643,SteveLoter,nm0521425,158341.0,0.0,15.0,7.0
1644,NathalieLoubeyre,nm0521628,2366845.0,0.0,30.0,6.0
1645,OlivierLoustau,nm0522151,387305.0,0.0,30.0,53.0
1646,Marc-OlivierLouveau,nm0522177,3454339.0,0.0,0.0,0.0
1647,NickLove,nm0522393,19929.0,0.0,22.0,9.0
1648,StephenLow,nm0522844,594359.0,0.0,18.0,13.0
1649,ArikLubetzki,nm0523879,1016405.0,0.0,0.0,0.0
1650,JonLucas,nm0524190,58058.0,0.0,19.0,4.0
1651,DanieleLuchetti,nm0524516,75215.0,0.0,38.0,29.0
1652,JohnLuessenhop,nm0525141,87140.0,0.0,18.0,4.0
1653,BazLuhrmann,nm0525303,3541.0,2.0,42.0,16.0
1654,RobertLuketic,nm0525659,28846.0,0.0,24.0,13.0
1655,DiegoLuna,nm0526019,3059.0,1.0,23.0,50.0
1656,PascalLuneau,nm0526675,2264511.0,0.0,0.0,3.0
1657,PavelLungin,nm0526732,95425.0,3.0,43.0,16.0
1658,TomasLunak,nm0526819,791192.0,1.0,0.0,0.0
1659,RodLurie,nm0527109,27314.0,1.0,32.0,23.0
1660,HamiltonLuske,nm0527217,91380.0,0.0,27.0,15.0
1661,PatrickLussier,nm0527261,24966.0,0.0,25.0,15.0
1662,MilanLuthria,nm0527453,88358.0,0.0,6.0,6.0
1663,EmanueleLuzzati,nm0527810,864141.0,0.0,39.0,3.0
1664,NoemieLvovsky,nm0527852,56110.0,4.0,37.0,83.0
1665,EurosLyn,nm0528186,34181.0,0.0,16.0,20.0
1666,JenniferLynch,nm0528337,13663.0,1.0,46.0,35.0
1667,SholaLynch,nm0528454,270075.0,0.0,0.0,3.0
1668,JonathanLynn,nm0528718,21908.0,0.0,37.0,15.0
1669,PhilippeLyon,nm0528969,555234.0,0.0,20.0,2.0
1670,Jean-LucLeon,nm0529614,7513050.0,0.0,25.0,5.0
1671,PierreLeon,nm0529616,348039.0,0.0,22.0,21.0
1672,VladimirLeon,nm0529619,1302386.0,0.0,17.0,14.0
1673,BernardLeonard,nm0529621,1069188.0,0.0,0.0,2.0
1674,MichelLeviant,nm0529706,10664459.0,0.0,35.0,3.0
1675,Bernard-HenriLevy,nm0529717,148341.0,0.0,38.0,11.0
1676,LamLe,nm0529750,634610.0,2.0,33.0,4.0
1677,BrunoLopez,nm0530031,1390985.0,0.0,23.0,18.0
1678,GeorgMaas,nm0530981,256186.0,0.0,0.0,3.0
1679,VincentMacaigne,nm0531195,31827.0,3.0,23.0,55.0
1680,KevinMacdonald,nm0531817,14423.0,2.0,26.0,33.0
1681,UrsulaMacfarlane,nm0532237,112444.0,0.0,0.0,2.0
1682,GregMacGillivray,nm0532263,194594.0,0.0,42.0,24.0
1683,SergioMachado,nm0532509,115587.0,2.0,25.0,19.0
1684,DavidMackenzie,nm0533284,12531.0,3.0,26.0,20.0
1685,AngusMacLane,nm0533691,73020.0,0.0,13.0,6.0
1686,GuyMaddin,nm0534665,25650.0,0.0,30.0,37.0
1687,MarieMaffre,nm0535577,4570576.0,0.0,0.0,2.0
1688,FranckMagnier,nm0536251,546474.0,0.0,25.0,7.0
1689,SharonMaguire,nm0536632,50274.0,0.0,19.0,7.0
1690,DominiqueMaillet,nm0537608,309535.0,0.0,0.0,2.0
1691,GeraldineMaillet,nm0537611,645816.0,0.0,9.0,5.0
1692,JacquesMaillot,nm0537626,875161.0,0.0,26.0,11.0
1693,GabrieleMainetti,nm0537734,61930.0,2.0,24.0,9.0
1694,GillesdeMaistre,nm0537923,62661.0,0.0,37.0,19.0
1695,MohsenMakhmalbaf,nm0538532,37547.0,0.0,30.0,31.0
1696,SamiraMakhmalbaf,nm0538533,90785.0,2.0,21.0,7.0
1697,HoratiuMalaele,nm0538855,120035.0,0.0,24.0,13.0
1698,JacquesMalaterre,nm0538977,341359.0,0.0,27.0,23.0
1699,ChristopheMalavoy,nm0539022,157231.0,2.0,44.0,73.0
1700,CathyMalkasian,nm0539782,503437.0,0.0,5.0,3.0
1701,MathiasMalzieu,nm0540962,197168.0,0.0,21.0,4.0
1702,GailMancuso,nm0541562,33045.0,1.0,28.0,54.0
1703,EthanManiquis,nm0542450,44049.0,0.0,12.0,3.0
1704,AmiCanaanMann,nm0542642,48019.0,0.0,20.0,21.0
1705,DavideManuli,nm0544305,297711.0,0.0,5.0,2.0
1706,GregManwaring,nm0544337,164302.0,0.0,19.0,3.0
1707,ReneManzor,nm0544528,89576.0,0.0,36.0,22.0
1708,NaelMarandin,nm0544828,664657.0,0.0,23.0,7.0
1709,OlivierMarchal,nm0545356,25741.0,3.0,35.0,86.0
1710,GillesMarchand,nm0545382,140719.0,2.0,36.0,10.0
1711,YvonMarciano,nm0545701,592209.0,0.0,31.0,6.0
1712,DavidMarconi,nm0545861,92746.0,0.0,24.0,2.0
1713,RodolpheMarconi,nm0545876,1061432.0,1.0,21.0,10.0
1714,PaulaMarkovitch,nm0546008,211796.0,3.0,6.0,5.0
1715,FrancoMaresco,nm0546510,552706.0,1.0,24.0,8.0
1716,FrancoisMargolin,nm0546753,893350.0,0.0,35.0,10.0
1717,BenoitMariage,nm0547017,1059958.0,0.0,33.0,9.0
1718,GuyMarignane,nm0547377,12408773.0,0.0,28.0,2.0
1719,AnaMariscal,nm0548072,308463.0,0.0,0.0,14.0
1720,KarlMarkovics,nm0548686,31618.0,4.0,28.0,55.0
1721,VincenzoMarra,nm0550059,335464.0,0.0,18.0,11.0
1722,LailaMarrakchi,nm0550071,133911.0,0.0,16.0,7.0
1723,FrankMarshall,nm0550881,13606.0,1.0,53.0,19.0
1724,NeilMarshall,nm0551076,8951.0,1.0,23.0,23.0
1725,RobMarshall,nm0551128,13817.0,0.0,22.0,10.0
1726,JoshuaMarston,nm0551358,81390.0,4.0,15.0,18.0
1727,LucreciaMartel,nm0551506,42038.0,0.0,29.0,13.0
1728,FrancoisMarthouret,nm0551761,213926.0,0.0,55.0,96.0
1729,Jean-LoupMartin,nm0552490,5231295.0,0.0,6.0,2.0
1730,JacquesMartineau,nm0553303,352403.0,1.0,22.0,10.0
1731,GillesMartinerie,nm0553400,7091395.0,0.0,9.0,0.0
1732,SteveMartino,nm0553942,110351.0,0.0,16.0,8.0
1733,MarcoMartins,nm0554076,165297.0,0.0,18.0,6.0
1734,MarioMartone,nm0554280,109563.0,2.0,29.0,21.0
1735,ManuelMartinCuenca,nm0554532,85183.0,0.0,30.0,13.0
1736,Masayuki,nm0556094,1191093.0,0.0,24.0,5.0
1737,RashidMasharawi,nm0556301,244787.0,0.0,21.0,7.0
1738,MaiMasri,nm0557044,213432.0,0.0,27.0,10.0
1739,ChristosMassalas,nm0557122,291088.0,0.0,0.0,2.0
1740,OlivierMasset-Depasse,nm0557267,122837.0,1.0,24.0,9.0
1741,LaetitiaMasson,nm0557501,150695.0,0.0,33.0,27.0
1742,DaliborMatanic,nm0558094,85939.0,1.0,16.0,10.0
1743,ToshioMatsumoto,nm0559564,78203.0,0.0,36.0,12.0
1744,LorenzoMattotti,nm0560434,736789.0,0.0,12.0,2.0
1745,EdouardMauriat,nm0561097,6011655.0,0.0,0.0,0.0
1746,JohnMaybury,nm0562266,73348.0,0.0,28.0,15.0
1747,MaxMayer,nm0562470,163120.0,1.0,12.0,8.0
1748,MichaelMayer,nm0562476,622982.0,0.0,40.0,19.0
1749,ZoltanMayer,nm0562541,336230.0,0.0,0.0,2.0
1750,LesMayfield,nm0562645,57756.0,0.0,16.0,7.0
1751,GuyMazarguil,nm0563175,1301371.0,0.0,16.0,4.0
1752,AlainMazars,nm0563183,2201547.0,0.0,40.0,20.0
1753,BernardMazauric,nm0563189,779456.0,0.0,42.0,0.0
1754,DanMazer,nm0563243,46996.0,1.0,19.0,6.0
1755,PatriciaMazuy,nm0563440,126249.0,0.0,39.0,19.0
1756,AissaMaiga,nm0563740,24518.0,0.0,25.0,81.0
1757,JonasMcCord,nm0566380,155675.0,0.0,33.0,0.0
1758,JohnMichaelMcDonagh,nm0567620,15436.0,1.0,21.0,7.0
1759,EricMcGinty,nm0569390,449463.0,0.0,26.0,0.0
1760,DouglasMcGrath,nm0569790,31798.0,0.0,28.0,17.0
1761,MaryMcGuckian,nm0570082,60546.0,0.0,25.0,11.0
1762,AdamMcKay,nm0570912,3460.0,3.0,20.0,23.0
1763,GregMcLean,nm0572562,29493.0,0.0,21.0,13.0
1764,DavidMcNally,nm0573589,91145.0,0.0,0.0,5.0
1765,JamesMcTeigue,nm0574625,18867.0,0.0,32.0,15.0
1766,CharlesdeMeaux,nm0575263,675551.0,0.0,22.0,5.0
1767,JulioMedem,nm0575523,33638.0,2.0,45.0,26.0
1768,HeleneMedigue,nm0575609,202470.0,0.0,30.0,24.0
1769,JuanCarlosMedina,nm0575726,93452.0,1.0,22.0,6.0
1770,OlivierMegaton,nm0576298,39521.0,0.0,30.0,31.0
1771,UrsulaMeier,nm0576732,116997.0,2.0,27.0,17.0
1772,FernandoMeirelles,nm0576987,13342.0,0.0,40.0,33.0
1773,SiriMelchior,nm0577483,900919.0,0.0,18.0,7.0
1774,TheodoreMelfi,nm0577647,25333.0,0.0,23.0,9.0
1775,FernandMelgar,nm0577663,1629443.0,0.0,13.0,6.0
1776,GeorgeMendeluk,nm0578899,139614.0,0.0,36.0,43.0
1777,JosueMendez,nm0579062,1259972.0,0.0,8.0,2.0
1778,RubenMendoza,nm0579370,598245.0,0.0,11.0,5.0
1779,MariaVictoriaMenis,nm0579653,601253.0,0.0,20.0,5.0
1780,IsabelleMergault,nm0580698,117825.0,3.0,43.0,41.0
1781,E.EliasMerhige,nm0580729,33987.0,0.0,0.0,4.0
1782,AgnesMerlet,nm0580982,376285.0,1.0,25.0,5.0
1783,FredericMermoud,nm0581081,241314.0,1.0,21.0,14.0
1784,ChristianMerret-Palmair,nm0581170,7328928.0,0.0,28.0,9.0
1785,IanMerrick,nm0581206,424957.0,0.0,0.0,0.0
1786,Jean-HenriMeunier,nm0582841,9221505.0,0.0,41.0,10.0
1787,DaveMeyers,nm0583515,10379.0,0.0,21.0,5.0
1788,NancyMeyers,nm0583600,4479.0,1.0,39.0,8.0
1789,MennoMeyjes,nm0583675,61668.0,0.0,30.0,7.0
1790,OlivierMeyrou,nm0583725,8459758.0,0.0,22.0,6.0
1791,FlorenceMiailhe,nm0583939,145377.0,2.0,26.0,6.0
1792,Marie-DominiqueMichaud,nm0584729,352725.0,0.0,11.0,0.0
1793,ThierryMichel,nm0584921,575676.0,2.0,48.0,24.0
1794,RogerMichell,nm0585011,18105.0,0.0,28.0,21.0
1795,RaduMihaileanu,nm0586123,85635.0,2.0,31.0,12.0
