real;freq
Surreal Distribution;0,006097561
TS Productions;0,006134969
VraiVrai Films;0,00617284
 Jour2fête;0,004658385
 Rezo Films;0,004680187
20th Century Studios;0,004702194
2iFILMS;0,004724409
À Vif Cinémas;0,004746835
Accatone Distribution;0,004769475
Alea Films;0,004792332
Art Cinefeel;0,004815409
Arte;0,00483871
BarProd;0,004862237
Borealia Films;0,004885993
Carron Distribution;0,004909984
CDP;0,004934211
Contre Allée Distribution;0,004958678
Dialectik;0,004983389
ESC Films;0,005008347
Euro TV;0,005033557
Fondivina Films;0,005059022
Fratel Films;0,005084746
Grizouille Films;0,005110733
Happiness;0,005136986
Kamea Meah Films;0,005163511
Les Films à un dollar;0,005190311
Les Films du Poisson;0,005217391
Les Films Pelléas;0,005244755
Lost Films;0,005272408
Noblesse Oblige Distribution;0,005300353
Noir production;0,005328597
Orange studio ;0,005357143
Paris Black Films;0,005385996
Plátano Films;0,005415162
Sagittaire Films;0,005444646
Sarah Films;0,005474453
Sokol films;0,005504587
Stone Angels;0,005535055
Synergy Cinéma;0,005565863
TProd Distribution;0,005597015
Universal Pictures France (UPF);0,005628518
White Pictures;0,005660377
Wild Side;0,0056926
Zootrope Films ;0,005725191
 Albany films;0,003838772
 Apollo Films;0,003853565
 Diaphana;0,003868472
 KMBO;0,003883495
 La Rabbia;0,003898635
24 Images;0,003913894
ACE Entertainment Films;0,003929273
A-PARTS Distribution;0,003944773
Aramis Films ;0,003960396
Arc en Ciel Films;0,003976143
Atopic;0,003992016
Axxon Films;0,004008016
bathysphere;0,004024145
CALM Distribution;0,004040404
Contre-Courants;0,004056795
Cosmopolis Distribution;0,00407332
Daisy Day Films;0,00408998
Ecransud Distribution;0,004106776
Entre2Prises;0,004123711
Euripide Distribution;0,004140787
EuropaCorp Distribution ;0,004158004
Fidélio Production;0,004175365
Filmo;0,004192872
Folimage Studio;0,004210526
Gabarra Films;0,00422833
Geko Films;0,004246285
Hélios Films;0,004264392
Help Distribution;0,004282655
Ibéri Films;0,004301075
IberiFilms;0,004319654
JHR Films ;0,004338395
Karan Films;0,004357298
Karmafilms Distribution;0,004376368
L'atelier d'images;0,004395604
Laterit distribution;0,004415011
Les Films Bonnette et Minette;0,00443459
Les Films de l'Envers;0,004454343
Les Films du Lendemain;0,004474273
Les Films du Marigot;0,004494382
Les Films Elémentaires;0,004514673
Les Grands Espaces;0,004535147
Les Grands Films Classiques;0,004555809
Luminor;0,004576659
M2R Films;0,004597701
M6 Vidéo;0,004618938
Mag Distribution;0,004640371
Mandragora;0,004662005
Mary-X Distribution;0,004683841
MK2 ;0,004705882
Mob productions;0,004728132
Noé Productions;0,004750594
Opening Distribution;0,00477327
Pathé ;0,004796163
Point du jour;0,004819277
Quizas Prod;0,004842615
Régie Sud;0,00486618
Rogue Pictures;0,004889976
Seven Light;0,004914005
Singularis Films;0,004938272
Sony Pictures Home Entertainment;0,004962779
Swashbuckler Films;0,004987531
Takami Distribution;0,005012531
Tangente Distribution;0,005037783
Tchoko-Tchoko Productions;0,005063291
To Be Continued;0,005089059
Tucuman Films;0,00511509
UFO Distribution ;0,005141388
Ululato;0,005167959
UPL Films Distributions;0,005194805
Vision Distribution;0,005221932
Zylo;0,005249344
 Alba Films;0,002638522
 ARP Sélection;0,002645503
 AZ Films;0,00265252
 Capricci;0,002659574
 Chrysalis Films;0,002666667
 Commune Image Médias;0,002673797
 Condor;0,002680965
 Dahu Production;0,002688172
 Dean Medias;0,002695418
 DistriB Films;0,002702703
 Films Distribution;0,002710027
 Fodivina Films;0,002717391
 French Distribution;0,002724796
 Help Distribution;0,00273224
 Help! Distribution;0,002739726
 Jour2fete;0,002747253
 La Huit Distribution;0,002754821
 Latitude 49;0,002762431
 Liberté Films;0,002770083
 Ligne 7;0,002777778
 Marco Polo Production;0,002785515
 Mars Films;0,002793296
 MUBI;0,00280112
 New Story;0,002808989
 Paname Distribution;0,002816901
 Potemkine Films;0,002824859
 PREMIUM FILMS;0,002832861
 Pyramide Distribution;0,002840909
 Remora Films;0,002849003
 Seven 7;0,002857143
 Tandem;0,00286533
 The Dark;0,002873563
 Tprod distribution;0,002881844
 Trésor Cinéma;0,002890173
 Urban Distribution;0,002898551
 Version Originale ;0,002906977
 Why Not Productions;0,002915452
 Wide;0,002923977
 Wild Bunch Distribution;0,002932551
 Zootrope Films;0,002941176
11-déc;0,002949853
2017 Films;0,00295858
21films;0,002967359
2BST FILMS;0,00297619
3L Films;0,002985075
8½ Distribution;0,002994012
9ème Dimension;0,003003003
À perte de vue;0,003012048
À Vif Cinémas ;0,003021148
a.p.r.e.s distribution;0,003030303
Acajou Films;0,003039514
Accattone Distribution;0,00304878
Acrobates Films;0,003058104
Activideo;0,003067485
Adalios;0,003076923
ADR Distribution;0,00308642
Advanced Entertainment;0,003095975
Afrique Films;0,00310559
Agat Films & Cie;0,003115265
Aim;0,003125
Alba Films ;0,003134796
Aldudarrak Bideo;0,003144654
Alexart Films;0,003154574
Aloha Distribution;0,003164557
Alsace Cinémas Distribution;0,003174603
Altra Banda Films;0,003184713
Amazon Prime Video;0,003194888
Amétis ;0,003205128
AMV Production;0,003215434
Andana Films;0,003225806
Apatom;0,003236246
Araprod;0,003246753
Arcadès;0,003257329
Arsenal Productions;0,003267974
Art House ;0,003278689
Artmell ;0,003289474
Arwestud Films;0,00330033
ASC Distribution ;0,003311258
Atlantis;0,003322259
Autour de minuit;0,003333333
Autour d'un film productions;0,003344482
Avril;0,003355705
Ayngaran-International;0,003367003
Babaika;0,003378378
Babel Productions;0,003389831
Bac Films ;0,003401361
Backup Films;0,003412969
Baiacedez Films;0,003424658
Bas Canal;0,003436426
Beabia Films;0,003448276
Beez Entertainment;0,003460208
Bel Air Media;0,003472222
Betel films;0,003484321
Big Bang Films;0,003496503
Blue Monday Productions;0,003508772
Blue Moon Distribution;0,003521127
Blue Movies Productions;0,003533569
Bodega Films ;0,003546099
bonne séance;0,003558719
BR Films International;0,003571429
Bras de Fer Production et Distribution;0,003584229
Buena Vista Pictures;0,003597122
Burgos Films;0,003610108
C Ton Film Production;0,003623188
Caboche;0,003636364
Cargo Films;0,003649635
Cartel Distrib;0,003663004
Cassia's productions;0,003676471
CFA programmation et distribution;0,003690037
Champs libres;0,003703704
Chrysalis Films ;0,003717472
Ciel de Paris Productions;0,003731343
Ciné Croisière;0,003745318
Ciné Sud Promotion;0,003759398
Cinédia Films;0,003773585
Cinédoc Film;0,003787879
Cinégénie;0,003802281
Cinéma l'Atalante;0,003816794
Cinémadefacto;0,003831418
Cinéode Distribution;0,003846154
Cinessonne;0,003861004
Ciné-Sud Promotion;0,003875969
Cinétévé;0,003891051
Clairsud;0,00390625
Clearvision Distribution;0,003921569
Collectif 360° et même plus;0,003937008
Collectif BKE;0,003952569
Collection Opus Distribution;0,003968254
Coloured Plates Production;0,003984064
Commune Image Media;0,004
Compagnie des Phares & Balises;0,004016064
Condor ;0,004032258
Condor Distribution ;0,004048583
Contre-Courants ;0,004065041
Côté Diffusion;0,004081633
Côté Distribution;0,004098361
C-P Productions;0,004115226
Dahu Production;0,004132231
Dans le sens de la vie;0,004149378
Deal;0,004166667
Des étoiles dans les yeux;0,0041841
Des Films Nuit et Jour;0,004201681
Diversité Films;0,004219409
Dix-Huit jours;0,004237288
Doc en Stock;0,004255319
Docks 66 ;0,004273504
Documentaire sur Grand Ecran;0,004291845
Donoma Guerilla;0,004310345
Dopamyne films;0,004329004
Doriane Films;0,004347826
Dracar Productions;0,004366812
Dublin Films;0,004385965
Dyssomnia Films;0,004405286
Eden Films;0,004424779
EIRL Ana Dumitrescu;0,004444444
Eivissa Productions;0,004464286
Electron Libre Compagnie;0,004484305
Elévation-Prod;0,004504505
Elkin Communication;0,004524887
Elytel Film Distribution;0,004545455
Epicentre Films ;0,00456621
ESC Editions;0,004587156
ESPERANZA Productions et MISE EN LUMIERE;0,004608295
EuropaCorp;0,00462963
Extérieur Jour;0,004651163
Far Ouest Production;0,004672897
Film Addict;0,004694836
Film Indépendant;0,004716981
Filmarium distribution ;0,004739336
Films Connection;0,004761905
First Look Pictures Releasing;0,004784689
Focus Features;0,004807692
Fokus 21;0,004830918
Fox Pathé Europa;0,004854369
France 3;0,004878049
France Télévision Distribution;0,004901961
Freeatlast Films;0,004926108
French distribution;0,004950495
Frenetic Film AG;0,004975124
Galactica Distribution;0,005
Goodfellas;0,005025126
Happiness Distribution ;0,005050505
Helo distribution;0,005076142
Hérisson Rebelle Production;0,005102041
Hippocampe Productions;0,005128205
HPG Production;0,005154639
Human Doors Films;0,005181347
I Pulcini Prod;0,005208333
IMAGE'EST;0,005235602
Imagie;0,005263158
Injam Production;0,005291005
Iskra & L'Yeux Ouverts;0,005319149
Jocelinéaste;0,005347594
Jour 2 Fête ;0,005376344
Jour2fête ;0,005405405
Kaléo Films;0,005434783
KG Productions;0,005464481
Kinterfin;0,005494505
KL Films;0,005524862
KMBO ;0,005555556
Kréol Productions;0,005586592
La Belle Company ;0,005617978
La Butte Distribution;0,005649718
La Chambre Noire;0,005681818
La Fabrica Nocturna Cinéma;0,005714286
La Fabrique;0,005747126
La Femme Endormie;0,005780347
La Ferme Productions;0,005813953
La Générale de Distribution;0,005847953
La Luna Productions;0,005882353
La Mer à Boire Productions;0,00591716
La Pluie Productions;0,005952381
La Ruelle Films;0,005988024
La Sans Sou Cie;0,006024096
L'âge d'or;0,006060606
Lam Produxion;0,006097561
Lamplighter Films;0,006134969
Le Carnet Rouge;0,00617284
Le Chien qui Aboie;0,00621118
Le Petit Bureau;0,00625
Le Petit Remorqueur;0,006289308
Leelame distribution;0,006329114
Légende Distribution ;0,006369427
L'Entrepôt;0,006410256
L'Epée de Bois;0,006451613
Les Acacias ;0,006493506
Les Ecrans de Paris;0,006535948
Les Enragés;0,006578947
Les Films 13 ;0,006622517
Les Films Aramis;0,006666667
Les Films de Chaillot;0,006711409
Les Films de la Haute-Vallée;0,006756757
Les Films de l'Anse;0,006802721
Les Films de l'Astre;0,006849315
Les Films de l'Autre;0,006896552
Les Films d'Espigoule;0,006944444
Les Films du Grain de Sable;0,006993007
Les Films du jour;0,007042254
Les Films du Phoenix;0,007092199
Les Films du Raphia;0,007142857
Les Films du Requin;0,007194245
Les Films du Rhizome;0,007246377
Les Films du Tamarin;0,00729927
Les Films du Viaduc;0,007352941
Les Films du Voilier;0,007407407
Les films qui causent;0,007462687
Les Films Salamandre;0,007518797
Les Films Sauvages;0,007575758
Les Productions Aléatoires;0,007633588
Les Productions Balthazar ;0,007692308
Les Productions de la Main Verte;0,007751938
Les productions du Désert ;0,0078125
Libre Cours;0,007874016
Little Stone Distribution;0,007936508
Looker Films;0,008
Love Streams Productions;0,008064516
Lug Cinema;0,008130081
Luna Park Films;0,008196721
Lutine & Cie;0,008264463
M2 Distribution;0,008333333
Mad Films ;0,008403361
Madeleine films;0,008474576
Makadam Distribution;0,008547009
Mangoustine;0,00862069
Marc Guidoni ;0,008695652
Marteau Films Production;0,00877193
Matsylie Productions;0,008849558
Maybe Movies;0,008928571
Medula Films;0,009009009
Mémère Productions;0,009090909
Meret Films;0,009174312
Merlin Films;0,009259259
Mitiki;0,009345794
MLA FILMS;0,009433962
Mona Films;0,00952381
Moonriver Entertainment;0,009615385
Morgane Productions;0,009708738
Mosaïque Films;0,009803922
Moviemento Films;0,00990099
Myriapodus Films;0,01
Neffa Films;0,01010101
Nema777;0,010204082
New Story District;0,010309278
Night Lights Productions;0,010416667
NUMEVENT;0,010526316
Nyotadis Distribution;0,010638298
Odelion;0,010752688
Oliver Dream Productions;0,010869565
Ombres production;0,010989011
Orawa Prod;0,011111111
Oreo;0,011235955
Origine Films;0,011363636
Orsans Distribution;0,011494253
OSPROD Studios;0,011627907
Ouranos Films;0,011764706
Oval Films Productions;0,011904762
Owls Agency;0,012048193
Pagnotta Films;0,012195122
Panorama Films;0,012345679
Paradis Films ;0,0125
Paraiso ;0,012658228
Paraiso Production Diffusion;0,012820513
Paramount Classics;0,012987013
Paramount Home Entertainment;0,013157895
Park Circus France;0,013333333
Perspectives Nomades;0,013513514
Pickup;0,01369863
Pickup ;0,013888889
Piece of Magic Entertainment France;0,014084507
Pirates Distribution;0,014285714
Plein Cadres;0,014492754
PolyGram Film Distribution;0,014705882
Potemkine Editions;0,014925373
Pour Voir;0,015151515
Pourquoi Pas Productions;0,015384615
Première Nouvelle;0,015625
Prima Luce;0,015873016
Primaluce Distribution;0,016129032
Productions 9;0,016393443
Projectile;0,016666667
Providence Films;0,016949153
Quark Productions;0,017241379
Quartier Mozart Films;0,01754386
Quinta Communications;0,017857143
Reaficta Films;0,018181818
Recidive;0,018518519
Re-Distribution;0,018867925
Revolt Cinema;0,019230769
Richard Wagner Productions;0,019607843
Rouge Productions;0,02
Rouge Productions ;0,020408163
RV Distribution;0,020833333
SaNoSi;0,021276596
SBR PROD;0,02173913
Sciapode;0,022222222
Séance Tenante;0,022727273
Sedna Films;0,023255814
Seven 7;0,023809524
Silkroad Production;0,024390244
Sinociné;0,025
Smelly Dog Films;0,025641026
Sonata Films;0,026315789
Spider World Cinema;0,027027027
Star Production;0,027777778
Sterntaucher Filmproduktion;0,028571429
Steward;0,029411765
Strutt Films;0,03030303
Studio Canal;0,03125
Studio Galande;0,032258065
Sunday Films;0,033333333
Tajine Studio;0,034482759
Terra Incognita;0,035714286
Testukine ;0,037037037
The Dark;0,038461538
The Open Reel;0,04
Théâtre du Temple;0,041666667
Thunder Films International;0,043478261
Tous Seuls Production;0,045454545
Trésor Cinéma ;0,047619048
Twentieth Century Fox;0,05
Universal Pictures;0,052631579
Unlimited;0,055555556
Unzéro Films;0,058823529
Urban Distribution ;0,0625
Vent d'Ouest Distribution;0,066666667
Vent d'Ouest Production;0,071428571
Véo distribution;0,076923077
Vie en Conscience;0,083333333
VIGO Films;0,090909091
VO2MAX;0,1
VP Distribution;0,111111111
Vues du Québec distribution;0,125
Wajnbrosse Productions;0,142857143
Warner Bros.;0,166666667
White Muscle Studio;0,2
Wild Bunch ;0,25
Windy Production;0,333333333
Yaraa Distribution;0,5
Zorba Production;1
