director,director_id
Chris Miller,nm1844237
Gore Verbinski,nm0893659
Fumihiko Sori,nm1216495
Laure de Clermont-Tonnerre,nm0166438
Hiroyasu Ishida,nm5995018
Guy Ritchie,nm0005363
Chloe Okuno,nm3013234
Fabián Forte,nm1037826
Roger Kumble,nm0474955
Brad Bird,nm0083348
Anna Foerster,nm0283816
Hicham Hajji,nm2717110
Francis Ford Coppola,nm0000338
Tom Gormican,nm3230448
Ti West,nm1488800
Lana Wachowski,nm0905154
Marc Webb,nm1989536
Andrew Baird,nm1017470
Jon Keeyes,nm0444870
Lawrence Fowler,nm0288758
Lawrie Brewster,nm3879509
Dong-hoon Choi,nm1569807
Pierre Perifel,nm2010048
Michael Mak,nm0538328
Ignacio Tatay,nm2800717
Chris McKay,nm0003021
Ari Aster,nm4170048
Gavin O'Connor,nm0640334
Tony Scott,nm0001716
Robert Zemeckis,nm0000709
Ridley Scott,nm0000631
Martin Scorsese,nm0000217
Jim Strouse,nm1475479
Peter Jackson,nm0001392
Alan Taylor,nm0851930
Chloé Zhao,nm2125482
Alberto Rodriguez,nm2910706
Chris Buck,nm0118333
Olivier Marchal,nm0545356
David Ayer,nm0043742
Richard Wong,nm1471372
John Lasseter,nm0005124
Byron Howard,nm0397174
Shawn Levy,nm0506613
F. Gary Gray,nm0336620
Ron Clements,nm0166256
S.S. Rajamouli,nm1442514
Wes Ball,nm1226871
Simon McQuoid,nm2585406
Craig Gillespie,nm0318916
Takayuki Hamana,nm1634378
Bartosz M. Kowalski,nm2305479
L. Gustavo Cooper,nm4998490
Chris Wedge,nm0917188
Bob Persichetti,nm2130108
Casper Christensen,nm0159745
Taneli Mustonen,nm1641306
Malcolm D. Lee,nm0002700
Alberto Rodríguez,nm0735705
Johannes Roberts,nm1266897
J.D. Dillard,nm2300570
Ron Howard,nm0000165
John G. Avildsen,nm0000814
Brian Fee,nm0270263
Yuen Fai Ng,nm2379882
Rawson Marshall Thurber,nm1098493
Walt Becker,nm0065608
Pete Docter,nm0230032
Jesse Harris,nm1789992
Goran Stolevski,nm3301836
Bill Rogers,nm1075459
Clyde Geronimi,nm0314671
Scott Derrickson,nm0220600
Colin Trevorrow,nm1119880
Ilya Naishuller,nm5820154
Dmitriy Kiselev,nm1279950
Israel Adrián Caetano,nm0128382
Riccardo Chemello,nm10587263
Danila Kozlovskiy,nm1572716
Joachim Rønning,nm1461392
Niki Caro,nm0138927
Joss Whedon,nm0923736
Greg Tiernan,nm0862911
Jesús Font,nm0284744
Mehdi Avaz,nm6995804
Henry Selick,nm0783139
Tony Bancroft,nm0051643
Diego Freitas,nm5735886
Matt Eskandari,nm1760759
Michele Massimo Tarantini,nm0850212
