director,director_id
Justin Kelly,nm0446539
James Rabbitts,nm3248303
Arturo Ripstein,nm0728149
Sudha Kongara,nm1464314
John Dunson,nm2235397
Scott Teems,nm1802374
Peter A. Dowling,nm1618225
Sean Cain,nm2113026
Hans Weingartner,nm0918326
Laurence Dunmore,nm1461380
Karsten Kiilerich,nm0478172
Claudia Myers,nm0616673
Teinosuke Kinugasa,nm0455938
Benoît Jacquot,nm0415245
Dylan Kidd,nm1071898
Allan A. Goldstein,nm0326161
Pieter Jan Brugge,nm0115764
Ken Scott,nm0779433
Mitsuru Obunai,nm2867423
Gerd Oswald,nm0652631
David Veloz,nm0892705
Pedring Lopez,nm3417120
Andrea Molaioli,nm0596403
Michael W. Watkins,nm0914368
Robin Aubert,nm0041315
Rémi Chayé,nm2916570
Steven Hentges,nm0378267
David De Bartolome,nm1037008
Cheryl Hines,nm0385644
Cris D'Amato,nm1006796
Charline Bourgeois-Tacquet,nm6242100
Pascal Bourdiaux,nm0099797
Sasha King,nm1676125
Enzo Williams,nm4909944
Greg Björkman,nm2876242
Dave Clark,nm4915187
Jorge Dorado,nm1085270
Howard Franklin,nm0291442
Frank Launder,nm0490950
Edward Burns,nm0122653
Jean Vigo,nm0897118
Ismael Rodríguez,nm0735879
Todd Louiso,nm0521974
Cyril Morin,nm0605513
Rebekah McKendry,nm3599485
Aleksey Sidorov,nm1284414
Amy Seimetz,nm1541272
Harsha,nm5664775
Rémi Bezançon,nm1462495
Claudio Caligari,nm0129997
André Téchiné,nm0029242
Pete Riski,nm2344915
Caroline Vignal,nm0897009
Richard Levine,nm0505934
Stephen Fingleton,nm2850285
Aurel,nm5189705
Christian Vincent,nm0898603
Nathan Gabaeff,nm5554345
Richard Brandes,nm0104631
Michael Merino,nm2892925
Lee Kirk,nm0456509
Rossano Brazzi,nm0106387
Arthur Harari,nm1932959
Paul Bogart,nm0091575
Joan Freeman,nm0293445
Jeff Balsmeyer,nm0051156
Gabriel Bier Gislason,nm1571308
Corrado Farina,nm0003165
Jonathan R. Betuel,nm0079471
Michael Hoffman Jr.,nm0388792
Ravi Udyawar,nm8119703
Stephen Cornwell,nm0180508
Max Ophüls,nm0649097
Masakazu Hashimoto,nm2621812
Valerie Breiman,nm0106928
Joe Dietsch,nm2409176
Pedro Aguilera,nm1379105
Antonio Serrano,nm0785498
Peter Sasdy,nm0765856
Hettie Macdonald,nm0531751
Jaime Osorio Marquez,nm3688090
Rebecca Zlotowski,nm2294243
Liv Ullmann,nm0880521
Henrik Pilerud,nm1932690
Eddie Nartey,nm3477283
Giorgio Bruno,nm4706472
Madhur Bhandarkar,nm1055105
Marc Klein,nm0458884
Betty Kaplan,nm0438201
Éric Besnard,nm0078704
Ryan Stevens Harris,nm1953691
Priyadarshan,nm0698184
Frank Nunez,nm1459683
Young-jun Kim,nm0453754
Mark Vadik,nm1067375
Mathur Goswami,nm14112827
Alexander Bulkley,nm0119946
Dominic Brigstocke,nm0109273
Greg A. Sager,nm3419080
Hubert Charuel,nm4209268
Rod Amateau,nm0024120
José Ramón Larraz,nm0488574
Maurizio del Piccolo,nm4466584
William Butler,nm0124834
Yûsuke Hirota,nm2178400
Luca Boni,nm2650383
Kyle Rankin,nm0710272
Harry Hurwitz,nm0403794
Gustavo Hernández,nm3889354
Jason William Lee,nm6344671
Maximilian Erlenwein,nm3464744
Michael McCallum,nm1559618
Bruno Nuytten,nm0005814
Nick Simon,nm2415173
Geoffrey Fletcher,nm2819316
Stephanie Laing,nm0174483
Paul Newman,nm0000056
Fernando Lebrija,nm1130190
Benjamin Barfoot,nm4193669
Jamel Debbouze,nm0213354
Yann Gozlan,nm1571412
Aziz Mirza,nm0592583
Bernhard Wicki,nm0926919
Sergio Castellitto,nm0144812
Yukihiko Tsutsumi,nm1066739
Ken Wiederhorn,nm0927296
Tomonori Sudô,nm2951802
Ricard Cussó,nm6466474
Maria Peters,nm0676577
György Pálfi,nm0701650
Ferzan Özpetek,nm0654858
Daniel Petrie Jr.,nm0677943
Todd Berger,nm1787651
Terry Hughes,nm0400958
Vilgot Sjöman,nm0803672
Jimmy Giannopoulos,nm10300151
Nahala Johnson,nm2143740
Jorgen Klubien,nm0460146
Chiyu Zhang,nm9304112
Etienne Comar,nm0173541
Nikita Mikhalkov,nm0586482
Luke Goss,nm0331577
Henry Saine,nm3026907
Chris Baugh,nm1776860
J. Michael Muro,nm0614013
Michele Lupo,nm0526971
Jack Heller,nm2597331
Paula van der Oest,nm0644309
Jung-Ho Lee,nm7455249
Juan Antin,nm1010601
Hyun-Seok Han,nm13209469
Steven Hilliard Stern,nm0827854
Mark Harris,nm7307597
Paul Johansson,nm0424035
Michael Haussman,nm0369635
Fabrício Bittar,nm0084502
Adisorn Tresirikasem,nm8706551
Anurag Kashyap,nm0440604
Ben Parker,nm3951225
Jon Knautz,nm1394062
James Ashcroft,nm0038778
Karen Shakhnazarov,nm0787668
Philippe Mora,nm0602333
Nobuhiro Doi,nm2391552
Ted Geoghegan,nm0313295
James Sbardellati,nm0768618
Stuart Townsend,nm0870204
Cristina Gallego,nm5305003
James Toback,nm0864812
Hafsteinn Gunnar Sigurðsson,nm2619779
Bai Wu,nm6771357
Roschdy Zem,nm0954704
Chris Sivertson,nm1032754
Anthony Jerjen,nm4175489
David A. Armstrong,nm0002252
Collen Moore cook Turner,nm14080066
Josh Stolberg,nm0831457
Tatsumi Kumashiro,nm0436770
Mark McQueen,nm1654324
Lourens Blok,nm2361914
Luis Puenzo,nm0699933
Bob Bralver,nm0104096
Douglas Cheek,nm0154877
Timothy Van Mieghem,nm5554414
Christian Drew Sidaris,nm0796479
Philip Ridley,nm0726000
Babbar Subhash,nm0836942
William Phillips,nm0680889
Brian Cates,nm5100377
David Field and George Basha,nm5663935
Adam Dunning,nm2861298
Patrick Alan,nm0015941
Jon Poll,nm0689343
Michael Stasko,nm1618296
Shin Misawa,nm1245306
Sam Irvin,nm0006787
Fernando Cortizo,nm2029797
Abner Pastoll,nm0665016
Wojciech Smarzowski,nm1500530
Dave Borthwick,nm0097529
David DeCoteau,nm0213983
Aleksandr Domogarov,nm4823096
Cesc Gay,nm0310747
Mick Davis,nm0205169
Cathy Garcia-Molina,nm1283069
Damon Santostefano,nm0764319
Ernesto Padrón,nm0655867
Oren Uziel,nm3349927
Chookiat Sakveerakul,nm1840848
Richard Raaphorst,nm0704675
Scott Silver,nm0798788
Neal Israel,nm0411477
Adhil M. Asharaf,nm12234594
Josef von Sternberg,nm0903049
Marco Risi,nm0728276
Arantxa Echevarría,nm0248401
Yam Laranas,nm0487990
James Goldstone,nm0326360
Andrew Haigh,nm0354091
Elisa Fuksas,nm3645591
Joth Riggs,nm0726701
Nicholaus Goossen,nm0329650
Stéphane Robelin,nm1416796
Matthew Hill,nm2820986
Vikas Bahl,nm2134474
Gary J. Tunnicliffe,nm0876683
Laxman Utekar,nm2590164
Max McGuire,nm0536609
Josh Lobo,nm6142823
Kevan Otto,nm3220732
Mizuho Nishikubo,nm0632716
Rene Effie,nm0250568
Ken Loach,nm0516360
K.V. Rahamahi,nm12133277
Romain Lévy,nm1557889
Matthew John Lawrence,nm2835901
Han Lee,nm1215478
Sven Unterwaldt Jr.,nm0881372
Dean Wright,nm0942331
A.J. Martinson,nm4978663
Laslo Benedek,nm0070670
Vladimir Menshov,nm0579828
Peter Geiger,nm0311927
Jean Renoir,nm0719756
Deniz Gamze Ergüven,nm2197025
Jeff Broadstreet,nm0110420
A.R. Murugadoss,nm1436693
Ken Duken,nm0241222
Eric Forsberg,nm0286790
Cheh Chang,nm0151653
Ludwig Berger,nm0003490
Motonori Sakakibara,nm1012102
Lotte Reiniger,nm0718201
Herk Harvey,nm0367547
Sacha Gervasi,nm0315065
Erich von Stroheim,nm0002233
Roberto Sneider,nm0810997
Tony McNamara,nm1110111
Allan Arkush,nm0035106
George Abbott,nm0007973
Cooper Karl,nm3628233
Douglas Sirk,nm0802862
Celine Song,nm10227660
Michael Williams,nm2916813
Olivier Van Hoofstadt,nm1196794
Andrew Thomas Hunt,nm3523898
Kurtis David Harder,nm4811901
R. Ajay Gnanamuthu,nm7342819
Titus Paar,nm3736022
Joon-ik Lee,nm1045937
Isaac Feder,nm1690967
Michael Moore,nm0601619
Vic Sarin,nm0765225
Mark Gill,nm4317210
Brian Burns,nm0122602
Norman Taurog,nm0851537
Ana Maria Hermida,nm3005195
Roy Del Ruth,nm0215877
Mario N. Bonassin,nm1978049
ALi Khan AK,nm13963103
Cooper Raiff,nm4323708
Ulli Lommel,nm0518579
Mathieu Mortelmans,nm3209100
Hong Ji-Young,nm9106804
Rudy De Luca,nm0209918
Bruno Bini,nm4751918
Norman Z. McLeod,nm0572851
Jeff Lowell,nm0523094
Gabriel Pascal,nm0664257
Victor Halperin,nm0356931
Martin Sofiedal,nm5905770
Tom Schulman,nm0776114
Giulio Ricciarelli,nm0723285
Pim van Hoeve,nm0388608
Kate Melville,nm2169801
Papu Curotto,nm2039399
Yûichirô Hirakawa,nm2601775
Larry Bishop,nm0084114
Peter Watkins,nm0914386
Alli Haapasalo,nm1641519
Daniel Taplitz,nm0850044
Elmo Nüganen,nm0639297
Tony Bui,nm0004784
Sean Baker,nm0048918
Lowell Dean,nm3366745
Jesús del Cerro,nm1028575
Alessio Della Valle,nm2276298
Michele Placido,nm0686375
Ian Bonhôte,nm0094524
Gabriel Range,nm1235949
Jie Liu,nm0514952
Simon Baker,nm0048932
Andrea Bianchi,nm0080580
Albert Dupontel,nm0243355
Michael Pavone,nm0667937
Luke Covert,nm5679600
Raj Kumar Gupta,nm2955107
Ben Blaine,nm2050760
Oompon Kitikamara,nm10379889
Abbas Tyrewala,nm1063072
Jeremy Sims,nm0801327
Bob Dolman,nm0231190
Jason Flemyng,nm0002076
Armand Mastroianni,nm0557857
Jason Hull,nm2382124
Joel Viertel,nm1229221
Daniel Zelik Berk,nm0075263
Rohena Gera,nm1402184
Alex Thompson,nm3930165
Gerald Kargl,nm0439231
Alan Rudolph,nm0748928
Harry Nott,nm7516995
Stephen Cedars,nm2616523
Margarethe von Trotta,nm0903137
Christoph Waltz,nm0910607
Can Evrenol,nm3159880
Scott Glosserman,nm1795664
Steve Wolsh,nm4716310
Jimmy Sangster,nm0762727
Roze,nm1853643
Felix Randau,nm0709726
Juan Carlos Fanconi,nm4736731
Salvador Calvo,nm0130991
Bob Nelson,nm1504572
Charles Vidor,nm0896533
Gus Holwerda,nm2084813
Gonzalo Bendala,nm1628249
Lance W. Dreesen,nm0004165
Noël Coward,nm0002021
Alan Yuen,nm0950701
Allan Holzman,nm0392833
Benjamin Arfmann,nm4082531
Virginie Wagon,nm0906174
Yuri Kanchiku,nm3668395
Don Handfield,nm0359534
Yared Zeleke,nm3672972
Gonzalo Tobal,nm1886112
Fred Andrews,nm1088871
Alice Filippi,nm2285493
Paolo Genovese,nm0002645
Ed Solomon,nm0004412
Thanakorn Pongsuwan,nm1474766
Ketche,nm3773770
Tomoyuki Dan,nm2666612
Mickey Rose,nm0741582
Pavel Sidorov,nm9832098
Jorge Campusano,nm9796557
Frank Longo,nm0519419
Nic Balthazar,nm0051206
Ben A. Williams,nm3605431
Gun Ho Jang,nm3631963
David Hartman,nm0366935
Hiroshi Fukutomi,nm0386410
Jirí Menzel,nm0579954
Chad Crawford Kinkle,nm0455659
Lisa Brühlmann,nm2337186
Abhishek Varman,nm2831530
Heung-sik Park,nm0661832
Ron Oliver,nm0646987
Marco Bonfanti,nm3574246
Gerald McMorrow,nm0573389
Wil Shriner,nm0795407
Michael Mayer,nm3199492
Alberto Sciamma,nm0778404
Clare Niederpruem,nm3743828
George Dugdale,nm0240870
Gal Gadot,nm2933757
Issa López,nm0411517
Lee Sholem,nm0794793
Su-chang Kong,nm0477456
Ryan Kruger,nm2278027
Lee Jin-myung,nm13838123
Jim Wilson,nm0933604
Ant Timpson,nm0863807
Aluizio Abranches,nm0009287
Dani Levy,nm0506374
Britt Poulton,nm4006926
Thomas Della Bella,nm4396602
Craig Shapiro,nm0788481
George Pavlou,nm0667767
Radu Mihaileanu,nm0586123
Nick Slatkin,nm1575988
D. Kerry Prior,nm0697934
Joshua Gratton,nm5965963
Susanna White,nm1264352
Tom DeCerchio,nm0213726
David Weaver,nm0915838
Roger Mainwood,nm1137142
Mark Steilen,nm0825356
Michael Corrente,nm0180912
Bryan Coyne,nm3385222
Tae-yun Yoon,nm3717160
Jens Jonsson,nm0429634
Hasraf Dulull,nm2623609
Pen Densham,nm0219720
Houda Benyamina,nm3997700
Plan B,nm2304008
Martín Basterretche,nm1802986
Amar Kaushik,nm3603873
David Schmoeller,nm0227187
Charles Reisner,nm0718469
Joel David Moore,nm0601376
Woo-Suk Kang,nm0437652
Mark Piznarski,nm0686184
Heywood Gould,nm0332392
J.T. Petty,nm0678786
John M. Stahl,nm0821472
Bent Hamer,nm0357584
Fenar Ahmad,nm2689344
Carl Tibbetts,nm3393440
Joaquín Mazón,nm1107016
Zhangke Jia,nm0422605
Wilson Chin,nm4577722
Alexandros Avranas,nm3189793
Óskar Thór Axelsson,nm1823550
Theodoros Angelopoulos,nm0000766
Thorold Dickinson,nm0225555
Kari Skogland,nm0804556
James W. Horne,nm0395023
Masami Ôbari,nm0556065
Philippe Harel,nm0362854
Héctor Claramunt,nm0163467
Robert M. Young,nm0950001
Anurag Singh,nm5326250
Robert Young,nm0950000
Franck Ribière,nm1703817
John Bailey,nm0007037
Kazuo Mori,nm0605245
Robert Dalva,nm0198395
Mark C. Andrews,nm3113764
Kantemir Balagov,nm8921482
Jo Kyu-Jang,nm8027731
Yoshihiro Nishimura,nm1883583
Matt Bilen,nm4931151
Sylvio Tabet,nm0845973
Rajkumar Santoshi,nm0764316
James Schamus,nm0770005
Michael Petroni,nm0678104
Soham Shah,nm1433566
Sujoy Ghosh,nm1223910
Zoe R. Cassavetes,nm0144023
Ben McPherson,nm3399976
Love Lee,nm4424420
Thomas J. Wright,nm0942869
Sophie Goodhart,nm1054899
Willard Carroll,nm0141033
Ann Turner,nm0877382
Elza Kephart,nm1090216
Alain Berbérian,nm0073322
Wayne Blair,nm0992370
Agnès Jaoui,nm0418450
Sebastián Silva,nm2928364
Massimo Dallamano,nm0198014
Antony Smith,nm2396885
Daniel Sánchez Arévalo,nm0998110
Jeremy Kagan,nm0434571
Nick Basile,nm1183507
Adam Massey,nm2002381
Levan Akin,nm2172605
Masahiro Shinoda,nm0793983
Brian Peter Falk,nm1803137
Garson Kanin,nm0437717
Ben Nott,nm3795588
Piotr Szkopiak,nm0844155
Vicky Wight,nm0907328
John Gray,nm0336726
Pernille Fischer Christensen,nm0278803
Matthew Leutwyler,nm0505075
Jazz Boon,nm8301057
Mark Elijah Rosenberg,nm5457825
Myroslav Slaboshpytskyi,nm2990632
Rajkumar Hirani,nm0386246
Jesse Holland,nm3016585
Matthew Ninaber,nm4078217
Courtney Andujar,nm3105120
Marshall Brickman,nm0108613
Clovis Cornillac,nm0180404
Ferdinando Baldi,nm0049728
Abrid Shine,nm6261619
Mike Clattenburg,nm0154104
Christopher Hatton,nm0369030
Dalton Trumbo,nm0874308
Seung-wook Byeon,nm2486607
Hiroaki Andô,nm1483822
Jordan Brady,nm0103655
Isaac Webb,nm1983465
Jayme Monjardim,nm0598173
Harold P. Warren,nm0912849
Scott McGehee,nm0569166
Clio Barnard,nm1163237
Brendan Steere,nm3667421
Nikole Beckwith,nm2859868
Chella Ayyavu,nm10346015
Dan Garcia,nm2250534
Setsurô Wakamatsu,nm0906710
Kirill Sokolov,nm5001945
Edward Sedgwick,nm0781292
Ali Zamani,nm1887247
Aron Lehmann,nm3866538
Kamila Andini,nm4461980
Tin Yiu Ma,nm0994364
Thomas Michael Donnelly,nm0232777
Sebastien Landry,nm4962219
Paul Soter,nm0815418
Herb Freed,nm0293113
David Casademunt,nm2969727
Helen Hunt,nm0000166
Anita Barbosa,nm1897437
John McKay,nm0563814
Keisuke Toyoshima,nm0870324
Akira Nagai,nm0619073
Compton Bennett,nm0071682
Quentin Lawrence,nm0492974
Dorian Walker,nm0907697
Maciej Slesicki,nm0805751
Stanislav Kapralov,nm8879821
To-Hoi Kong,nm0389883
Ki-duk Kim,nm0453580
Luke Matheny,nm1487468
Guillaume Ivernel,nm0412247
Rajiv Mehra,nm0576491
Élie Chouraqui,nm0159402
Jonathan Watson,nm0909946
Glenn Danzig,nm0200752
John Howley,nm0398244
Tom DeSimone,nm0221265
Miklós Jancsó,nm0417352
Rob Thomas,nm0859432
Ed Herzog,nm0381305
Takeshi Furusawa,nm1967210
Mike Joens,nm0423589
Tonie Marshall,nm0551217
Michele Civetta,nm1869948
Harry O. Hoyt,nm0398464
Jason Kwan,nm1712317
Marius Holst,nm0392319
Sébastien Marnier,nm1903612
Franc Roddam,nm0734466
Mike Ahern,nm2888739
Alberto Cavalcanti,nm0146709
Christopher N. Rowley,nm1067759
Clifton Ko,nm0170504
Marcel Gisler,nm0321112
Keith Bearden,nm1836963
Mike Binder,nm0082802
Zachary Sluser,nm1500528
Andrew Duncan,nm1433999
Shakti Soundar Rajan,nm6725254
Robert Day,nm0206560
Harvey Glazer,nm2188866
Anthony Abrams,nm0009159
Jonas Pate,nm0665321
Ed Stone,nm0831847
Hernán Goldfrid,nm1961274
Christian Zübert,nm0959255
Mario Gariazzo,nm0307391
Basil Dearden,nm0213136
Kyoung-mi Lee,nm3209293
Hal Hartley,nm0001325
Nick Gomez,nm0327064
Greg Coolidge,nm0177637
Peter Odiorne,nm0644100
Waris Hussein,nm0404014
Pasith Buranajan,nm2188382
Ali Taner Baltaci,nm0051166
David Hewlett,nm0382110
Thomas Jane,nm0005048
Christine Crokos,nm1764728
Meiert Avis,nm0043214
Vladimir Grammatikov,nm0334554
Vamshi Paidipally,nm2449331
Hart Bochner,nm0000952
Émile Gaudreault,nm0309996
Jonas Carpignano,nm3476432
Robert Klane,nm0458228
Jung Da-Won,nm10610490
Edward Anderson,nm2207094
Robin Swicord,nm0842523
John G. Blystone,nm0090007
Michel Leclerc,nm1098171
Haylar Garcia,nm1815707
Bruno Dumont,nm0241622
Victor Zarcoff,nm7082397
David Chirchirillo,nm3616958
Chen Li,nm3155266
Eric Schaeffer,nm0769703
Christopher Monger,nm0003355
Narciso Ibáñez Serrador,nm0406654
Julien Hollande,nm3362170
Dino Risi,nm0728271
Arivazhagan Venkatachalam,nm3942648
Don Sharp,nm0789033
Ofir Raul Graizer,nm3409787
Dong Shen,nm2971253
Manabu Asô,nm0968592
Yoshihiro Mori,nm2525080
Melvin Van Peebles,nm0887708
Seung-Ho Choi,nm5901825
Maju,nm9634343
Howard Storm,nm0832573
Karel Zeman,nm0954724
Hans-Christian Schmid,nm0772691
Noriaki Yuasa,nm0950633
Mohamed Diab,nm2559996
Dianna Agron,nm1872698
Mads Matthiesen,nm1323584
Chema García Ibarra,nm3178229
Tinu Suresh Desai,nm4819186
Atsuko Hirayanagi,nm1454680
Jesse Gustafson,nm2654350
Carlos Reygadas,nm1196161
Andy Wilson,nm0933002
Jim O'Connolly,nm0640226
A.V. Rockwell,nm5690427
Dewey Nicks,nm0630083
Drew Gabreski,nm0300171
Markus Fischer,nm0279043
Jared Drake,nm2335574
Jon Drever,nm2270358
Miles Joris-Peyrafitte,nm3098802
Ovidio G. Assonitis,nm0039890
John Ward,nm0911631
Sean Mathias,nm0558773
Theodore Gershuny,nm0314856
Sergio Tovar Velarde,nm2162223
Abhinav Kashyap,nm3508781
Richard LeMay,nm0501165
Carol Frank,nm0290867
Laurent Tuel,nm0876146
Matt Johnson,nm4798740
Joe May,nm0562004
Stephen Shimek,nm2593537
Robert Guédiguian,nm0350168
Franc. Reyes,nm0721279
Yayo Herrero,nm4191929
Carlo Ludovico Bragaglia,nm0103855
Wilson Coneybeare,nm0174551
Q. Allan Brocka,nm0110654
Manoj Beedha,nm9587716
Jae-yeon Yun,nm1392384
Eric Eason,nm1067858
Ken Dixon,nm0228895
William Fruet,nm0296651
Blair Erickson,nm4578266
Claude Lelouch,nm0500988
Hal Sutherland,nm0840097
Julia Shaw,nm1302337
Terry Lee Coker,nm4833816
Rodrigo Guerrero,nm5058881
Ricky Hess,nm5601644
Todd Kessler,nm1383079
Terra Shin,nm2938979
Lynne Littman,nm0003313
Jorge Torregrossa,nm0868441
Ben Sombogaart,nm0813786
Adam Kassen,nm0440859
Chris Moore,nm0601031
Byron Quisenberry,nm0704434
Steven Feder,nm0270090
Jack Ayers,nm4374531
Anwar Rasheed,nm2057169
Michael Greenspan,nm1042371
Kyeong-hyeong Kim,nm1305425
Jung Yong-ju,nm11998729
Yilmaz Erdogan,nm0258784
Sung-bo Shim,nm1646563
Robert Harling,nm0363326
Casey Affleck,nm0000729
Ed Blum,nm0089636
Jeong-ho Lee,nm1035649
Stefano Mordini,nm0603299
Gillian Robespierre,nm3521871
Shaun Peter Cunningham,nm4868383
Christopher Sun,nm4029670
Cameron Thor,nm0861151
Til Schweiger,nm0001709
Dale Schott,nm0774927
Atle Solberg Blakseth,nm2256657
Joann Sfar,nm2677924
Anders Anderson,nm1981319
Laurence Malkin,nm0539803
Kwang-tae Kim,nm7356134
Allan Dwan,nm0245385
Kazuya Shiraishi,nm3629099
Susanna Nicchiarelli,nm1339604
Lee Min-jae,nm10933454
Shivam Nair,nm2243602
John Asher,nm0038875
Tom Paton,nm7441188
Savvas Christou,nm6008906
Christophe Barratier,nm0056725
Walter Grauman,nm0336139
Maurice Trouwborst,nm2455668
Casper Andreas,nm0028220
Ryan Nicholson,nm0629913
Peyo,nm0678963
Cybil Richards,nm0724037
Ivan Sen,nm0784008
Carlos Saura,nm0767022
Puttipong Pormsaka Na-Sakonnakorn,nm4399063
Flavio Pedota,nm5923515
Michael Uppendahl,nm0881461
Matt Riddlehoover,nm1979801
Michael Miller,nm0588964
Brian Frank Visciglia,nm4441258
Adam Deierling,nm1505856
Leopoldo Aguilar,nm2705766
Radha Krishna Jagarlamudi,nm3758453
Er Cheng,nm2965065
Edoardo Vitaletti,nm8391920
Barnet Kellman,nm0446060
Dong-Wook Lee,nm0497174
Agnès Varda,nm0889513
Andreas Prochaska,nm0698283
Bill Oliver,nm1369715
Pierre-François Martin-Laval,nm0553237
Robert David Port,nm0691888
Martín Deus,nm1389105
Colin Nutley,nm0638324
Bruce La Bruce,nm0478418
Emiliano Rocha Minter,nm5495378
Fabien Dufils,nm1359410
Hervé Palud,nm0658836
JT Mollner,nm2356768
Shûichi Ikeda,nm0407454
Steve Basilone,nm1755889
Junichi Suzuki,nm0840594
Yûji Makiguchi,nm1371352
Tony Piccirillo,nm0681553
Kern Saxton,nm1615009
Aleksey German,nm0314516
José Giovanni,nm0320510
Kai Wessel,nm0921810
Tae-hwa Eom,nm6174515
Brad Mirman,nm0592436
Paul Dugdale,nm2829542
Glenn McQuaid,nm1137264
Hélène Cattet,nm1732946
Andy Garcia,nm0000412
John Ballard,nm0050633
Aaron Katz,nm1369800
Jui-Chih Chiang,nm5743648
Adam Simon,nm0800048
Jean Becker,nm0065449
Fernando Trueba,nm0874096
Alan Simpson,nm0800884
Ira Sachs,nm0755158
Indra Kumar,nm0409791
Danny Lerner,nm0503600
Cuba Gooding Jr.,nm0000421
Vincent Masciale,nm1802233
William Wesley,nm0007142
Mahmoud Shoolizadeh,nm1575860
Daniel Monzón,nm0600409
Hadi Hajaig,nm1561205
Rachel Perkins,nm0674034
James Lapine,nm0487567
Cameron Cairnes,nm1637876
Christine Jeffs,nm0420422
J.J. Johnson,nm1664945
Pa. Ranjith,nm3163794
Kirill Serebrennikov,nm1970598
Joaquín Cociña,nm4860666
Byung-chun Min,nm1122911
Dale Fabrigar,nm1354965
Pepe Danquart,nm0200500
Emmanuel Finkiel,nm0277933
Stephen Armourae,nm2100778
Debbie Isitt,nm0411213
Paul Campion,nm0133067
Matt Osterman,nm2470867
Han Sang-Ho,nm5142155
Bruce Wemple,nm6417610
Cody Calahan,nm2970236
Ken Shapiro,nm0788553
Shashanka Ghosh,nm1492802
Alan White,nm0924429
Steffen Haars,nm1473091
Sophie Lellouche,nm1523943
Neeraj Pandey,nm3109770
Martin Butler,nm6041597
Chris von Hoffmann,nm3249706
Sara Seligman,nm3192201
Jean Rollin,nm0210811
Wojciech Has,nm0367860
Héctor Olivera,nm0647055
Clarence Brown,nm0113284
Kevin Asch,nm0038475
Alex Ross Perry,nm3504405
Leslie Small,nm0806492
Ben Jagger,nm3019115
Anne Giafferi,nm1199305
John Byrum,nm0126440
Nacho Cerdà,nm0148511
Thomas Gilou,nm0319624
Ju-Young Park,nm10366636
Michael Caissie,nm3131705
Sandor Stern,nm0827839
Seth Holt,nm0392519
Pascale Ferran,nm0273863
Ricardo Maldonado,nm5624036
Aliyar Ali Kutty,nm4862933
Minhal Baig,nm6850073
Cheng-Kuo Yen,nm1265451
Arnaud Larrieu,nm0488623
Pete Difolco,nm5167003
Sonny Laguna,nm3442182
Ignacio Ferreras,nm1282993
James L. George,nm0313471
Jack Sher,nm0792042
Steven Baigelman,nm0047076
Seong-Tae Lee,nm8529186
Paul Borghese,nm0096637
Albert Brooks,nm0000983
Gabe Torres,nm0868650
Jonathan Barré,nm2928862
Athina Rachel Tsangari,nm0718125
Ettore Scola,nm0778633
Archie Mayo,nm0562845
Tristan Barr,nm3300247
Marlin Darrah,nm1135811
Drew Britton,nm5649292
Chris Roberts,nm0730932
Chad Burns,nm3241061
Ching-Po Wong,nm1494662
Gary Michael Schultz,nm1770760
Joe Lujan,nm5619726
Jin-mo Cho,nm4459525
Livingston Oden,nm5336423
Tae-ra Shin,nm7766080
Andrés Wood,nm0939540
Shane Dawson,nm3507289
Eduardo Plá,nm1037501
Javier Barbera,nm1996051
Dan Eckman,nm2254920
Daniel Vigne,nm0897045
Paul Grimault,nm0342156
Nadine Labaki,nm1701024
Jonas Govaerts,nm1818050
Scott Schirmer,nm4074758
Fredrik Bond,nm0093934
Sharat Katariya,nm2680506
Ahmed Khan,nm0451155
Krishnendu Sarkar,nm3213756
Wallace Worsley,nm0941637
Kerstin Ahlrichs,nm0014050
Leste Chen,nm1970591
Sue Brooks,nm0112262
Mary Stuart Masterson,nm0000524
Irving Reis,nm0718321
Joe Chien,nm3209872
Franziska Meyer Price,nm0583444
Jason Cortlund,nm1968306
Michael Dinner,nm0227781
Nabwana I.G.G.,nm4254419
Simon Helberg,nm0374865
Jimmy Huston,nm0404128
Stan Foster,nm0288055
Matt Codd,nm0168439
Gilberto Gazcón,nm0311065
Juha Wuolijoki,nm0943363
Emilio Aragón,nm0032795
Min-suk Kim,nm3029976
Mei Hu,nm0576610
Robert Ginty,nm0320180
Julius Ramsay,nm1905909
Antonio Margheriti,nm0546672
Adrian Vitoria,nm0900078
Kenneth Kainz,nm0435091
Matt Winn,nm0935352
Zabou Breitman,nm0951456
Ibai Abad,nm5538225
Charles Murray,nm0614880
Romain Eric Pacaud,nm10253952
Kou Matsuo,nm2179963
Sonny Mallhi,nm1867458
Sean McGinly,nm0003152
Esteban Crespo,nm1878916
Danny Mooney,nm2421181
Jerry Dugan,nm1409208
Jodie Markell,nm0548346
Vicco von Bülow,nm0902086
Ruba Nadda,nm0618779
Marco Petry,nm0678450
Ursula Meier,nm0576732
Pedro Rivero,nm1038878
Andrew C. Erin,nm0259428
Brian Netto,nm1826621
Jim Clark,nm0164083
Ivan Passer,nm0664852
Konstantin Lopushanskiy,nm0520283
Lea Schmidbauer,nm1847739
Daniel Rezende,nm1179870
Paco Bardales,nm5815221
George Melford,nm0577654
Valérie Lemercier,nm0501256
David Steiman,nm0825360
George Marshall,nm0550892
Yûichi Abe,nm0008395
Tom Provost,nm0699103
S.V. Krishna Reddy,nm0007161
Susan Streitfeld,nm0834201
Thierry Klifa,nm1126428
Harley Cokeliss,nm0170113
Pascal Plante,nm4317824
