ID,Director,STARmeter
nm0132709,Martin Campbell,8806
nm0281508,Ruben Fleischer,15763
nm1980431,Michael Chaves,40605
nm5451986,Yutaro Kubo,1081080
nm2270017,Damon Thomas,77943
nm0601382,John Moore,27119
nm0881279,Lee Unkrich,33222
nm0102873,Harry Bradbeer,36428
nm0906413,Ka-Fai Wai,266090
nm3211470,Robert Eggers,2788
nm0197855,John Francis Daley,1755
nm0617042,Mark Mylod,9252
nm0593610,Mike Mitchell,23653
nm0594503,Hayao Miyazaki,1095
nm1653753,Paul King,3202
nm0005222,Sam Mendes,4153
nm1497680,Steve Lawson,115081
nm0006487,Jim Sheridan,14434
nm1788310,Jenny Gage,114927
nm1754496,Bill Zebub,28952
nm0082450,Paul Feig,6489
nm1639277,Michael Tiddes,105996
nm0021249,Roger Allers,54732
nm0002077,Dexter Fletcher,1096
nm0227540,Mark Dindal,34372
nm0879937,Yasuaki Uegaki,396941
nm3042580,Shailendra Singh,233446
nm3621304,John Patton Ford,26267
nm12055434,Kye Jang-Hyuk,1328025
nm0569891,Tom McGrath,16824
nm1154836,Enrico Casarosa,90414
nm0281945,Anne Fletcher,17606
nm0269463,Jon Favreau,1173
nm0898288,Denis Villeneuve,463
nm1235298,Michael O'Bernicia,115503
nm1844237,Chris Miller,27985
nm0893659,Gore Verbinski,6760
nm1216495,Fumihiko Sori,251869
nm0166438,Laure de Clermont-Tonnerre,31074
nm5995018,Hiroyasu Ishida,149825
nm0005363,Guy Ritchie,59
nm3013234,Chloe Okuno,22529
nm1037826,Fabián Forte,172029
nm0474955,Roger Kumble,24188
nm0083348,Brad Bird,0
nm0283816,Anna Foerster,45427
nm2717110,Hicham Hajji,110759
nm0000338,Francis Ford Coppola,1358
nm3230448,Tom Gormican,19944
nm1488800,Ti West,3652
nm0905154,Lana Wachowski,3855
nm1989536,Marc Webb,9867
nm1017470,Andrew Baird,38290
nm0444870,Jon Keeyes,48318
nm0288758,Lawrence Fowler,89753
nm3879509,Lawrie Brewster,124544
nm1569807,Dong-hoon Choi,70490
nm2010048,Pierre Perifel,96562
nm0538328,Michael Mak,227252
nm2800717,Ignacio Tatay,248619
nm0003021,Chris McKay,15766
nm4170048,Ari Aster,1692
nm0640334,Gavin O'Connor,6813
nm0001716,Tony Scott,3034
nm0000709,Robert Zemeckis,2977
nm0000631,Ridley Scott,425
nm0000217,Martin Scorsese,113
nm1475479,Jim Strouse,49644
nm0001392,Peter Jackson,1412
nm0851930,Alan Taylor,17052
nm2125482,Chloé Zhao,5909
nm2910706,Alberto Rodriguez,330215
nm0118333,Chris Buck,23396
nm0545356,Olivier Marchal,25320
nm0043742,David Ayer,713
nm1471372,Richard Wong,120363
nm0005124,John Lasseter,13202
nm0397174,Byron Howard,37098
nm0506613,Shawn Levy,1944
nm0336620,F. Gary Gray,5863
nm0166256,Ron Clements,27572
nm1442514,S.S. Rajamouli,13244
nm1226871,Wes Ball,11476
nm2585406,Simon McQuoid,27489
nm0318916,Craig Gillespie,6160
nm1634378,Takayuki Hamana,390038
nm2305479,Bartosz M. Kowalski,134685
nm4998490,L. Gustavo Cooper,192506
nm0917188,Chris Wedge,37809
nm2130108,Bob Persichetti,63997
nm0159745,Casper Christensen,35740
nm1641306,Taneli Mustonen,139208
nm0002700,Malcolm D. Lee,28827
nm0735705,Alberto Rodríguez,58136
nm1266897,Johannes Roberts,27822
nm2300570,J.D. Dillard,37548
nm0000165,Ron Howard,767
nm0000814,John G. Avildsen,15755
nm0270263,Brian Fee,73873
nm2379882,Yuen Fai Ng,187977
nm1098493,Rawson Marshall Thurber,12863
nm0065608,Walt Becker,52601
nm0230032,Pete Docter,13005
nm1789992,Jesse Harris,138462
nm3301836,Goran Stolevski,35247
nm1075459,Bill Rogers,60279
nm0314671,Clyde Geronimi,130205
nm0220600,Scott Derrickson,12533
nm1119880,Colin Trevorrow,14062
nm5820154,Ilya Naishuller,13807
nm1279950,Dmitriy Kiselev,143191
nm0128382,Israel Adrián Caetano,203846
nm10587263,Riccardo Chemello,164819
