Column1;ID;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;distrib_1;distrib_2;distrib_3;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;budget
7681;248927;D'après une Histoire Vraie;Emmanuelle Seigner; Eva Green; Vincent Perez; Josée Dayan;Roman Polanski;;;Olivier Assayas; Roman Polanski; Delphine De Vigan;Mars Films;;;Drame; Thriller;;;;;;France;1.0;11.0;2017.0;2.0;2.4;101.0;67631.0;€13,990,000 (estimated)
7682;248934;This is not a coup - Just another day in the EU;;;;;Aris Chatzistefanou; Aris Triandafyllou;;;;;Cinéma Saint-André des Arts;;;Documentaire;;;;;;;Grèce;5.0;10.0;2016.0;2.0;3.2;80.0;82.0;
7683;248935;L'Homme flottant;Camille Bardery; Anne-Jacqueline Bousch; Muriel Gaudin; Leopoldine Serre;Eric Bu;;;;;;Cinéma Saint-André des Arts;;;Comédie dramatique;;;;;;;France;12.0;10.0;2016.0;2.0;3.1;44.0;78.0;
7684;248962;Knock;Omar Sy; Alex Lutz; Ana Girardot; Sabine Azéma;Lorraine Levy;;;Lorraine Levy; Jules Romains;;Mars Films;;;Comédie;;;;;;;France;18.0;10.0;2017.0;2.0;2.4;114.0;279670.0;$500 (estimated)
7685;248992;Der Hauptmann;Max Hubacher; Milan Peschel; Frederick Lau; Bernd Hölscher;Robert Schwentke;;;Robert Schwentke;;;Alfama Films;;;Drame; Guerre;;;;;;Allemagne;21.0;3.0;2018.0;2.0;2.9;118.0;6125.0;€5,800,000 (estimated)
7686;248993;3 Tage in Quiberon;Marie Bäumer; Birgit Minichmayr; Charly Hübner; Robert Gwisdek;Emily Atef;;;Emily Atef;;;Dulac Distribution;;;Drame;;;;;;;Allemagne;10.0;12.0;2013.0;1.0;3.7;115.0;22365.0;$1,882,287
7687;249056;1:54;Antoine-Olivier Pilon; Sophie Nélisse; Lou-Pascal Tremblay; David Boutin;Yan England;;;Yan England;;;ARP Sélection;;;Drame;;;;;;;Canada;15.0;3.0;2017.0;2.0;3.4;106.0;21207.0;€350 (estimated)
7688;249082;Maryline;"Adeline D&#039;Hermy"; Vanessa Paradis; Alice Pol; Eric Ruf;Guillaume Gallienne;;;Guillaume Gallienne;;;Gaumont Distribution;;;Drame;;;;;;;France;15.0;11.0;2017.0;2.0;3.0;107.0;87066.0;€7,814,653 (estimated)
7689;249108;Les Nouvelles Aventures de Cendrillon;Marilou Berry; Josiane Balasko; Arnaud Ducret; Didier Bourdon;Lionel Steketee;;;Daive Cohen;;;Pathé;;;Comédie;;;;;;;France;18.0;10.0;2017.0;2.0;1.8;90.0;347327.0;€10,000,000 (estimated)
7690;249110;Teo-neol;Jung-woo Ha; Doona Bae; Dal-Su Oh; Ji-Hyun Nam;Seong Hun Kim;;;Seong Hun Kim;;;Condor Distribution;;;Drame; Thriller;;;;;;Corée du Sud;3.0;5.0;2017.0;2.0;3.3;126.0;35122.0;$568,876
7691;249112;El Invierno;Alejandro Sieveking; Cristian Salguero; Adrián Fondari; Pablo Cedrón;Emiliano Torres;;;Marcelo Chaparro; Emiliano Torres;;Tamasa Distribution;;;Drame;;;;;;;France;28.0;6.0;2017.0;2.0;3.3;95.0;5673.0;$17,862
7692;249113;Les Ex;Jean-Paul Rouve; Maurice Barthélémy; Claudia Tagbo; Patrick Chesnais;Maurice Barthélémy;;;Maurice Barthélémy; Fausto Brizzi; Marco Martani;SND;;;Comédie;;;;;;;France;21.0;6.0;2017.0;2.0;2.2;84.0;185922.0;$2,604,618
7693;249136;W? Búshì P?n J?nlián;Bingbing Fan; Guo Tao; Da Peng; Jiayi Zhang;Xiaogang Feng;;;Zhenyun Liu; Zhenyun Liu;;Happiness Distribution;;;Comédie dramatique;;;;;;;Chine;5.0;7.0;2017.0;2.0;3.1;138.0;6569.0;$436,798
7694;249139;Akher Wahed Fina;Jawher Soudani; Fathi Akkari; Jihed Fourti;;Ala Eddine Slim;;;Ala Eddine Slim;;;Potemkine Films;;;Drame;;;;;;;Tunisie;22.0;8.0;2018.0;2.0;3.6;94.0;850.0;
7695;249141;Los Nadie;Maria Angélica Puerta; Luis Felipe Álzate; Maria Camila Castrillón; Alejandro Pérez Ceferino;Juan Sebastián Mesa;;;Juan Sebastián Mesa;;;Le Chien qui Aboie;;;Drame;;;;;;;Colombie;6.0;12.0;2017.0;2.0;2.9;84.0;232.0;$60,567
7696;249160;La Sociale;;;;;Gilles Perret;;;;;;Rouge Productions;;;Documentaire;;;;;;;France;9.0;11.0;2016.0;2.0;3.3;84.0;13564.0;
7697;249191;Thirst Street;Lindsay Burdge; Damien Bonnard; Esther Garrel; Lola Bessis;Nathan Silver;;;Chris Wells (II); Nathan Silver;;Stray Dogs Distribution;;;Comédie; Romance;;;;;;France;25.0;7.0;2018.0;2.0;3.2;83.0;2275.0;$9,129
7698;249201;Wish Upon;Joey King; Ryan Phillippe; Ki Hong Lee; Shannon Purser;John R. Leonetti;;;Barbara Marshall (II); W. W. Jacobs;;Paramount Pictures France;;;Fantastique; Epouvante-horreur; Thriller;;;;;U.S.A.;26.0;7.0;2017.0;2.0;2.0;90.0;167240.0;12000000.0
7699;249207;El Cristo ciego;Michael Silva; Bastian Inostroza; Ana Maria Henriquez; Mauricio Pinto;Christopher Murray;;;Christopher Murray;;;Jour2fête;;;Drame;;;;;;;Chili;10.0;5.0;2017.0;2.0;3.1;85.0;718.0;
