Column1;ID;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;distrib_1;distrib_2;distrib_3;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;budget
0;1317;Vivre !;Aymeric Cormerais; Jean-Jacques Le Vessier; Gaël Tanniou; Lydie Waï;Yvon Marciano;;;Yvon Marciano;;;Colifilms Diffusion;;;Comédie dramatique;;;;;;;France;7.0;10.0;2009.0;2.0;1.9;103.0;3012.0;
1;2314;Pasazerka;Anna Ciepielewska; Aleksandra Slaska; Jan Kreczmar; Marek Walczewski;Andrzej Munk; Witold Lesiewicz;;Zofia Posmysz; Andrzej Munk; Zofia Posmysz;Malavida Films;;;Drame;;;;;;;Pologne;28.0;10.0;1964.0;2.0;4.6;62.0;1420.0;
2;3239;The Lodger: A Story of the London Fog;Marie Ault; Arthur Chesney; Reginald Gardiner; Alfred Hitchcock;Alfred Hitchcock;;;Eliot Stannard; Alfred Hitchcock; Marie Belloc Lowndes;Carlotta Films;;;Policier; Drame;;;;;;Grande-Bretagne;17.0;11.0;2010.0;2.0;5.0;79.0;615.0;£12,000 (estimated)
3;4389;Sao Bernardo;Rodolfo Arena; Othon Bastos; Luiz Carlos Braga; Josef Guerreiro;Leon Hirszman;;;Leon Hirszman; Graciliano Ramos;;Les Films du Paradoxe;;;Drame;;;;;;;Brésil;11.0;6.0;2014.0;2.0;4.3;113.0;156.0;
4;5134;El Otro Cristobal;Jean Bouise; Alden Knight; Bertina Acevedo; Pierre Chaussat;Armand Gatti;;;Armand Gatti; Adam Ulrych;;Ed Distribution;;;Fantastique;;;;;;;Cuba;18.0;9.0;2019.0;2.0;4.0;115.0;436.0;
5;5598;Torch Song Trilogy;Anne Bancroft; Matthew Broderick; Harvey Fierstein; Brian Kerwin;Paul Bogart;;;Harvey Fierstein; Harvey Fierstein;;Carlotta Films;;;Comédie dramatique;;;;;;;U.S.A.;2.0;5.0;1990.0;2.0;4.0;120.0;661.0;$4,865,997
6;5818;Titanic;Leonardo DiCaprio; Kate Winslet; Billy Zane; Kathy Bates;James Cameron;;;James Cameron;;;The Walt Disney Company France;;;Drame; Romance;;;;;;U.S.A.;7.0;1.0;1998.0;2.0;4.9;194.0;498212.0;$200,000,000 (estimated)
7;5847;Octobre à Paris;;;;;Jacques Panijel;;;;;;Les Films de l'Atalante;;;Documentaire;;;;;;;France;19.0;10.0;2011.0;2.0;3.8;70.0;1651.0;
8;6318;L'Enfer;Emmanuelle Béart; Karin Viard; Marie Gillain; Carole Bouquet;Danis Tanovic;;;Kryzsztof Piesiewicz; Krzysztof Kieslowski; Kryzsztof Piesiewicz;Diaphana Films;;;Drame;;;;;;;France;30.0;11.0;2005.0;2.0;2.2;95.0;43689.0;$595,618
9;6328;Anna;Anna Karina; Jean-Claude Brialy; Serge Gainsbourg; Marianne Faithfull;Pierre Koralnik;;;Pierre Koralnik; Jean-Loup Dabadie;;Malavida Films;;;Comédie musicale; Romance;;;;;;France;13.0;1.0;1967.0;4.0;4.0;87.0;1417.0;
10;6450;Tell me lies;Mark Jones; Robert Lloyd; Glenda Jackson; Eric Allan;Peter Brook;;;Peter Brook; Michael Kustow; Michael Scott (III);Dulac Distribution;;;Drame;;;;;;;Grande-Bretagne;10.0;10.0;2012.0;2.0;3.8;108.0;3901.0;
11;6615;Grazuole;Inga Mickyte; Lilija Zhadeikyte; Arvidas Samukas; Tauras Ragalevicius;Ar?nas Žebri?nas;;;Jurijus Jakovlevas;;;Ed Distribution;;;Comédie dramatique;;;;;;;Lituanie;22.0;8.0;2018.0;2.0;3.9;65.0;1200.0;
12;7118;Les convoyeurs attendent;Benoît Poelvoorde; Dominique Bayens; Bouli Lanners; Morgane Simon;Benoît Mariage;;;Benoît Mariage; Emmanuelle Bada; Jean-Luc Seigle;Mars Distribution;;;Comédie dramatique;;;;;;;Belgique;15.0;9.0;1999.0;2.0;3.5;94.0;52649.0;$5,518
13;8037;Grandeur et décadence d'un petit commerce de cinéma;Jean-Pierre Léaud; Jean-Pierre Mocky; Caroline Champetier; Nathalie Richard;Jean-Luc Godard;;;James Hadley Chase; Jean-Luc Godard;;Les Bookmakers ; Capricci Films;;Policier;;;;;;;Suisse;4.0;10.0;2017.0;2.0;4.0;91.0;1503.0;
14;8615;Hanyo;Eun-shim Lee; Jeung-nyeo Ju; Jin Kyu Kim; Sung-kee Ahn;Kim Ki-Young;;;Kim Ki-Young;;;Carlotta Films;;;Drame; Epouvante-horreur;;;;;;Corée du Sud;15.0;8.0;2012.0;2.0;4.1;111.0;6481.0;
15;8727;2/dyuo;Yu Eri; Hidetoshi Nishijima; Otani Kenjirô; Yamamoto Miyuki;Nobuhiro Suwa;;;;;;Capricci Films;;;Drame;;;;;;;Japon;31.0;10.0;2012.0;2.0;3.9;90.0;1513.0;
16;9906;Happy-Go-Lucky;Sally Hawkins; Alexis Zegerman; Andrea Riseborough; Sinead Matthews;Mike Leigh;;;Mike Leigh;;;MK2 Diffusion;;;Comédie;;;;;;;Grande-Bretagne;27.0;8.0;2008.0;2.0;3.9;118.0;110442.0;$3,512,016
17;10675;Cornouaille;Vanessa Paradis; Samuel Le Bihan; Jonathan Zaccaï; Laurent Stocker;Anne Le Ny;;;Anne Le Ny; Luc Béraud;;UGC Distribution;;;Drame;;;;;;;France;15.0;8.0;2012.0;2.0;3.0;96.0;128162.0;$1,805,634
18;10862;The Lion King;;;;;Roger Allers; Rob Minkoff;;Jim Capobianco; Irene Mecchi; Linda Woolverton;The Walt Disney Company France;;;Aventure; Animation; Famille; Comédie musicale;;;;U.S.A.;23.0;11.0;1994.0;2.0;3.4;89.0;210904.0;$45,000,000 (estimated)
19;11276;Parc;Jean-Marc Barr; Sergi López; Nathalie Richard; Delphine Chuillot;Arnaud des Pallières;;;Arnaud des Pallières; John Cheever;;Ad Vitam;;;Drame;;;;;;;France;14.0;1.0;2009.0;2.0;2.8;109.0;4012.0;$47,307
20;11295;Billy Elliot;Jamie Bell; Julie Walters; Gary Lewis; Jamie Draven;Stephen Daldry;;;Lee Hall;;;Tamasa Distribution;;;Comédie dramatique;;;;;;;Grande-Bretagne;20.0;12.0;2000.0;2.0;3.7;110.0;200445.0;$5,000,000 (estimated)
21;11681;Images de femmes ou le corset social;Catherine Breillat; Sharon Stone; Lio; Catherine Deneuve;Jean-François Ferrillon;;;Jean-François Ferrillon;;;Imagie;;;Documentaire;;;;;;;France;5.0;1.0;2011.0;2.0;2.2;80.0;531.0;
22;12791;Planet of the Apes;Charlton Heston; Roddy McDowall; Kim Hunter; Maurice Evans;Franklin J. Schaffner;;;Michael Wilson; Rod Serling; Pierre Boulle;Swashbuckler Films;;;Drame; Science Fiction;;;;;;U.S.A.;26.0;4.0;1968.0;4.0;4.0;110.0;175773.0;$5,800,000 (estimated)
23;12958;Rupan sansei: Kariosutoro no shiro;;;;;Hayao Miyazaki;;;Haruya Yamazaki; Hayao Miyazaki; Monkey Punch;Splendor Films;;;Aventure; Animation;;;;;;Japon;7.0;3.0;2001.0;2.0;4.0;100.0;3360.0;¥5,000,000,000 (estimated)
24;13182;Kalachakra;;;;;Natalie Fuchs;;;Natalie Fuchs;;;Leelame distribution;;;Documentaire;;;;;;;France;27.0;9.0;2017.0;2.0;3.1;80.0;811.0;?8,588,000 (estimated)
25;13602;Taipei story;Hou Hsiao-Hsien; Su-yun Ko; Tsai Chin; Wu Nien-Jen;Edward Yang;;;Edward Yang; Hou Hsiao-Hsien; Chu Tien-Wen;Carlotta Films;;;Comédie dramatique;;;;;;;Taïwan;12.0;4.0;2017.0;2.0;4.3;119.0;3034.0;
26;15112;Lo Zio di Brooklyn;Salvatore Gattuso; Pippo Augusta; Salvatore Schiera; Gaspare Marchione;Daniele Cipri; Franco Maresco;;Daniele Cipri; Franco Maresco;;Ed Distribution;;;Comédie;;;;;;;Italie;3.0;7.0;2013.0;2.0;4.0;98.0;1450.0;
27;15681;Rencontre avec le dragon;Daniel Auteuil; Nicolas Nollet; Sergi López; Emmanuelle Devos;Hélène Angel;;;Hélène Angel; Jean-Claude Janer; Agnès De Sacy;Diaphana Films;;;Aventure;;;;;;;France;6.0;8.0;2003.0;2.0;2.6;109.0;77178.0;$649,098
28;16591;Madagascar;;;;;Eric Darnell; Tom McGrath;;Billy Frolick; Eric Darnell; Tom McGrath;United International Pictures (UIP);;;Aventure; Animation; Comédie;;;;;U.S.A.;22.0;6.0;2005.0;2.0;3.6;86.0;874013.0;$75,000,000 (estimated)
29;17344;Renaissance;Robert Dauney; Crystal Shepherd-Cross; Isabelle Van Waes; Max Hayter;Christian Volckman;;;Matthieu Delaporte; Alexandre De La Patellière; Patrick Raynal;Pathé;;;Animation;;;;;;;France;15.0;3.0;2006.0;2.0;3.7;95.0;141366.0;$18,000,000 (estimated)
30;17393;Héritage;Ashraf Barhom; Hafsia Herzi; Hiam Abbass; Yussef Abu Warda;Hiam Abbass;;;Hiam Abbass; Ala Hlehel; Nadine Naous;Diaphana Distribution;;;Drame;;;;;;;France;12.0;12.0;2012.0;2.0;3.4;88.0;15897.0;
31;17952;My Name is Joe;Peter Mullan; Louise Goodall; David McKay; David Hayman;Ken Loach;;;Paul Laverty;;;;;;Drame; Romance;;;;;;Grande-Bretagne;14.0;10.0;1998.0;2.0;3.5;105.0;34201.0;$354,952
32;17965;La Revolte des jouets;;;;;Bretislav Pojar; Hermina Tyrlova;;;;;Malavida Films;;;Animation;;;;;;;Tchécoslovaquie;4.0;4.0;2018.0;2.0;4.6;33.0;774.0;
33;18477;The Horse Whisperer;Robert Redford; Kristin Scott Thomas; Scarlett Johansson; Sam Neill;Robert Redford;;;Eric Roth; Richard LaGravenese; Nicholas Evans;;;;Drame; Romance;;;;;;U.S.A.;2.0;9.0;1998.0;2.0;3.2;160.0;45440.0;$60,000,000 (estimated)
34;18478;There's Something about Mary;Ben Stiller; Cameron Diaz; Matt Dillon; Chris Elliott;Peter Farrelly; Bobby Farrelly;;Edward Decter; Peter Farrelly; Bobby Farrelly;Les Acacias;;;Comédie;;;;;;;U.S.A.;11.0;11.0;1998.0;2.0;4.0;119.0;573347.0;$23,000,000 (estimated)
35;18524;The Mask of Zorro;Anthony Hopkins; Antonio Banderas; Catherine Zeta-Jones; Stuart Wilson;Martin Campbell;;;John Eskow; Ted Elliot; Terry Rossio;;;;Action; Aventure; Romance;;;;;U.S.A.;14.0;10.0;1998.0;2.0;3.2;136.0;226753.0;$95,000,000 (estimated)
36;18598;Saving Private Ryan;Ryan Hurst; Tom Hanks; Tom Sizemore; Edward Burns;Steven Spielberg;;;Robert Rodat;;;United International Pictures (UIP);;;Drame; Guerre;;;;;;U.S.A.;30.0;9.0;1998.0;2.0;3.0;163.0;165808.0;$70,000,000 (estimated)
37;18671;The Truman Show;Jim Carrey; Laura Linney; Natascha McElhone; Ed Harris;Peter Weir;;;Andrew Niccol;;;Ciné Sorbonne;;;Comédie; Drame;;;;;;U.S.A.;28.0;10.0;1998.0;2.0;3.6;103.0;244990.0;$60,000,000 (estimated)
38;18832;Place Vendôme;Catherine Deneuve; Jacques Dutronc; Jean-Pierre Bacri; François Berléand;Nicole Garcia;;;Emmanuel Bourdieu; Jacques Fieschi; Nicole Garcia;;;;Comédie dramatique;;;;;;;France;31.0;12.0;2015.0;3.0;2.4;117.0;37701.0;$895,788
39;19170;Alice et Martin;Juliette Binoche; Alexis Loret; Mathieu Amalric; Carmen Maura;André Téchiné;;;Olivier Assayas; Gilles Taurand; André Téchiné;Bac Films;;;Drame;;;;;;;France;4.0;11.0;1998.0;2.0;3.4;120.0;118215.0;$500,896
40;19174;Hanuman;Robert Cavanah; Tabu; Nathalie Auffret; Khalid Thiabji;Fred Fougea;;;Fred Fougea; Michel Fessler;;;;;Aventure;;;;;;;France;1.0;1.0;2008.0;1.0;2.9;90.0;61461.0;€7,500,000 (estimated)
41;19184;The X Files;Jeffrey DeMunn; Martin Landau; Blythe Danner;" Terry O&#039;Quinn";Rob Bowman;;;Chris Carter; Frank Spotnitz;;UFD;;;Fantastique; Thriller;;;;;;Canada;21.0;10.0;1998.0;2.0;2.9;121.0;100301.0;$66,000,000 (estimated)
42;19280;Elizabeth;Cate Blanchett; Joseph Fiennes; Geoffrey Rush; Eric Cantona;Shekhar Kapur;;;Michael Hirst;;;PolyGram Film Distribution;;;Drame; Historique;;;;;;Grande-Bretagne;11.0;11.0;1998.0;2.0;3.7;124.0;48243.0;$30,000,000 (estimated)
43;19403;The Negotiator;Samuel L. Jackson; Kevin Spacey; David Morse; Ron Rifkin;F. Gary Gray;;;James DeMonaco; Kevin Fox;;Warner Bros. France;;;Policier; Thriller;;;;;;Allemagne;4.0;11.0;1998.0;2.0;3.5;140.0;85976.0;$50,000,000 (estimated)
44;19430;15 août;Richard Berry; Charles Berling; Jean-Pierre Darroussin; Mélanie Thierry;Patrick Alessandrin;;;Lisa Azuelos;;;EuropaCorp Distribution;;;Comédie;;;;;;;France;18.0;4.0;2001.0;2.0;3.0;92.0;344277.0;€7,500,000 (estimated)
45;19439;Snake Eyes;Nicolas Cage; John Heard; Gary Sinise; Carla Gugino;Brian De Palma;;;David Koepp; Brian De Palma;;Gaumont Buena Vista International (GBVI);;;Policier; Drame; Thriller;;;;;U.S.A.;11.0;11.0;1998.0;2.0;4.3;98.0;442592.0;$73,000,000 (estimated)
46;19483;Antz;;;;;Eric Darnell; Tim Johnson; Lawrence Guterman;Todd Alcott; Chris Weitz; Paul Weitz;United International Pictures (UIP);;;Aventure; Animation; Comédie; Famille;;;;U.S.A.;11.0;11.0;1998.0;2.0;3.4;83.0;421717.0;$105,000,000 (estimated)
47;19881;Mai 68, la belle ouvrage;;;;;Jean-Luc Magneron;;;;;;Wide Distribution;;;Documentaire;;;;;;;France;25.0;4.0;2018.0;2.0;3.3;117.0;242.0;
48;20151;Babel;Brad Pitt; Cate Blanchett; Gael García Bernal; Koji Yakusho;Alejandro González Iñárritu;;;Guillermo Arriaga; Guillermo Arriaga; Alejandro González Iñárritu;Mars Distribution;;;Drame; Thriller;;;;;;France;15.0;11.0;2006.0;2.0;3.6;135.0;200643.0;$25,000,000 (estimated)
49;20153;The Mummy;Brendan Fraser; Rachel Weisz; John Hannah; Arnold Vosloo;Stephen Sommers;;;Stephen Sommers; Nina Wilcox Putnam; Richard Schayer;United International Pictures (UIP);;;Aventure; Fantastique;;;;;;U.S.A.;21.0;7.0;1999.0;2.0;3.1;125.0;36295.0;$80,000,000 (estimated)
50;20287;Notting Hill;Julia Roberts; Hugh Grant; Richard McCabe; James Dreyfus;Roger Michell;;;Richard Curtis;;;Universal Pictures France (UPF);;;Comédie; Romance;;;;;;U.S.A.;18.0;8.0;1999.0;2.0;3.9;124.0;266598.0;$42,000,000 (estimated)
51;20290;Wild Wild West;Will Smith; Kevin Kline; Kenneth Branagh; Salma Hayek;Barry Sonnenfeld;;;S.S. Wilson; Brent Maddock; Jeffrey Price;Warner Bros. France;;;Action; Aventure; Western;;;;;U.S.A.;4.0;8.0;1999.0;2.0;3.4;104.0;37616.0;$170,000,000 (estimated)
52;20350;Est-Ouest;Sandrine Bonnaire; Oleg Menchikov; Catherine Deneuve; Ruben Tapiero;Régis Wargnier;;;Louis Gardel; Rüstem ?brahimbekov; Régis Wargnier;UFD;;;Drame; Romance;;;;;;France;1.0;9.0;1999.0;2.0;3.3;120.0;48850.0;$11,500,000 (estimated)
53;20381;Toto Che Visse Due Volte;Salvatore Gattuso; Marcello Miranda; Carlo Giordano; Pietro Arciadiacono;Daniele Cipri; Francesco Maresto;;Daniele Cipri; Lillo Iacolino; Franco Maresco;Ed Distribution;;;Comédie; Drame;;;;;;Italie;10.0;6.0;2009.0;2.0;3.6;95.0;2120.0;$8,478
54;20391;The Ninth Gate;Johnny Depp; Frank Langella; Lena Olin; Emmanuelle Seigner;Roman Polanski;;;John Brownjohn; Enrique Urbizu; Roman Polanski;Bac Films;;;Fantastique; Thriller;;;;;;U.S.A.;25.0;8.0;1999.0;2.0;3.2;132.0;101940.0;$38,000,000 (estimated)
55;20395;South Park: Bigger Longer & Uncut;;;;;Trey Parker;;;Trey Parker; Matt Stone; Pam Brady;Warner Bros. France;;;Animation; Comédie; Musical;;;;;U.S.A.;25.0;8.0;1999.0;2.0;3.8;81.0;73036.0;$21,000,000 (estimated)
56;20445;La maladie de Sachs;Albert Dupontel; Valérie Dréville; Dominique Reymond; Etienne Bierry;Michel Deville;;;Michel Deville; Rosalinde Deville; Martin Winckler;;;;Comédie dramatique;;;;;;;France;22.0;9.0;1999.0;2.0;3.8;107.0;67152.0;
57;20490;A Midsummer Night's Dream;Bill Irwin; Rupert Everett; Sophie Marceau; Michelle Pfeiffer;Michael Hoffman;;;Michael Hoffman; William Shakespeare;;UFD;;;Comédie; Fantastique; Romance;;;;;Grande-Bretagne;22.0;9.0;1999.0;2.0;2.9;115.0;41750.0;$11,000,000 (estimated)
58;20498;The Thomas Crown Affair;Pierce Brosnan; Rene Russo; Ben Gazzara; Faye Dunaway;John McTiernan;;;Leslie Dixon; Kurt Wimmer; Alan Trustman;United International Pictures (UIP);;;Policier; Romance; Thriller;;;;;U.S.A.;22.0;9.0;1999.0;2.0;3.1;105.0;324195.0;$48,000,000 (estimated)
59;20502;Eyes Wide Shut;Tom Cruise; Nicole Kidman; Madison Eginton; Sydney Pollack;Stanley Kubrick;;;Stanley Kubrick; Frederic Raphael;;Warner Bros. France;;;Drame; Erotique; Thriller;;;;;Grande-Bretagne;15.0;9.0;1999.0;2.0;4.1;159.0;389322.0;$65,000,000 (estimated)
60;20537;Big Daddy;Adam Sandler; Joey Lauren Adams; Jon Stewart; Kristy Swanson;Dennis Dugan;;;Adam Sandler; Tim Herlihy;;;;;Comédie;;;;;;;U.S.A.;22.0;9.0;1999.0;2.0;2.7;93.0;141577.0;$34,200,000 (estimated)
61;20544;Les Enfants du Siècle;Juliette Binoche; Benoît Magimel; Robin Renucci; Victoire Thivisol;Diane Kurys;;;François-Olivier Rousseau; Murray Head; Diane Kurys;Bac Films;;;Biopic; Comédie dramatique; Historique;;;;;France;22.0;9.0;1999.0;2.0;2.8;135.0;170106.0;$56,611
62;20754;Star Wars: Episode I - The Phantom Menace;Liam Neeson; Ewan McGregor; Natalie Portman; Jake Lloyd;George Lucas;;;George Lucas;;;Twentieth Century Fox France;;;Aventure; Fantastique; Science Fiction;;;;;U.S.A.;13.0;10.0;1999.0;2.0;3.1;133.0;296406.0;$115,000,000 (estimated)
63;21382;Kasaba;Mehmet Emin Toprak; Havva Saglam; Cihat Bütün; Fatma Ceylan;Nuri Bilge Ceylan;;;Nuri Bilge Ceylan; Emine Ceylan;;Memento Distribution;;;Drame;;;;;;;Turquie;16.0;8.0;2023.0;2.0;3.7;84.0;3789.0;
64;22015;Kanashimi no Beradonna;;;;;Eiichi Yamamoto;;;Yoshiyuki Fukuda; Eiichi Yamamoto;;Eurozoom;;;Animation; Drame; Erotique; Fantastique;;;;Japon;15.0;6.0;2016.0;2.0;4.6;93.0;4142.0;$105,841
65;22092;The Sixth Sense;Bruce Willis; Haley Joel Osment; Toni Collette; Olivia Williams;M. Night Shyamalan;;;M. Night Shyamalan;;;Gaumont Buena Vista International (GBVI);;;Drame; Thriller;;;;;;U.S.A.;5.0;1.0;2000.0;2.0;4.0;107.0;806230.0;$40,000,000 (estimated)
66;22758;Le goût des autres;Jean-Pierre Bacri; Gérard Lanvin; Alain Chabat; Agnès Jaoui;Agnès Jaoui;;;Agnès Jaoui; Jean-Pierre Bacri;;Pathé;;;Comédie dramatique; Romance;;;;;;France;1.0;3.0;2000.0;2.0;4.2;112.0;24000.0;$891,369
67;23147;Féminin plurielles;Hafsia Herzi; Lise Bellynck; Anne Steffens; Friedelise Stutte;Sébastien Bailly;;;Sébastien Bailly;;;La Mer à Boire Productions;;;Comédie dramatique;;;;;;;France;7.0;3.0;2018.0;2.0;3.1;82.0;435.0;€180,000 (estimated)
68;23245;Perpetua 664;;;;;Claudia Neubern;;;Fabian Remy; Jean-Marie Remy;;;;;Documentaire;;;;;;;France;19.0;6.0;2013.0;2.0;2.7;79.0;102.0;
69;23283;Grandir;Dominique Cabrera;;;;Dominique Cabrera;;;;;;Splendor Films;;;Documentaire;;;;;;;France;23.0;10.0;2013.0;2.0;3.4;93.0;324.0;
70;23354;The Messengers;Kristen Stewart; Dylan McDermott; Penelope Ann Miller; John Corbett;Oxide Chun Pang; Danny Pang;;Todd Farmer; Mark Wheaton; Stuart Beattie;Metropolitan FilmExport;;;Epouvante-horreur; Thriller;;;;;;U.S.A.;4.0;4.0;2007.0;2.0;1.7;91.0;53396.0;$16,000,000 (estimated)
71;24252;La Clinique de l'amour !;Bruno Salomone; Héléna Noguerra; Artus de Penguern; Natacha Lindinger;Artus de Penguern;;;Artus de Penguern; Gabor Rassov;" Jérôme L&#039;hotsky";Rezo Films;;;Comédie;;;;;;;France;27.0;6.0;2012.0;2.0;3.4;83.0;47212.0;$302,101
72;25453;Blood Simple;John Getz; Frances McDormand; Dan Hedaya; M. Emmet Walsh;Joel Coen; Ethan Coen;;Joel Coen; Ethan Coen;;Les Acacias;;;Policier; Thriller;;;;;;U.S.A.;3.0;7.0;1985.0;2.0;4.7;96.0;2286.0;$1,500,000 (estimated)
73;25751;Au suivant !;Alexandra Lamy; Clovis Cornillac; Juliette Roudet; Jerry Rudes;Jeanne Biras;;;Jeanne Biras;;;EuropaCorp Distribution;;;Comédie; Romance;;;;;;France;6.0;7.0;2005.0;2.0;2.6;90.0;107723.0;$1,095,027
74;25756;Atlantis, the Lost Empire;;;;;Kirk Wise; Gary Trousdale;;Tab Murphy; Gary Trousdale; Joss Whedon;;;;Aventure; Animation; Famille;;;;;U.S.A.;28.0;11.0;2001.0;2.0;3.1;95.0;1148273.0;$120,000,000 (estimated)
75;25857;Ma petite entreprise;Vincent Lindon; François Berléand; Roschdy Zem; Zabou Breitman;Pierre Jolivet;;;Pierre Jolivet; Simon Michaël;;Bac Films;;;Comédie;;;;;;;France;1.0;9.0;1999.0;2.0;4.1;96.0;105862.0;3770000.0
76;26157;Harrison's Flowers;Andie MacDowell; David Strathairn; Adrien Brody; Elias Koteas;Élie Chouraqui;;;Didier Le Pêcheur; Isabel Ellsen; Michael Katims;;;;Drame; Guerre;;;;;;France;24.0;1.0;2001.0;2.0;3.8;130.0;80594.0;$8,000,000 (estimated)
77;26287;Pane E Tulipani;Licia Maglietta; Giuseppe Battiston; Silvana Bosi; Bruno Ganz;Silvio Soldini;;;Doriana Leondeff; Silvio Soldini;;Océan Films;;;Comédie;;;;;;;Suisse;5.0;6.0;2014.0;3.0;3.3;112.0;33632.0;$5,318,679
78;26389;Fa yeung nin wa;Maggie Cheung; Tony Leung Chiu-Wai; Ping Lam Siu; Rebecca Pan;Wong Kar-Wai;;;Wong Kar-Wai;;;The Jokers ; Les Bookmakers;;Drame; Romance;;;;;;France;8.0;11.0;2000.0;2.0;4.6;98.0;37045.0;
79;26404;La Ville Est Tranquille;Ariane Ascaride; Jean-Pierre Darroussin; Pierre Banderet; Véronique Balme;Robert Guédiguian;;;Robert Guédiguian; Jean-Louis Milesi;;Diaphana Films;;;Drame;;;;;;;France;17.0;1.0;2001.0;2.0;3.7;133.0;51072.0;$66,303
80;26533;The Dayereh;Myriam Parvin Almani; Nargess Mamizadeh; Fatemeh Naghavi; Mojgane Faramarzi;Jafar Panahi;;;Kambuzia Partovi; Jafar Panahi;;Tamasa Distribution;;;Drame;;;;;;;Iran;31.0;1.0;2001.0;2.0;4.4;90.0;35852.0;
81;26561;Next;Nicolas Cage; Julianne Moore; Jessica Biel; Thomas Kretschmann;Lee Tamahori;;;Gary Goldman; Jonathan Hensleigh; Paul Bernbaum;TFM Distribution;;;Action; Science Fiction; Thriller;;;;;U.S.A.;25.0;4.0;2007.0;2.0;1.8;96.0;262793.0;$70,000,000 (estimated)
82;26706;Sous le sable;Charlotte Rampling; Bruno Cremer; Alexandra Stewart; Pierre Vernier;François Ozon;;;François Ozon; Emmanuèle Bernheim; Marina De Van;Haut et Court;;;Drame;;;;;;;Japon;7.0;2.0;2001.0;2.0;4.3;95.0;154347.0;$1,452,698
83;26730;Chopper;Eric Bana; Vince Colosimo; David Field; Simon Lyndon;Andrew Dominik;;;Andrew Dominik;;;Sagittaire Films;;;Policier; Drame;;;;;;Australie;30.0;5.0;2001.0;2.0;2.8;94.0;22271.0;A$5,000,000 (estimated)
84;26781;Délicieux;Grégory Gadebois; Isabelle Carré; Benjamin Lavernhe; Guillaume De Tonquédec;Eric Besnard;;;Eric Besnard; Nicolas Boukhrief;;SND;;;Comédie; Historique;;;;;;France;8.0;9.0;2021.0;2.0;3.3;113.0;130477.0;€5,000,000 (estimated)
85;26823;Windtalkers;Nicolas Cage; Adam Beach; Christian Slater; Roger Willie;John Woo;;;John Rice; Joe Batteer;;Pathé;;;Action; Drame; Guerre;;;;;U.S.A.;4.0;9.0;2002.0;2.0;3.3;134.0;221836.0;$115,000,000 (estimated)
86;26825;The Shipping News;Kevin Spacey; Julianne Moore; Judi Dench; Cate Blanchett;Lasse Hallström;;;Robert Nelson Jacobs; Annie Proulx;;;;;Drame;;;;;;;U.S.A.;27.0;2.0;2002.0;2.0;2.6;112.0;56630.0;$38,000,000 (estimated)
87;26832;The Others;Nicole Kidman; Elaine Cassidy; Christopher Eccleston; Fionnula Flanagan;Alejandro Amenábar;;;Alejandro Amenábar;;;Bac Films;;;Drame; Fantastique; Epouvante-horreur;;;;;France;26.0;12.0;2001.0;2.0;4.5;105.0;434397.0;17000000.0
88;26833;The Contender;Jeff Bridges; Joan Allen; Gary Oldman; Christian Slater;Rod Lurie;;;Rod Lurie;;;Cinévia Films;;;Drame; Thriller;;;;;;Allemagne;6.0;3.0;2001.0;1.0;3.3;126.0;62009.0;$20,000,000 (estimated)
89;26835;The Gift;Cate Blanchett; Giovanni Ribisi; Keanu Reeves; Katie Holmes;Sam Raimi;;;Billy Bob Thornton; Tom Epperson;;Mars Distribution;;;Drame; Epouvante-horreur; Thriller;;;;;U.S.A.;18.0;4.0;2001.0;2.0;3.2;112.0;162218.0;$10,000,000 (estimated)
90;26839;The Tailor of Panama;Pierce Brosnan; Jamie Lee Curtis; Geoffrey Rush; Léonor Varela;John Boorman;;;John Boorman; John Le Carré; Andrew Davies;Columbia TriStar Films;;;Espionnage;;;;;;;Irlande;30.0;5.0;2001.0;2.0;3.6;109.0;140875.0;$21,000,000 (estimated)
91;26840;Terminator 3 : Rise of the Machines;Arnold Schwarzenegger; Kristanna Loken; Nick Stahl; Claire Danes;Jonathan Mostow;;;John D. Brancato; Michael Ferris; Tedi Sarafian;Columbia TriStar Films;;;Action; Science Fiction;;;;;;U.S.A.;6.0;8.0;2003.0;2.0;3.0;109.0;1506449.0;$200,000,000 (estimated)
92;26849;Save the Last Dance;Julia Stiles; Sean Patrick Thomas; Kerry Washington; Terry Kinney;Thomas Carter;;;Duane Adler; Cheryl Edwards;;United International Pictures (UIP);;;Drame; Musical; Romance;;;;;U.S.A.;1.0;8.0;2001.0;2.0;2.7;112.0;127416.0;$13,000,000 (estimated)
93;26851;Reines d'un jour;Karin Viard; Hélène Fillières; Sergi López; Victor Lanoux;Marion Vernoux;;;Marion Vernoux; Nathalie Kristy;;;;;Comédie dramatique;;;;;;;France;24.0;10.0;2001.0;2.0;3.4;94.0;195130.0;FRF 20,000,000 (estimated)
