Column1;ID;Budget_dollards
3105;143746; 138 000 000,0   
106;26885; 137 000 000,0   
458;34509; 137 000 000,0   
7639;248437; 136 000 000,0   
453;34437; 135 000 000,0   
976;53880; 135 000 000,0   
2859;139127; 135 000 000,0   
2966;140675; 135 000 000,0   
3285;146916; 135 000 000,0   
3840;182266; 135 000 000,0   
4292;191356; 135 000 000,0   
6491;230822; 135 000 000,0   
818;49757; 135 000 000,0   
4638;197041; 135 000 000,0   
1090;56393; 132 000 000,0   
678;45889; 130 000 000,0   
706;46865; 130 000 000,0   
716;47111; 130 000 000,0   
902;52501; 130 000 000,0   
997;54205; 130 000 000,0   
1198;57769; 130 000 000,0   
1619;109443; 130 000 000,0   
1974;123532; 130 000 000,0   
1992;124529; 130 000 000,0   
2135;127741; 130 000 000,0   
2324;130438; 130 000 000,0   
3003;141564; 130 000 000,0   
3955;184468; 130 000 000,0   
4062;186905; 130 000 000,0   
4618;196666; 130 000 000,0   
1864;115682; 130 000 000,0   
3337;170252; 130 000 000,0   
9115;269170; 129 000 000,0   
866;51506; 128 000 000,0   
108;27022; 127 500 000,0   
5947;225116; 127 000 000,0   
1067;55792; 126 000 000,0   
663;45361; 125 000 000,0   
1005;54226; 125 000 000,0   
2094;126693; 125 000 000,0   
2151;127950; 125 000 000,0   
2548;134373; 125 000 000,0   
2581;134925; 125 000 000,0   
3124;144148; 125 000 000,0   
3419;173048; 125 000 000,0   
3612;178061; 125 000 000,0   
3878;183006; 125 000 000,0   
4502;194938; 125 000 000,0   
5069;207060; 125 000 000,0   
5829;223264; 125 000 000,0   
9351;273207; 125 000 000,0   
377;29276; 125 000 000,0   
687;46317; 125 000 000,0   
2899;139611; 125 000 000,0   
3336;170209; 125 000 000,0   
4769;200088; 125 000 000,0   
4978;204925; 125 000 000,0   
74;25756; 120 000 000,0   
121;27405; 120 000 000,0   
251;28773; 120 000 000,0   
305;28983; 120 000 000,0   
315;29024; 120 000 000,0   
745;47739; 120 000 000,0   
833;50356; 120 000 000,0   
1009;54343; 120 000 000,0   
1065;55774; 120 000 000,0   
1173;57549; 120 000 000,0   
3013;141694; 120 000 000,0   
3250;146326; 120 000 000,0   
3855;182749; 120 000 000,0   
3783;180999; 120 000 000,0   
6866;236733; 120 000 000,0   
3192;145368; 117 000 000,0   
62;20754; 115 000 000,0   
85;26823; 115 000 000,0   
99;26862; 115 000 000,0   
125;27429; 115 000 000,0   
313;29014; 115 000 000,0   
