,nom,nconst
3219,PupiAvati,nm0002194
188,ClaudeMiller,nm0002218
4809,JohnCarrollLynch,nm0002253
1108,AllenCoulter,nm0002339
1577,ClausDrexel,nm0002611
5369,PaoloGenovese,nm0002645
409,JoeJohnston,nm0002653
678,GaryRoss,nm0002657
3541,MalcolmD.Lee,nm0002700
2400,JuanJoseCampanella,nm0002728
6359,DanielGeller,nm0002739
4712,PierreCourrege,nm0002870
3592,WallyPfister,nm0002892
4240,ChrisMcKay,nm0003021
832,IsabelleBroue,nm0003029
823,ChrisNoonan,nm0003088
1343,SeanMcGinly,nm0003152
1367,ChristopherMcQuarrie,nm0003160
681,RobSchmidt,nm0003343
381,RobCohen,nm0003418
676,TroyMiller,nm0003474
1934,NashEdgerton,nm0003482
582,JamesMangold,nm0003506
472,MichelBlanc,nm0003508
1119,DouglasLaw,nm0003532
2378,RichardJ.Lewis,nm0003557
852,PhilippedeBroca,nm0003606
1376,FlorianHenckelvonDonnersmarck,nm0003697
6199,AnthonyFabian,nm0003745
3593,TravisFine,nm0003910
658,PhilippeMuyl,nm0003974
1282,LaurentHerbiet,nm0004124
513,LanceW.Dreesen,nm0004165
1988,Jean-PierreDuret,nm0004202
2322,AndreOvredal,nm0004217
4277,AlfonsoGomez-Rejon,nm0004234
641,GavinHood,nm0004303
800,GeorgeMiller,nm0004305
3306,RobertB.Weide,nm0004332
3865,RakeshRoshan,nm0004363
427,AntoinedeCaunes,nm0004380
1257,MarkNeveldine,nm0004410
3315,DavidBlair,nm0004541
488,PhilAldenRobinson,nm0004675
962,FredericForestier,nm0004689
651,DarrenAronofsky,nm0004716
1767,ChrisCarter,nm0004810
2084,BrianHenson,nm0005008
876,SpikeJonze,nm0005069
1566,HarmonyKorine,nm0005101
908,JohnLasseter,nm0005124
18,MikeLeigh,nm0005139
312,SamMendes,nm0005222
3076,KimberlyPeirce,nm0005303
849,GuyRitchie,nm0005363
162,JayRoach,nm0005366
209,JoeRoth,nm0005387
459,RonShelton,nm0005421
632,JohnSingleton,nm0005436
141,JonTurteltaub,nm0005509
5032,LiliFiniZanuck,nm0005572
2635,OliverSchmitz,nm0005628
443,AndrzejBartkowiak,nm0005647
2333,Pierre-WilliamGlenn,nm0005723
4231,FredNicolas,nm0006407
365,EricRohmer,nm0006445
553,PaulMcGuigan,nm0006476
1019,JimSheridan,nm0006487
6161,MajidMajidi,nm0006498
1720,RodrigoGarcia,nm0006554
3692,Jean-PierreMocky,nm0006620
1247,GerryLively,nm0006685
656,AlainCorneau,nm0006734
2205,VidhuVinodChopra,nm0006765
432,SallyPotter,nm0006845
1709,RicRomanWaugh,nm0006846
1490,RogerSpottiswoode,nm0006854
4704,JoseLuisLopez-Linares,nm0006856
1149,TonyGilroy,nm0006904
176,RichardBerry,nm0006939
786,PierreSchoendoerffer,nm0006954
231,JohnMadden,nm0006960
3636,ElizabethBanks,nm0006969
3515,NickQuinn,nm0007052
612,JohnStockwell,nm0007082
798,NielsMueller,nm0007158
3561,YashChopra,nm0007181
4262,IlariaBorrelli,nm0007235
142,DouglasAarniokoski,nm0007439
4873,SouAbadi,nm0007622
33,HiamAbbass,nm0007814
2830,OlivierAbbou,nm0008080
2691,AktanArymKubat,nm0008332
1698,DominiqueAbel,nm0008442
2881,JudithAbitbol,nm0008773
1665,MarcAbraham,nm0008953
2365,AluizioAbranches,nm0009287
972,HanyAbu-Assad,nm0009463
2334,JeanAchache,nm0009753
2947,LaurentAchard,nm0009765
1414,ShaneAcker,nm0009942
133,AndrewAdamson,nm0011470
2146,MarenAde,nm0011752
196,GabrielAghion,nm0013041
2797,ArantxaAguirre,nm0013676
4981,ShuAiello,nm0014520
3345,KarimAinouz,nm0014694
1189,AlexandreAja,nm0014960
5695,ZoyaAkhtar,nm0015295
1584,FatihAkin,nm0015359
2125,BarmakAkram,nm0015533
3553,BarbaraAlbert,nm0016475
1128,KarinAlbou,nm0016900
1031,LisaAzuelos,nm0018132
50,PatrickAlessandrin,nm0018133
2268,DanielAlfredson,nm0019242
1987,TomasAlfredson,nm0019247
277,DanielAlgrant,nm0019341
4237,ChristopheAli,nm0019414
6510,AbdollahAlimorad,nm0019638
2210,ElizabethAllenRosenbaum,nm0020491
20,RogerAllers,nm0021249
702,MerzakAllouache,nm0021577
4123,MichaelAlmereyda,nm0021899
6908,DavidAlonso,nm0022163
1489,KentAlterman,nm0022768
1816,ChristianAlvart,nm0023355
1311,RubenAlves,nm0023517
5632,ChristopheAleveque,nm0023703
2106,MathieuAmalric,nm0023832
5269,JorgeAmat,nm0024104
2806,MassimilianoAmato,nm0024173
1558,MarcoAmenta,nm0024617
96,AlejandroAmenabar,nm0024622
3105,HosseinAmini,nm0024925
2968,SylvestreAmoussou,nm0025340
5737,SimonAmstell,nm0025435
505,Jean-PierreAmeris,nm0025534
794,BradAnderson,nm0026442
310,PaulW.S.Anderson,nm0027271
1130,StephenJ.Anderson,nm0027459
384,WesAnderson,nm0027572
3348,RoyAndersson,nm0027815
6300,MasashiAndo,nm0027943
1454,RobertoAndo,nm0027948
1869,MarkAndrews,nm0028764
3971,Jean-JacquesAndrien,nm0028981
5648,MichelAndrieu,nm0028998
45,AndreTechine,nm0029242
1638,FredericAndrei,nm0029268
30,HeleneAngel,nm0029458
1050,CedricAnger,nm0029762
3786,GrahamAnnable,nm0030253
6736,HideakiAnno,nm0030417
1328,SolveigAnspach,nm0030681
1364,NimrodAntal,nm0030735
3129,ShinjiAoyama,nm0031888
1079,JuddApatow,nm0031976
4166,RameshAravind,nm0033243
3774,DanielleArbid,nm0033384
3702,LouiseArchambault,nm0033596
1369,NielsArestrup,nm0034390
5543,FrancoisArmanet,nm0035305
2857,MontxoArmendariz,nm0035404
3685,ScotArmstrong,nm0035905
6646,PascalArnold,nm0036331
1873,AndreaArnold,nm0036349
1686,GuillermoArriaga,nm0037247
1619,ThomasArslan,nm0037575
1716,MiguelArteta,nm0037708
1604,YannArthus-Bertrand,nm0037867
1789,KevinAsch,nm0038475
5163,ArniOlafurAsgeirsson,nm0038604
3411,RodneyAscher,nm0038896
204,YvanAttal,nm0040939
1306,PhilipG.Atwell,nm0041161
6727,StephaneAubier,nm0041334
4317,VeroniqueAubouy,nm0041370
821,FredericAuburtin,nm0041474
6245,SylvieAudcoeur,nm0041527
3936,SophieAudier,nm0041576
3208,DieterAuner,nm0042120
3904,SergeAvedikian,nm0042848
2907,MichalAviad,nm0043109
3710,YossiAviram,nm0043211
2852,NurithAviv,nm0043232
3489,KaderAyd,nm0043705
988,DavidAyer,nm0043742
1266,SylvieAyme,nm0043909
1444,NabilAyouch,nm0043953
1843,OlivierAzam,nm0044096
1985,MyriamAziza,nm0044310
4926,DominicBachy,nm0045574
964,EdouardBaer,nm0046347
2609,MartinBaer,nm0046366
837,LaurentBaffie,nm0046494
5586,JenniferBaichwal,nm0047028
2089,LionelBaier,nm0047049
7470,ChrisBailey,nm0047193
4613,FentonBailey,nm0047259
2465,LucyBailey,nm0047384
322,PascaleBailly,nm0047645
7218,VladislavBayramgulov,nm0047844
2447,Leandre-AlainBaker,nm0048718
4290,SeanBaker,nm0048918
4293,VincentBal,nm0049294
1944,JaumeBalaguero,nm0049371
2132,CarlesBalague,nm0049372
4794,KyleBalda,nm0049633
1377,ThomasBalmes,nm0050988
4331,NicBalthazar,nm0051206
4079,JeremyBanster,nm0052508
3398,SharonBar-Ziv,nm0052755
6070,PhilipBarantini,nm0053028
4180,PhilippeBarassat,nm0053059
7056,RandyBarbato,nm0053190
1302,EricBarbier,nm0053613
531,ParisBarclay,nm0054077
3115,ThomasBardinet,nm0054285
5977,PatriciaBardon,nm0054318
1718,PierreBarougier,nm0056433
2412,MarcBarrat,nm0056715
755,ChristopheBarratier,nm0056725
6152,MarioBarroso,nm0057825
1295,OlivierBaroux,nm0057842
2612,SharunasBartas,nm0058401
6883,JoyBatchelor,nm0060742
5837,StephaneBatut,nm0061582
5030,SigneBaumane,nm0062189
3795,CharlieBean,nm0063769
2279,StuartBeattie,nm0064181
6568,AdrienBeau,nm0064268
868,JeanBeaudin,nm0064394
935,XavierBeauvois,nm0064741
4314,PierreBeccu,nm0064901
1992,MarcoBechis,nm0065009
181,SteveBeck,nm0065284
150,JeanBecker,nm0065449
7458,MarkBecker,nm0065521
610,WaltBecker,nm0065608
1784,FredericBeigbeder,nm0067166
1497,TimurBekmambetov,nm0067457
1327,Jean-PierreBekolo,nm0067464
1867,AnthonyBell,nm0068034
1146,WilliamBrentBell,nm0068587
4025,ClaraBellar,nm0068755
1095,MarcoBellocchio,nm0069166
1530,VeraBelmont,nm0069342
1110,LucasBelvaux,nm0069711
3149,HernanBelon,nm0069818
2053,MehdiBenAttia,nm0069900
2377,HassanBenjelloun,nm0069930
5879,SouheilBen-Barka,nm0070019
88,JafarPanahi,nm0070159
1359,SteveBendelack,nm0070436
3268,MalikBendjelloul,nm0070594
1496,Jean-PatrickBenes,nm0070899
189,YaminaBenguigui,nm0071117
383,DjamelBensalah,nm0072354
2953,FaouziBensaidi,nm0072364
368,AlainBerberian,nm0073322
546,EmmanuelleBercot,nm0073384
807,PeterBerg,nm0073873
1408,JacobBerger,nm0074213
867,PabloBerger,nm0074311
614,BiboBergeron,nm0074426
2983,NirBergman,nm0074844
2361,GregBerlanti,nm0075528
4796,AndreaBerloff,nm0075696
3170,ShariSpringerBerman,nm0075849
4739,LudovicBernard,nm0076307
