,nom,ID,STARmeter,recompenses,carriere_duree,films_series
312,SamanthaMorton,nm0608090,1626.0,1.0,32.0,52.0
313,KirstenDunst,nm0000379,444.0,1.0,32.0,77.0
314,JacquesDutronc,nm0244850,74759.0,2.0,49.0,45.0
315,SergiLopez,nm0530365,25676.0,1.0,31.0,111.0
316,RebeccaRomijn,nm0005381,751.0,0.0,23.0,38.0
317,MartinLawrence,nm0001454,4124.0,1.0,32.0,36.0
318,NiloufarPazira,,,0.0,0.0,0.0
319,StefanoCassetti,nm0144126,55806.0,0.0,22.0,40.0
320,ClaudiaGerini,nm0314358,6959.0,0.0,32.0,45.0
321,MonicaPotter,nm0005321,2366.0,0.0,21.0,22.0
322,SkeetUlrich,nm0000240,2930.0,0.0,34.0,44.0
323,BillySeymour,nm0786803,143230.0,0.0,8.0,4.0
324,FrancisNg,nm0628757,103303.0,0.0,25.0,33.0
325,AleksandarPetrovic(II),,,0.0,21.0,15.0
326,SamyNaceri,nm0618651,21122.0,4.0,32.0,55.0
327,AmiraCasar,nm0142972,13085.0,0.0,35.0,81.0
328,TommyLeeJones,nm0000169,1048.0,7.0,55.0,84.0
329,ThoraBirch,nm0000301,1655.0,1.0,31.0,52.0
330,RobertoBenigni,nm0000905,7702.0,6.0,43.0,31.0
331,DavidLuraschi,,,0.0,0.0,0.0
332,FaroukBennaleg,,,0.0,30.0,7.0
333,BlancaLi,,,0.0,24.0,25.0
334,LucienJean-Baptiste,nm0419894,139967.0,2.0,24.0,72.0
335,PhilippeTorreton,nm0868881,114235.0,3.0,33.0,60.0
336,Jean-ClaudeVanDamme,nm0000241,1278.0,0.0,39.0,70.0
337,MichelleYeoh,nm0000706,183.0,0.0,37.0,77.0
338,PhilippeNoiret,nm0634159,22622.0,4.0,54.0,128.0
339,DavidDeluise,,,0.0,32.0,64.0
340,SongKang-Ho,,,1.0,27.0,39.0
341,Axel,nm10236692,7020050.0,0.0,0.0,2.0
342,StephenDorff,nm0001151,639.0,0.0,41.0,91.0
343,MadeleineBesson,,,0.0,11.0,2.0
344,NicolasCazale,nm1002627,89537.0,0.0,23.0,28.0
345,FrankSilvera,nm0798826,26531.0,0.0,19.0,23.0
346,SachaBourdo,nm0099820,479282.0,0.0,23.0,60.0
347,MichelSerrault,nm0785664,35706.0,5.0,53.0,151.0
348,RichardBohringer,nm0092184,56316.0,2.0,63.0,131.0
349,BradRenfro,nm0000605,4185.0,0.0,14.0,21.0
350,DeanAndrews,nm1080214,18411.0,0.0,17.0,21.0
351,NaseeruddinShah,nm0787462,14695.0,1.0,46.0,50.0
352,ToniServillo,nm0785842,22360.0,4.0,29.0,49.0
353,ShawnWayans,nm0915465,12677.0,2.0,28.0,11.0
354,StefanoAccorsi,nm0009629,34521.0,1.0,32.0,51.0
355,GeraldLaroche,nm0488417,301916.0,0.0,31.0,56.0
356,JasonStatham,nm0005458,54.0,0.0,25.0,59.0
357,KongkiatKhomsiri,,,0.0,21.0,9.0
358,SeanAstin,nm0000276,1143.0,0.0,38.0,126.0
359,PunyaHiendeniya,,,0.0,0.0,0.0
360,RoschdyZem,nm0954704,36607.0,9.0,37.0,108.0
361,ValKilmer,nm0000174,601.0,0.0,37.0,100.0
362,BritneySpears,nm0005453,6516.0,1.0,22.0,20.0
363,ChrisEvans,nm0262635,474.0,0.0,24.0,54.0
364,JerzySkolimowski,nm0804592,19962.0,3.0,61.0,39.0
365,HaydenChristensen,nm0159789,1077.0,2.0,40.0,37.0
366,HeleneLapiower,nm0487592,950219.0,0.0,20.0,21.0
367,EmmanuelleSeigner,nm0782561,4942.0,0.0,35.0,42.0
368,JuliannaMargulies,nm0000523,1456.0,5.0,32.0,36.0
369,AaronEckhart,nm0001173,951.0,0.0,31.0,54.0
370,Eminem,,,1.0,22.0,18.0
371,RufusSewell,nm0001722,1246.0,0.0,30.0,70.0
372,FredericDiefenthal,nm0225899,30921.0,0.0,32.0,77.0
373,QueenLatifah,nm0001451,4115.0,2.0,33.0,64.0
374,MickeyRourke,nm0000620,1594.0,4.0,44.0,102.0
375,MarieGillain,nm0002100,23650.0,2.0,33.0,50.0
376,JohnnyHallyday,nm0002776,33724.0,4.0,62.0,45.0
377,GerardDarmon,nm0201462,63408.0,1.0,51.0,95.0
378,StellanSkarsgard,nm0001745,847.0,2.0,52.0,110.0
379,SlavkoStimac,nm0830371,46077.0,0.0,49.0,22.0
380,TimAllen,nm0000741,2833.0,0.0,34.0,39.0
381,GeraintWynDavies,nm0943870,21383.0,0.0,38.0,22.0
382,RegisLaspales,,,0.0,24.0,22.0
383,JulianneMoore,nm0000194,549.0,13.0,39.0,106.0
384,ElizabethBerridge,nm0000931,4058.0,0.0,20.0,15.0
385,DidierBourdon,nm0099828,45348.0,1.0,42.0,65.0
386,GuillaumeCanet,nm0133899,8807.0,12.0,31.0,82.0
387,EdwardNorton,nm0001570,872.0,1.0,28.0,48.0
388,JosephFiennes,nm0001212,3441.0,0.0,27.0,40.0
389,IoanGruffudd,nm0344435,2599.0,0.0,26.0,53.0
390,AliLarter,nm0005123,1043.0,0.0,25.0,40.0
391,CharlesBerling,nm0075650,76779.0,1.0,42.0,103.0
392,ParminderNagra,nm0619406,3343.0,0.0,22.0,26.0
393,BillyCrystal,nm0000345,3243.0,0.0,45.0,54.0
394,LindaHardy,nm1080320,41965.0,0.0,22.0,24.0
395,BorisKarloff,nm0000472,8488.0,0.0,49.0,74.0
396,BillyBobThornton,nm0000671,830.0,2.0,37.0,84.0
397,ChantalLauby,nm0490702,140647.0,1.0,44.0,43.0
398,JamesVanDerBeek,nm0004735,4992.0,0.0,27.0,55.0
399,StephenChow,nm0159507,6631.0,0.0,33.0,40.0
400,JosseDePauw,nm0210918,132106.0,0.0,34.0,21.0
401,Hye-JinYu,,,0.0,2.0,2.0
402,MartinCompston,nm1161994,5933.0,0.0,19.0,41.0
403,RosaIsabelMorffino,nm0604416,842707.0,0.0,0.0,0.0
404,BillNighy,nm0631490,1243.0,3.0,44.0,94.0
405,IsabelleNanty,nm0620964,34872.0,1.0,40.0,82.0
406,ValeriaBruniTedeschi,nm0116254,19699.0,3.0,38.0,108.0
407,VincentPerez,nm0001641,14202.0,1.0,37.0,82.0
408,ElsaKikoine,nm0452831,114550.0,0.0,17.0,28.0
409,RyanReynolds,nm0005351,158.0,0.0,31.0,88.0
410,UrosMilovanovic,nm2310452,329421.0,0.0,1.0,2.0
411,DomhnallGleeson,nm1727304,462.0,0.0,19.0,44.0
412,KateBosworth,nm0098378,1535.0,0.0,23.0,54.0
413,RowanAtkinson,nm0000100,2535.0,0.0,44.0,41.0
414,JoseGarcia,nm0305296,27502.0,2.0,36.0,89.0
415,JennaElfman,nm0001184,2582.0,1.0,30.0,45.0
416,AliceBogart,nm7630295,4992307.0,0.0,0.0,0.0
417,SophieMarceau,nm0000521,2213.0,3.0,41.0,55.0
418,MatthewGoode,nm0328828,532.0,0.0,20.0,49.0
419,Min-sikChoi,,,0.0,33.0,31.0
420,EliaSuleiman,nm0837839,42601.0,4.0,29.0,16.0
421,MarkkuPeltola,nm0671326,62117.0,0.0,10.0,5.0
422,JeremyZimmermann(I),,,0.0,32.0,3.0
423,KateBeckinsale,nm0000295,328.0,2.0,30.0,54.0
424,JakeGyllenhaal,nm0350453,34.0,3.0,33.0,70.0
425,ValeriaGolino,nm0000420,807.0,3.0,40.0,100.0
426,BenoitMagimel,nm0536095,7940.0,7.0,35.0,87.0
427,ZacharieChasseriaud,nm2165214,115321.0,2.0,17.0,40.0
