ID;actors_score;directors_score;scenaristes_score;distrib_score;Action;Animation;Aventure;Biopic;Comedie;Comedie dramatique;Comedie musicale;Drame;Epouvante-horreur;Famille;Fantastique;Guerre;Historique;Musical;Policier;Romance;Science Fiction;Thriller;Western;France;USA;Angleterre;Autres;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;Budget_dollards
264010;0,33108542400000;0,00000000000000;0,00000000000000;0,02134000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;9.0;2018;2;3.8;80.0;32198;216
236404;0,41197582300000;0,98899406900000;0,02339181300000;0,01461000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24.0;2.0;2016;2;3.1;83.0;106;216
197998;0,00000000000000;0,42983234600000;0,00000000000000;0,00575000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9.0;11.0;2011;2;2.9;87.0;449;216
253318;0,00000000000000;1,07196206200000;0,00000000000000;0,01731000000000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13.0;12.0;2017;2;3.6;88.0;48816;220
272008;0,71738266600000;2,01566268900000;0,00000000000000;0,02324000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10.0;4.0;2019;2;3.0;75.0;88;250
261667;0,47907990900000;1,00768799000000;0,01169590600000;0,02583000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;12.0;9.0;2018;2;3.1;102.0;64588;254
252486;0,14423706700000;1,24245639800000;0,27075033500000;0,01299000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10.0;5.0;2017;2;3.3;112.0;1926;254
302824;0,25228660300000;0,98489990400000;0,00990099000000;0,01485000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13.0;9.0;2023;2;3.2;90.0;206;273
223062;0,36717268800000;0,89187353900000;0,33842858000000;0,02587000000000;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;8.0;10.0;2014;2;2.2;103.0;130509;287
260432;0,00000000000000;1,08354158500000;0,00000000000000;0,02334000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15.0;6.0;2022;2;3.5;172.0;910;300
254155;0,60439762200000;1,14088892600000;0,08279775300000;0,02489000000000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;8.0;1.0;2020;2;2.6;95.0;169125;300
228197;0,34999753100000;1,82757978700000;0,00000000000000;0,02429000000000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;31.0;5.0;2017;2;3.0;98.0;122691;300
138752;0,78086920200000;1,37387349300000;0,57090666600000;0,02587000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;15.0;12.0;2010;2;1.6;103.0;316258;318
286901;0,51700979800000;1,24264411600000;0,27045336100000;0,04368000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;3.0;11.0;2021;2;2.9;96.0;34698;324
213835;0,58176550400000;1,10449585500000;0,13230270400000;0,02538000000000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17.0;7.0;2013;2;2.8;81.0;8400;324
222584;0,41941465400000;1,42595085700000;0,47994493800000;0,01481000000000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22.0;6.0;2016;2;3.0;109.0;7910;357
256610;0,34668006900000;1,32135659300000;0,34742557400000;0,03024000000000;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;27.0;11.0;2019;2;3.9;107.0;51977;370
231874;0,92799087800000;1,95500135400000;0,00000000000000;0,00998000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;25.0;5.0;2016;2;4.3;126.0;213665;370
249056;0,22227159800000;1,21690255900000;0,24104736400000;0,02552000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15.0;3.0;2017;2;3.4;106.0;21207;378
231601;0,00000000000000;0,91773840300000;0,06930693100000;0,01496000000000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;21.0;10.0;2015;2;3.7;82.0;20898;381
262534;0,27622678300000;0,90786674800000;0,02923976600000;0,01404000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5.0;6.0;2019;2;3.0;100.0;116;403
203498;0,59147603100000;1,49454083400000;0,53295380500000;0,02610000000000;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;14.0;1.0;2015;2;2.1;138.0;25397;445
283763;0,00000000000000;1,11219177300000;0,00000000000000;0,00649000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;29.0;9.0;2021;2;4.1;90.0;323;454
250228;0,47220486000000;1,21001165900000;0,23566261500000;0,01642000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;9.0;1.0;2019;2;3.8;120.0;4420;500
224312;0,50217844800000;1,60218650300000;0,65801894300000;0,02467000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15.0;11.0;2017;2;3.2;100.0;35112;500
248962;0,60003892300000;1,18869376200000;0,24075039100000;0,02658000000000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18.0;10.0;2017;2;2.4;114.0;279670;500
116484;0,79888414800000;1,68486729800000;0,58722714400000;0,02587000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10.0;3.0;2010;2;2.9;99.0;64037;500
179784;0,25543956600000;1,38283019100000;0,42973771100000;0,02668000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8.0;12.0;2010;2;2.9;110.0;423;504
261340;0,50003789600000;1,32433425000000;0,35534300500000;0,02489000000000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;17.0;11.0;2021;2;2.7;99.0;75483;508
293313;0,44852875000000;0,14039477300000;0,15389960000000;0,02583000000000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3.0;5.0;2023;2;2.2;97.0;27833;539
303281;0,18808062300000;0,09772032200000;0,11070580700000;0,01384000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.0;5.0;2022;2;3.1;96.0;154;540
232469;0,19691757100000;1,16106758800000;0,24706154800000;0,02324000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22.0;2.0;2017;2;2.5;83.0;30;540
