,nom_scenaristes,recompenses_scenaristes,carriere_duree_scenaristes,films_series_scenaristes
139,WilliamBroylesJr.,0.0,30.0,0.0
140,Jean-JacquesBeineix,1.0,37.0,10.0
141,PierceGardner,0.0,0.0,0.0
142,JimHerzfeld,0.0,0.0,0.0
144,KareyKirkpatrick,1.0,33.0,5.0
145,FrancisVeber,2.0,52.0,14.0
146,Eldiablo,0.0,3.0,0.0
147,AhmedBouchaala,1.0,26.0,8.0
148,RospoPallenberg,0.0,24.0,0.0
149,GerardBitton,0.0,22.0,4.0
150,RafaelAzcona,0.0,0.0,0.0
151,PascalBonitzer,0.0,57.0,48.0
152,FrancoisDupeyron,3.0,37.0,19.0
153,BrunoPodalydes,2.0,35.0,33.0
154,ColineSerreau,3.0,44.0,22.0
155,KarioSalem,0.0,40.0,10.0
156,RichardBerry,1.0,49.0,110.0
157,AbdellatifKechiche,26.0,39.0,22.0
158,PatrickCauvin,0.0,0.0,0.0
159,RobertGordon,0.0,0.0,0.0
160,RonaldHarwood,3.0,55.0,0.0
161,NealStevens,0.0,0.0,0.0
162,GillesTaurand,2.0,42.0,3.0
163,FabienOnteniente,1.0,34.0,30.0
164,RobertPerez,0.0,0.0,0.0
165,RichardRecco,0.0,0.0,0.0
166,AkivaGoldsman,2.0,27.0,17.0
167,JaneCampion,6.0,39.0,21.0
168,ClaudeMiller,4.0,47.0,31.0
169,YaminaBenguigui,0.0,24.0,11.0
170,RachidBouchareb,5.0,44.0,26.0
171,ChrisWeitz,0.0,26.0,17.0
172,AlexanderPayne,8.0,38.0,24.0
173,GabrielAghion,1.0,37.0,19.0
174,IvyHo,0.0,27.0,3.0
175,EthanCoen,13.0,40.0,28.0
176,EricAssous,0.0,27.0,4.0
177,LaurentVinas-Raymond,0.0,0.0,0.0
178,FlorenceQuentin,1.0,34.0,4.0
179,GerardJohnson,1.0,10.0,4.0
180,ManoeldeOliveira,6.0,84.0,60.0
181,PatrickBouchitey,1.0,49.0,83.0
182,YvanAttal,3.0,39.0,78.0
183,VictorSalva,1.0,28.0,11.0
184,StefanFjeldmark,0.0,17.0,7.0
185,JamesKearns,0.0,0.0,0.0
186,BillyCrystal,0.0,45.0,54.0
187,GiuseppeTornatore,7.0,39.0,19.0
188,StefanRuzowitzky,1.0,24.0,20.0
189,PatrickCirillo,0.0,0.0,0.0
190,ClaudeLelouch,8.0,66.0,72.0
191,GeraldDiPego,0.0,0.0,0.0
192,ChristopherKyle,0.0,0.0,0.0
193,ElloryElkayem,0.0,12.0,7.0
194,AlainChabat,2.0,39.0,64.0
195,PeterWeir,4.0,44.0,20.0
196,LillyWachowski,2.0,26.0,13.0
197,QuentinTarantino,9.0,36.0,64.0
198,TonieMarshall,3.0,47.0,42.0
199,MikeMyers,3.0,36.0,34.0
200,LucBesson,5.0,43.0,35.0
201,CharlesLeavitt,0.0,0.0,0.0
202,RobinSwicord,0.0,31.0,3.0
203,LindaFerri,0.0,0.0,0.0
204,HarleyPeyton,0.0,34.0,0.0
205,J.J.Abrams,5.0,39.0,29.0
206,JamesVanderbilt,0.0,22.0,2.0
207,ZabouBreitman,1.0,42.0,99.0
208,KentaFukasaku,0.0,25.0,5.0
209,CunninghamO&#039;Keefe,,,
210,ShawnSlovo,0.0,0.0,0.0
211,DavidVeloz,0.0,0.0,0.0
212,PedroAlmodovar,19.0,49.0,46.0
213,JohnAugust,0.0,23.0,4.0
214,MichaelBrowning,0.0,10.0,0.0
215,JulienBoivent,0.0,17.0,2.0
216,MarvWolfman,0.0,0.0,0.0
217,MichaelHaneke,26.0,43.0,31.0
218,EmmanuelCourcol,0.0,30.0,13.0
219,Jacques-RemyGirerd,1.0,28.0,16.0
220,DavidLynch,6.0,65.0,53.0
221,RichardHatem,0.0,26.0,0.0
222,TonyGayton,0.0,10.0,0.0
223,AnneFontaine,0.0,41.0,31.0
224,Jean-ClaudeBarny,0.0,23.0,7.0
225,MattAlexander,0.0,25.0,0.0
226,JacquesPerrin,6.0,76.0,120.0
227,MarkRomanek,3.0,42.0,13.0
228,MichaelMoore,3.0,29.0,25.0
229,StanSeidel,0.0,0.0,0.0
230,LarryCohen,0.0,53.0,26.0
231,JonRobinBaitz,0.0,31.0,2.0
232,MichaelGoldenberg,0.0,15.0,0.0
233,KevinWade,0.0,38.0,2.0
234,MichaelTolkin,1.0,29.0,5.0
235,MichaelWalker,1.0,23.0,6.0
237,IsabelledeCatalogne,0.0,0.0,0.0
238,StuartAllison,0.0,0.0,0.0
239,NeilLaBute,2.0,35.0,25.0
240,JeffNathanson,0.0,25.0,0.0
241,AnthonyPeckham,0.0,20.0,0.0
242,DonaldRoose,0.0,0.0,0.0
243,PatrickTimsit,0.0,38.0,67.0
244,ThomasDeanDonnelly,0.0,0.0,0.0
245,AlainSoral,0.0,0.0,3.0
246,CharlieKaufman,5.0,26.0,7.0
247,MatthewGreenberg,0.0,0.0,0.0
248,TerryHayes,0.0,37.0,2.0
249,NathaliaBorodin,0.0,0.0,0.0
250,HerveRenoh,0.0,31.0,14.0
251,RajuMurugan,0.0,0.0,3.0
252,PaulW.S.Anderson,0.0,27.0,25.0
253,MarkStevenJohnson,0.0,28.0,11.0
254,GeneQuintano,0.0,23.0,6.0
255,OlivierDahan,2.0,27.0,13.0
256,ShoheiImamura,2.0,55.0,24.0
257,SergeFrydman,0.0,34.0,2.0
258,JessieNelson,0.0,35.0,8.0
259,GiordanoGederlini,1.0,23.0,5.0
260,ShawnWayans,2.0,28.0,11.0
261,ChristianGudegast,0.0,20.0,7.0
262,PascaleBailly,0.0,36.0,8.0
263,BrentHanley,0.0,6.0,0.0
264,CraigTitley,0.0,0.0,0.0
265,BillyRay,0.0,28.0,9.0
266,LarsvonTrier,9.0,51.0,41.0
267,LewisColick,0.0,0.0,0.0
268,MichaelLaughlin,0.0,30.0,4.0
269,RoyMitchell,0.0,18.0,0.0
270,MassyTadjedin,0.0,18.0,3.0
271,DirkAhner,0.0,0.0,0.0
272,MarcKlein,0.0,20.0,0.0
273,ChrisRock,0.0,39.0,67.0
274,StephaneKazandjian,0.0,22.0,5.0
275,MikeThompson,0.0,9.0,0.0
276,SeanMoynihan,0.0,6.0,0.0
277,AlfredGough,0.0,21.0,2.0
278,DrakeSather,0.0,0.0,0.0
279,JayCocks,0.0,47.0,0.0
280,RemyWaterhouse,1.0,33.0,3.0
281,SethRogen,0.0,24.0,69.0
282,NicholasKazan,0.0,34.0,2.0
283,AlexandreArcady,2.0,51.0,21.0
284,PatrickMcGrath,0.0,14.0,0.0
285,DavidDiamond,0.0,0.0,0.0
286,KirstenSmith,0.0,22.0,0.0
287,MarianneWibberley,0.0,13.0,2.0
288,LaetitiaMasson,0.0,33.0,27.0
289,DouglasWick,0.0,0.0,0.0
290,NormanSpinrad,0.0,0.0,0.0
291,GlenMorgan,0.0,34.0,5.0
292,JenniferJasonLeigh,0.0,42.0,80.0
293,JacquesAudiard,31.0,47.0,20.0
294,AndrewStanton,2.0,37.0,16.0
295,FredericGarciaBelier,0.0,0.0,0.0
296,DouglasJ.Eboch,0.0,0.0,0.0
297,BertrandTavernier,14.0,55.0,47.0
298,KurtVoelker,0.0,16.0,2.0
299,SkipWoods,1.0,21.0,2.0
300,AllanScott(II),0.0,0.0,0.0
301,EricRohmer,7.0,60.0,57.0
302,LaurentChouchan,0.0,34.0,4.0
303,ClancySigel,0.0,0.0,0.0
304,StelPavlou,0.0,0.0,0.0
305,ThomasLangmann,7.0,39.0,23.0
306,BobDolman,0.0,17.0,2.0
307,JulianFellowes,1.0,42.0,21.0
308,JeromeL&#039;hotsky,,,
309,DominiqueCabrera,0.0,34.0,25.0
310,WalterHill,2.0,53.0,27.0
311,NancyPimental,0.0,22.0,3.0
312,CharlesRandolph,2.0,82.0,2.0
313,LarryDoyle,0.0,0.0,0.0
314,DavidHare,1.0,35.0,9.0
315,JamesToback,1.0,53.0,25.0
316,ClaudeChabrol,3.0,54.0,104.0
317,JerzyKromolowski,0.0,0.0,0.0
318,MitchGlazer,0.0,41.0,3.0
319,KenLi,0.0,0.0,0.0
320,YuriZeltser,0.0,18.0,4.0
321,GillesLaurent,0.0,47.0,8.0
322,WesAnderson,7.0,27.0,29.0
323,FaouziBensaidi,1.0,26.0,20.0
324,OlivierDazat,0.0,29.0,2.0
325,Costa-Gavras,15.0,62.0,38.0
326,DavidDuncan,0.0,60.0,2.0
327,GinaWendkos,0.0,0.0,0.0
328,AlexandreAstruc,1.0,68.0,22.0
329,BernieBonvoisin,0.0,31.0,17.0
330,RobertDillon,0.0,0.0,0.0
331,DavidAyer,0.0,23.0,19.0
332,AdamHorowitz,1.0,22.0,5.0
333,ZakPenn,0.0,30.0,5.0
334,KoanHui,0.0,23.0,0.0
335,ChristianMerret-Palmair,0.0,28.0,9.0
336,ClaireDenis,2.0,50.0,36.0
337,DavidAttenborough,0.0,36.0,12.0
338,GiuseppeGiacosa,0.0,0.0,0.0
339,LaurentTuel,1.0,33.0,20.0
340,NealPurvis,0.0,0.0,0.0
341,DavidArata,0.0,0.0,0.0
342,SteveKloves,0.0,37.0,3.0
343,RobinCampillo,7.0,26.0,4.0
344,AdamHerz,0.0,19.0,0.0
345,IanWatson,0.0,20.0,16.0
346,YoussefChahine,2.0,57.0,47.0
347,PeterBuchman,0.0,40.0,0.0
348,JohnRequa,0.0,20.0,16.0
349,JonathanGreenberg,0.0,0.0,0.0
350,RobertDunn,0.0,31.0,3.0
351,BrianHelgeland,2.0,35.0,8.0
352,EricAbrams,0.0,0.0,0.0
353,MichalLeszczylowski,0.0,0.0,0.0
354,Jean-ChristopheGrange,0.0,21.0,0.0
355,MichaelHaigney,0.0,0.0,3.0
356,CatherineCorsini,2.0,39.0,24.0
357,RossKlavan,0.0,6.0,0.0
358,MarcMoss,0.0,0.0,0.0
359,PhilipStark,0.0,0.0,0.0
360,RobertRodriguez,3.0,31.0,55.0
361,Jean-FrancoisRichet,3.0,29.0,18.0
362,Pierre-HenrySalfati,0.0,34.0,15.0
363,DavidReynolds,0.0,20.0,3.0
364,PhilippeLyon,0.0,20.0,2.0
365,LaurentChalumeau,0.0,0.0,0.0
366,DavidDecca,0.0,0.0,0.0
367,Jean-JacquesAnnaud,5.0,59.0,21.0
368,CatherineBreillat,0.0,51.0,25.0
369,MelissaMathison,0.0,36.0,0.0
370,SallyPotter,0.0,41.0,13.0
371,PascalArnold,0.0,23.0,8.0
372,MartinScorsese,19.0,65.0,136.0
373,FrancoisCaviglioli,0.0,0.0,0.0
374,NobuoYamada,0.0,0.0,0.0
375,DavidMcKenna,0.0,20.0,0.0
376,BillDouglas,0.0,42.0,7.0
377,HanifKureishi,1.0,29.0,2.0
378,IsaoTakahata,1.0,48.0,22.0
379,EdHorowitz,0.0,0.0,0.0
380,PaulThomasAnderson,6.0,33.0,22.0
381,RainerWernerFassbinder,2.0,17.0,70.0
382,DavidMagee,0.0,0.0,0.0
383,SteveFaigenbaum,0.0,0.0,2.0
384,EricFourniols,0.0,9.0,0.0
385,ChristianClavier,4.0,51.0,92.0
386,AnneKennedy,0.0,0.0,0.0
387,GerardJugnot,1.0,51.0,128.0
388,JonasMcCord,0.0,33.0,0.0
389,HillarySeitz,0.0,0.0,0.0
390,RikCarmichael,0.0,0.0,0.0
391,GretaGerwig,0.0,17.0,42.0
392,WoodyAllen,23.0,64.0,94.0
393,JoseRivera,0.0,39.0,3.0
394,PaulAttanasio,1.0,28.0,4.0
395,CedricKlapisch,8.0,39.0,32.0
396,MartinValente,0.0,8.0,5.0
397,FredericEngel-Lenoir,0.0,0.0,0.0
398,JohanBrannstrom,0.0,0.0,0.0
399,JimmyWhite,0.0,0.0,0.0
400,BrianKing,0.0,13.0,5.0
401,JohnRogers(II),1.0,89.0,6.0
402,JulietteTowhidi,0.0,12.0,0.0
403,MartinSherman,0.0,30.0,7.0
404,AmosGitai,0.0,45.0,60.0
405,JessicaBendinger,0.0,7.0,0.0
406,MichelBlanc,5.0,47.0,85.0
407,ManuelPoirier,2.0,37.0,18.0
408,BrianDePalma,1.0,61.0,51.0
409,JayScherick,0.0,0.0,0.0
410,MichaelMann,2.0,49.0,30.0
411,MichelSpinosa,0.0,31.0,8.0
412,MohsenMakhmalbaf,0.0,30.0,31.0
413,CedricKahn,3.0,34.0,39.0
414,Jean-PaulLilienfeld,0.0,41.0,30.0
415,JamesSchamus,4.0,32.0,2.0
416,JohnScottShepherd,0.0,30.0,0.0
417,EricPomerance,0.0,0.0,0.0
418,MarthaFiennes,0.0,9.0,3.0
419,Nai-HoiYau,0.0,30.0,2.0
420,DanisTanovic,4.0,29.0,19.0
421,YvesCoulon,0.0,0.0,0.0
422,FlorentSiri,0.0,25.0,9.0
423,JonCohen,0.0,0.0,0.0
424,JacquesFieschi,1.0,40.0,8.0
425,Jean-PhilippeBarrau,1.0,13.0,2.0
426,PeterGriffiths,0.0,0.0,0.0
427,BenCourt,0.0,12.0,0.0
428,RobertoBenigni,6.0,43.0,31.0
429,OliasBarco,1.0,20.0,3.0
430,BernardCampan,1.0,39.0,39.0
431,BlancaLi,0.0,24.0,25.0
432,JoeGalloway,0.0,0.0,0.0
433,RonClements,0.0,34.0,14.0
434,ChrisSanders,1.0,33.0,8.0
435,KenNolan,0.0,0.0,0.0
436,ClayTarver,0.0,20.0,3.0
437,ClaudeBerri,5.0,57.0,56.0
438,LarryLevin,0.0,20.0,0.0
439,LanKay-Toa,0.0,0.0,0.0
440,JohnA.Davis,0.0,4.0,5.0
441,Jean-PierreAmeris,4.0,27.0,19.0
442,LiriaBegeja,0.0,34.0,4.0
443,LawrenceRiggins,0.0,0.0,0.0
444,AnthonyMinghella,4.0,21.0,14.0
445,JulienCarbon,0.0,12.0,0.0
446,VeraCais,0.0,0.0,0.0
447,MichaelJ.Wilson,0.0,26.0,0.0
448,ClintHutchison,0.0,0.0,2.0
449,ParkChan-Wook,4.0,29.0,28.0
450,MichaelCristofer,0.0,47.0,21.0
451,MarkEzra,0.0,24.0,2.0
452,GuillaumeNicloux,0.0,36.0,34.0
453,StephaneGiusti,0.0,18.0,9.0
454,HowardSackler,0.0,0.0,0.0
455,BenoitPhilippon,0.0,13.0,3.0
456,BibiNaceri,0.0,22.0,17.0
457,MichelGondry,3.0,36.0,40.0
458,ChristianCarion,0.0,22.0,9.0
459,PhilHay,0.0,20.0,2.0
460,PhilippeCougrand,0.0,0.0,0.0
461,ZacharyLong,0.0,0.0,0.0
462,RobDawber,0.0,0.0,0.0
463,SabrinaDhawan,0.0,10.0,0.0
464,PaoloSorrentino,10.0,29.0,24.0
465,HayaoMiyazaki,3.0,55.0,50.0
466,GabrieleMuccino,0.0,31.0,19.0
467,PatriceLeconte,6.0,59.0,62.0
468,OlivierMarchal,3.0,35.0,86.0
469,RobertMarkKamen,0.0,40.0,0.0
470,BillPeet,0.0,0.0,0.0
471,ApichatpongWeerasethakul,5.0,28.0,31.0
472,FrankRenzulli,0.0,31.0,7.0
473,LaetitiaColombani,0.0,23.0,17.0
474,RichWilkes,0.0,27.0,2.0
475,ReggieSiriwardena,0.0,0.0,0.0
476,HanneloreCayre,0.0,11.0,2.0
477,WayneKramer,1.0,16.0,11.0
478,ShondaRhimes,3.0,24.0,8.0
479,MikeBender,0.0,20.0,0.0
480,LawrenceKonner,0.0,0.0,0.0
481,JerzySkolimowski,3.0,61.0,39.0
482,J.DavidStem,0.0,0.0,0.0
483,JeanneLabrune,0.0,33.0,16.0
484,JeromeTonnerre,0.0,40.0,0.0
485,MarkHanlon,0.0,0.0,0.0
486,CooperLayne,0.0,0.0,0.0
487,ChristopherMarkus,0.0,18.0,0.0
488,ScottSilver,0.0,25.0,2.0
489,TimothyScottBogart,0.0,26.0,3.0
490,DavidTwohy,0.0,33.0,12.0
491,BrandonBoyce,0.0,30.0,3.0
492,SatoshiKon,0.0,19.0,8.0
493,BillCondon,4.0,40.0,24.0
494,WilliamGoldman,3.0,52.0,2.0
495,SantiagoAmigorena,0.0,31.0,8.0
496,DanieleThompson,2.0,57.0,8.0
497,PatProft,0.0,35.0,3.0
498,DavidDorfman(II),0.0,0.0,0.0
499,TempleMathews,0.0,0.0,0.0
500,WilliamWisherJr.,0.0,38.0,2.0
501,EmirKusturica,8.0,45.0,47.0
502,DonRhymer,0.0,0.0,0.0
503,ErnieBarbarash,0.0,23.0,24.0
504,SeanBailey,0.0,18.0,0.0
505,RobertMoreland,0.0,0.0,0.0
506,GasparNoe,2.0,39.0,29.0
507,ReneManzor,0.0,36.0,22.0
508,Jean-MariePoire,1.0,53.0,17.0
509,ToddHaynes,2.0,46.0,25.0
510,MichaelLucker,0.0,0.0,0.0
511,JohnFusco,0.0,35.0,3.0
512,EricFraticelli,0.0,16.0,18.0
513,JulienSeri,0.0,22.0,19.0
514,MichelMunz,0.0,22.0,5.0
515,GuillaumeCanet,12.0,31.0,82.0
516,JamesRobinson,0.0,81.0,6.0
517,EhrenKruger,1.0,25.0,0.0
518,DennisDrake,0.0,19.0,2.0
519,JohnO&#039;Brien,,,
520,DavidBenioff,1.0,22.0,7.0
521,CamilleThomasson,0.0,0.0,0.0
522,RonFriedman,0.0,0.0,0.0
523,MichaelFrance,0.0,0.0,0.0
524,BobbyFarrelly,0.0,27.0,20.0
525,MichaelCooney,0.0,12.0,0.0
526,EricBress,0.0,17.0,3.0
527,GideonDefoe,0.0,0.0,0.0
528,JeromeDassier,0.0,21.0,3.0
529,GurinderChadha,0.0,25.0,17.0
530,SteveKoren,1.0,20.0,0.0
531,EnkiBilal,0.0,31.0,4.0
532,ValerieGuignabodet,0.0,19.0,5.0
533,BertrandBlier,8.0,60.0,31.0
534,BennW.Levy,0.0,5.0,0.0
535,GlennFicarra,0.0,20.0,16.0
