,nom_scenaristes,recompenses_scenaristes,carriere_duree_scenaristes,films_series_scenaristes
2369,Leandre-AlainBaker,0.0,0.0,2.0
2370,XiaoluGuo,1.0,12.0,10.0
2371,IsabelleCzajka,0.0,33.0,8.0
2372,FedericaPontremoli,0.0,0.0,0.0
2373,AntoineBoutet,0.0,14.0,5.0
2374,NahidPerssonSarvestani,0.0,13.0,11.0
2375,AsliOzge,0.0,3.0,6.0
2376,AllanHeinberg,0.0,25.0,3.0
2377,JR,0.0,11.0,6.0
2378,QuananWang,2.0,21.0,7.0
2379,RebeccaZlotowski,2.0,14.0,9.0
2380,AlixDelaporte,4.0,20.0,5.0
2381,PatricioGuzman,3.0,49.0,23.0
2382,SilvioSoldini,1.0,35.0,23.0
2383,NoahStollman,0.0,16.0,0.0
2384,LucJoule,0.0,10.0,3.0
2385,LauraMorante,0.0,43.0,85.0
2386,KeithBunin,0.0,0.0,0.0
2387,ClaudineBories,0.0,33.0,10.0
2388,AndyBellin,0.0,0.0,0.0
2389,EdgarSanJuan,0.0,0.0,0.0
2390,KarinArrhenius,0.0,0.0,0.0
2391,MikeMills,0.0,22.0,10.0
2392,DamjanKozole,0.0,12.0,6.0
2393,JaanaMakkonen,0.0,0.0,0.0
2394,RenaudFely,0.0,10.0,3.0
2395,Marie-CastilleMention-Schaar,0.0,19.0,8.0
2396,PeterGreenaway,1.0,43.0,48.0
2397,FrankHenry,0.0,0.0,0.0
2398,RichardAyoade,1.0,20.0,19.0
2399,JohnMichaelMcDonagh,1.0,21.0,7.0
2400,MarcoRisi,1.0,42.0,15.0
2401,JessicaPostigo,0.0,0.0,0.0
2402,EricVuillard,0.0,0.0,0.0
2403,DannyBoyle,7.0,34.0,36.0
2404,D.V.DeVincentis,0.0,32.0,6.0
2405,ChristopherBorrelli,0.0,16.0,0.0
2406,BenRipley,0.0,19.0,0.0
2407,TommyWirkola,0.0,14.0,13.0
2408,LuisoBerdejo,0.0,15.0,4.0
2409,PekkoPesonen,0.0,0.0,0.0
2410,DavidSeidler,0.0,0.0,0.0
2411,EricFlandin,0.0,0.0,0.0
2412,DavidFarr,0.0,15.0,4.0
2413,AnneValton,0.0,0.0,0.0
2414,AlexandreCoffre,1.0,17.0,10.0
2415,PaulWebb,0.0,0.0,0.0
2416,AndrewKnauer,0.0,0.0,0.0
2417,DonFerrarone,0.0,0.0,0.0
2418,RomainCogitore,0.0,11.0,5.0
2419,ShibaniBathija,0.0,0.0,0.0
2420,DjamshedUsmonov,0.0,13.0,6.0
2421,OriolPaulo,2.0,11.0,6.0
2422,BrieucCarnaille,0.0,0.0,0.0
2423,StuartHazeldine,1.0,18.0,2.0
2424,YannisSmaragdis,0.0,21.0,4.0
2425,HichamAyouch,0.0,0.0,5.0
2426,ClaireRenaut,0.0,0.0,0.0
2427,AdrianHodges,0.0,21.0,0.0
2428,JavierFuentes-Leon,1.0,0.0,4.0
2429,LaurentFirode,0.0,26.0,18.0
2430,DarielleTillon,0.0,12.0,4.0
2431,QuiaraAlegriaHudes,0.0,0.0,0.0
2432,TateTaylor,1.0,22.0,22.0
2433,JacekBorcuch,0.0,0.0,6.0
2434,GeraldHustache-Mathieu,1.0,9.0,6.0
2435,JaneEnglish,0.0,0.0,0.0
2436,IgaalNiddam,0.0,36.0,11.0
2437,MikhaelHers,2.0,15.0,7.0
2438,AlexandreMessina,0.0,15.0,5.0
2439,BenjaminHeisenberg,0.0,0.0,3.0
2440,EliCraig,0.0,21.0,9.0
2441,NaderT.Homayoun,0.0,21.0,6.0
2442,DavidHaddad,0.0,0.0,3.0
2443,HeleneDuchemin,0.0,0.0,0.0
2444,FabriceGobert,0.0,0.0,7.0
2445,PedroGonzalez-Rubio,1.0,6.0,6.0
2446,PatrickPacheco,0.0,0.0,0.0
2447,DominiqueChoisy,0.0,21.0,4.0
2448,CharlotteDeChampfleury,0.0,0.0,0.0
2449,PeteJones,0.0,19.0,2.0
2450,RaphaelDelpard,0.0,47.0,9.0
2451,JasmilaZbanic,2.0,21.0,12.0
2452,RafiPitts,1.0,30.0,15.0
2453,PascaleThirode,0.0,23.0,2.0
2454,TomHanks,12.0,43.0,113.0
2455,MichaelR.Perry,0.0,21.0,0.0
2456,FeoAladag,3.0,13.0,10.0
2457,AudreyFouche,0.0,3.0,0.0
2458,SatokoOkudera,0.0,0.0,0.0
2459,ByronWillinger,0.0,0.0,0.0
2460,MaximeMotte,0.0,12.0,7.0
2461,SatishManwar,1.0,0.0,2.0
2462,SalimAissa,0.0,0.0,0.0
2463,NataliaSmirnoff,0.0,16.0,2.0
2464,BurhanQurbani,0.0,0.0,6.0
2465,ChenWen-pin,0.0,0.0,0.0
2466,MehranTamadon,0.0,15.0,4.0
2467,HisakoKurosawa,0.0,0.0,0.0
2468,JoseAlcala,0.0,21.0,8.0
2469,DebraGranik,2.0,23.0,7.0
2470,JoshFox,1.0,8.0,5.0
2471,TobiasLindholm,4.0,16.0,9.0
2472,RyunosukeKingetsu,0.0,0.0,0.0
2473,ErvinLazar,0.0,0.0,0.0
2474,ErezKav-El,0.0,0.0,0.0
2475,PierreThoretton,0.0,24.0,5.0
2476,KatherineFugate,0.0,16.0,0.0
2477,MarkDuplass,0.0,19.0,48.0
2478,PietroMarcello,1.0,16.0,13.0
2479,LucDecaster,0.0,18.0,8.0
2480,ShawnChristensen,1.0,6.0,3.0
2481,GlennClose,5.0,49.0,85.0
2482,PatriciaRiggen,0.0,14.0,16.0
2483,TineByrckel,0.0,0.0,0.0
2484,OlivierMasset-Depasse,1.0,24.0,9.0
2485,OscarRuizNavia,0.0,13.0,7.0
2486,IsabelleClaris,0.0,0.0,0.0
2487,LouYe,1.0,25.0,12.0
2488,JonasCuaron,1.0,16.0,10.0
2489,AnneDepetrini,0.0,13.0,11.0
2490,IrenaBrignull,0.0,0.0,0.0
2491,ArikLubetzki,0.0,0.0,0.0
2492,AntonioZurera,0.0,0.0,2.0
2493,GabrielleAllan,0.0,23.0,2.0
2494,JobyHarold,0.0,17.0,0.0
2495,DavidNicholls,0.0,24.0,0.0
2496,IsmaelFerroukhi,1.0,29.0,8.0
2497,InesCompan,0.0,0.0,0.0
2498,RaphaellePaupert-Borne,0.0,0.0,0.0
2499,LuisMinarro,0.0,25.0,4.0
2500,LarsBlumers,0.0,0.0,0.0
2501,ThierryBinisti,2.0,31.0,45.0
2502,MurielCoulin,2.0,24.0,7.0
2503,VincentOstria,0.0,0.0,3.0
2504,StephaneLafleur,1.0,20.0,5.0
2505,CarlosSaboga,0.0,36.0,2.0
2506,CyrilMennegun,7.0,12.0,5.0
2507,MattLieberman,0.0,0.0,0.0
2508,EdwardS.Curtis,0.0,0.0,2.0
2509,CheyenneCarron,0.0,22.0,18.0
2510,DenisVilleneuve,2.0,30.0,22.0
2511,PhilippeChatel,0.0,41.0,2.0
2512,SamiKeski-Vahala,0.0,0.0,0.0
2513,NicolasWadimoff,0.0,23.0,10.0
2514,PazFabrega,0.0,3.0,5.0
2515,HuckBotko,0.0,12.0,7.0
2516,AlexandreReverend,0.0,0.0,0.0
2517,FranckPhelizon,0.0,0.0,2.0
2518,IvanCotroneo,0.0,21.0,5.0
2519,RenateCosta,0.0,1.0,2.0
2520,ZhangLu,3.0,16.0,14.0
2521,MarkkuLehmuskallio,0.0,35.0,11.0
2522,NathalieBorgers,0.0,17.0,9.0
2523,JavierGarcia,0.0,0.0,0.0
2524,QuentinDupieux,0.0,23.0,18.0
2525,SergiBelbel,0.0,0.0,0.0
2526,BrandonHooper,0.0,19.0,0.0
2527,ClausWischmann,1.0,0.0,5.0
2528,AleksiSalmenpera,0.0,17.0,9.0
2529,SharunasBartas,0.0,31.0,21.0
2530,MichaelBullyHerbig,0.0,20.0,27.0
2531,BrigitteTanguy,0.0,0.0,0.0
2532,GuillaumeGallienne,14.0,31.0,55.0
2533,JesseStudenberg,0.0,0.0,0.0
2534,JaimeMarquesOlarreaga,0.0,13.0,2.0
2535,HamishMcColl,0.0,0.0,0.0
2536,JohnKani,0.0,43.0,21.0
2537,BrigitteSy,1.0,42.0,46.0
2538,AndresDuprat,0.0,12.0,0.0
2539,KarineAngeli,0.0,0.0,0.0
2540,AnnieMumolo,0.0,17.0,27.0
2541,SethMacFarlane,0.0,24.0,23.0
2542,ImSang-soo,0.0,22.0,11.0
2543,Mahamat-SalehHaroun,3.0,27.0,21.0
2544,MichelangeloFrammartino,0.0,0.0,3.0
2545,MariaKarlsson,0.0,0.0,0.0
2546,BelaTarr,1.0,56.0,21.0
2547,CharlesFerguson,3.0,7.0,8.0
2548,JeanPaulCiveyrac,0.0,30.0,15.0
2549,SergeiLoznitsa,3.0,25.0,37.0
2550,AlexandruBaciu,0.0,0.0,0.0
2551,DennisFoon,0.0,0.0,0.0
2552,YangYishu,0.0,0.0,0.0
2553,DanielVegaVidal,1.0,3.0,7.0
2554,SabinaGuzzanti,0.0,9.0,6.0
2555,ChristophHochhausler,0.0,12.0,10.0
2556,JulienLacombe,0.0,14.0,5.0
2557,AliBorgini,0.0,0.0,0.0
2558,LuciaCarreras,0.0,0.0,3.0
2559,RenaudBarret,1.0,18.0,8.0
2560,AvishaiSivan,0.0,16.0,4.0
2561,DiegoLerman,0.0,22.0,12.0
2562,AlistairBanksGriffin,0.0,3.0,3.0
2563,MarianaOtero,0.0,29.0,11.0
2564,MitchellKapner,0.0,0.0,0.0
2565,BaranboOdar,2.0,14.0,7.0
2566,AaronGuzikowski,0.0,11.0,3.0
2567,JindrichPolak,0.0,0.0,0.0
2568,SaverioCostanzo,1.0,21.0,7.0
2569,JamesA.Woods,0.0,22.0,19.0
2570,GuyMazarguil,0.0,16.0,4.0
2571,TopherGrace,0.0,24.0,42.0
2572,AndreiUjica,0.0,20.0,0.0
2573,AnneLinsel,0.0,0.0,0.0
2574,AndrzejBart,0.0,0.0,0.0
2575,IsabellePartiot-Pieri,1.0,0.0,0.0
2576,DanMazeau,0.0,0.0,0.0
2577,DeanDeBlois,0.0,20.0,10.0
2578,FrederickMarx,0.0,17.0,0.0
2579,MattDrake(II),0.0,0.0,0.0
2580,FrancescaArchibugi,1.0,40.0,20.0
2581,PauloHalm,0.0,19.0,4.0
2582,LionelGuedj,0.0,0.0,0.0
2583,Marie-ClaudeDazun,0.0,0.0,0.0
2584,KatharinaReschke,0.0,0.0,0.0
2585,KaleoLaBelle,0.0,0.0,0.0
2586,RichardDindo,0.0,33.0,13.0
2587,J.C.Chandor,5.0,13.0,8.0
2588,GabeSachs,0.0,29.0,3.0
2589,StephaneRybojad,0.0,0.0,3.0
2590,Jean-ChristopheRoger(II),0.0,12.0,5.0
2591,DarioArgento,0.0,57.0,41.0
2592,EnzoD&#039;Alo,,,
2593,Jean-MarcVallee,0.0,29.0,16.0
2594,GeraldineBajard,0.0,13.0,0.0
2595,JoseMariGoenaga,2.0,19.0,11.0
2596,StephenLow,0.0,18.0,13.0
2597,ThomasNgijol,1.0,13.0,10.0
2598,StephenChbosky,1.0,15.0,8.0
2599,TalipIbraimov,0.0,0.0,0.0
2600,RamzyBedia,1.0,25.0,81.0
2601,BurnyMattinson,0.0,34.0,2.0
2602,MichaelDiliberti,0.0,11.0,0.0
2603,GuillaumeLemans,0.0,15.0,0.0
2604,EricNebot,0.0,0.0,0.0
2605,WhitStillman,2.0,31.0,11.0
2606,JonathanMostow,0.0,36.0,15.0
2607,JonathanRaymond,0.0,0.0,0.0
2608,EricHeisserer,1.0,11.0,3.0
2609,SaphiaAzzeddine,0.0,0.0,3.0
2610,EricToledano,15.0,29.0,18.0
2611,FernandoTrueba,5.0,44.0,27.0
2612,IanMcEwan,0.0,0.0,0.0
2613,SamirBenchikh,0.0,10.0,3.0
2614,AndersThomasJensen,1.0,24.0,10.0
2615,DmitriyAleynikov,0.0,0.0,0.0
2616,FredericJardin,0.0,31.0,14.0
2617,YvesCaumon,1.0,32.0,15.0
2618,FilippoGravino,0.0,14.0,0.0
2619,AnochaSuwichakornpong,0.0,13.0,6.0
2620,DenisCote,2.0,15.0,20.0
2621,EmilieJouvet,0.0,14.0,6.0
2622,AngeloCianci,0.0,11.0,3.0
2623,MichelHazanavicius,22.0,29.0,24.0
2624,JeromeLeMaire,0.0,4.0,3.0
2625,SamirOubechou,0.0,0.0,0.0
2626,VirginieVerrier,0.0,11.0,3.0
2627,ShanaFeste,0.0,11.0,8.0
2628,AlbertoMarini,0.0,18.0,5.0
2629,WentworthMiller,0.0,24.0,22.0
2630,BrillanteMendoza,3.0,14.0,24.0
2631,DanteAlighieri,0.0,0.0,0.0
2632,Jean-CharlesHue,2.0,15.0,9.0
2633,JocelyneLemaireDarnaud,0.0,12.0,3.0
2634,RaedAndoni,0.0,0.0,3.0
2635,VincentLannoo,0.0,22.0,11.0
2636,MarianCrisan,1.0,5.0,7.0
2637,DavidGuggenheim,0.0,9.0,0.0
2638,NicolasBrossette,0.0,14.0,3.0
2639,MiguelBarros,0.0,4.0,2.0
2640,PiaMarais,1.0,15.0,6.0
2641,AlainDellaNegra,0.0,0.0,4.0
2642,CaseyAffleck,5.0,33.0,53.0
2643,KarlGajdusek,0.0,17.0,0.0
2644,FlorenceForesti,1.0,17.0,21.0
2645,StacySherman,0.0,3.0,0.0
2646,PhilippeFalardeau,4.0,24.0,13.0
2647,PeterBull(II),0.0,0.0,0.0
2648,JaneGoldman,0.0,14.0,0.0
2649,JoshuaCordes,0.0,0.0,0.0
2650,ChristineFrancois,0.0,17.0,5.0
2651,AgustiVillaronga,2.0,33.0,22.0
2652,EdnaMazia,0.0,0.0,0.0
2653,SarahBouyain,1.0,11.0,2.0
2654,FernandoLeondeAranoa,2.0,26.0,13.0
2655,JairoEduardoCarrillo,0.0,5.0,2.0
2656,SiriMelchior,0.0,18.0,7.0
2657,MarionHansel,2.0,40.0,14.0
2658,NaomiKawase,3.0,33.0,43.0
2659,BentHamer,0.0,26.0,8.0
2660,AthinaRachelTsangari,0.0,15.0,8.0
2661,Chia-LuChang,0.0,0.0,0.0
2662,AscanioCelestini,0.0,14.0,6.0
2663,GerardoAmato,0.0,24.0,3.0
2664,StefanKarlsson,0.0,0.0,0.0
2665,Francois-JacquesOssang,2.0,39.0,15.0
2666,BruceLaBruce,0.0,29.0,20.0
2667,MarieChaduc,0.0,0.0,0.0
2668,JalmariHelander,0.0,18.0,8.0
2669,LiHongqi,0.0,6.0,4.0
2670,KarenJanszen,0.0,0.0,0.0
2671,Jean-PaulJaud,0.0,16.0,7.0
2672,StefanoIncerti,0.0,18.0,8.0
2673,MaxLandis,0.0,21.0,6.0
2674,ReinhardKlooss,0.0,28.0,6.0
2675,LeeFulkerson,0.0,10.0,0.0
2676,JulienMaury,0.0,14.0,11.0
2677,AnneAzoulay,0.0,24.0,42.0
2678,CharlesBowden(II),0.0,0.0,0.0
2679,JoaoNicolau,1.0,19.0,7.0
2680,SimonReggiani,0.0,28.0,9.0
2681,FranciscoAvizanda,0.0,5.0,3.0
2682,RodolfoPastor,0.0,14.0,4.0
2683,AngelinaJolie,7.0,41.0,69.0
2684,BrianGatewood,0.0,10.0,2.0
2685,AlainTixier,0.0,0.0,2.0
2686,MassimoGaudioso,0.0,0.0,0.0
2687,GillesMartinerie,0.0,9.0,0.0
2688,EricBoisset,0.0,0.0,0.0
2689,WernerHerzog,9.0,61.0,120.0
2690,DelphineKreuter,0.0,4.0,2.0
2691,NicolasMercier,1.0,27.0,0.0
2692,GiovanniVeronesi,1.0,29.0,14.0
2693,SeanDurkin,2.0,15.0,10.0
2694,PabloF.Fenjves,0.0,0.0,0.0
2695,WangBing,1.0,21.0,28.0
2696,KatiaLewkowicz,0.0,19.0,17.0
2697,Hoon-JungPark,1.0,19.0,10.0
2698,TerryJones,1.0,48.0,26.0
2699,ManishPandey,0.0,13.0,2.0
2700,AnthonyMcCarten,2.0,23.0,3.0
2701,HermannLorenz,0.0,6.0,2.0
2702,DavidWnendt,1.0,8.0,8.0
2703,GidonMaron,0.0,0.0,0.0
2704,SophieSchoukens,0.0,16.0,2.0
2705,FredericChaudier,0.0,0.0,4.0
2706,RobertoFontanarrosa,0.0,0.0,0.0
2707,JalilNaciri,0.0,22.0,17.0
2708,ElizabethMeriwether,0.0,17.0,5.0
2709,MelisaWallack,0.0,13.0,0.0
2710,DamianoD&#039;Innocenzo,,,
2711,VanessaTaylor,0.0,20.0,0.0
2712,GavinWiesen,0.0,9.0,3.0
2713,CecileSellam,0.0,0.0,0.0
2714,PhilippeCrnogorac,0.0,3.0,3.0
2715,WalterLupo,0.0,0.0,0.0
2716,MassimilianoAmato,0.0,3.0,2.0
2717,PaoloVirzi,1.0,32.0,20.0
2718,MichaelLove,0.0,0.0,0.0
2719,NicolasKlotz,0.0,35.0,28.0
2720,WillBeall,0.0,12.0,0.0
2721,JalilLespert,3.0,28.0,55.0
2722,AgustiVila,0.0,16.0,5.0
2723,StefanoPasetto,0.0,16.0,3.0
2724,LauraSantullo,0.0,14.0,0.0
2725,OlParker,0.0,26.0,6.0
2726,YvesJeuland,0.0,24.0,20.0
2727,AbdallahBadis,0.0,22.0,4.0
2728,RafeJudkins,0.0,13.0,0.0
2729,GeorgesHachem,0.0,0.0,4.0
2730,Jean-ClaudeSchlim,0.0,4.0,0.0
2731,TaikaWaititi,2.0,24.0,44.0
2732,FredericPelle,1.0,21.0,7.0
2733,RyanRedford,0.0,0.0,0.0
2734,JenniferWestfeldt,0.0,25.0,19.0
2735,MikaelBuch,0.0,13.0,6.0
2736,JesperBergmann,0.0,0.0,0.0
2737,TimKelleher,0.0,29.0,41.0
2738,RobertoGarzelli,0.0,25.0,4.0
2739,OlivierAbbou,0.0,16.0,8.0
2740,AlexandreAstier,2.0,18.0,26.0
2741,SylvainEstibal,0.0,0.0,0.0
2742,KatjaGrubel,0.0,0.0,0.0
2743,RenaudAndris,0.0,0.0,0.0
2744,MelanieLaurent,9.0,25.0,64.0
2745,EmmanuelleMillet,0.0,0.0,2.0
2746,AmandaBrody,0.0,0.0,0.0
2747,MichelSiksik,0.0,24.0,2.0
2748,AliSamadiAhadi,0.0,17.0,12.0
2749,EvanDaugherty,0.0,0.0,4.0
2750,NicholasJarecki,0.0,12.0,4.0
2751,JonathanGlazer,1.0,24.0,8.0
2752,AnneEmond,0.0,9.0,5.0
2753,NickMurphy,3.0,12.0,13.0
2754,MichelKhleifi,0.0,34.0,15.0
2755,MorganLand,0.0,0.0,0.0
2756,JohnShank,0.0,12.0,3.0
2757,KarineSilla,0.0,19.0,10.0
2758,MateoGuez,1.0,16.0,4.0
2759,TomBradby,0.0,3.0,2.0
2760,MikelRueda,1.0,13.0,11.0
2761,Jean-ClaudeRousseau,0.0,29.0,10.0
2762,JulietSnowden,0.0,0.0,0.0
2763,NurithAviv,0.0,54.0,12.0
2764,YaseminSamdereli,2.0,0.0,3.0
2765,WangXiaoshuai,3.0,29.0,23.0
2766,AnneGiafferi,0.0,16.0,8.0
2767,MontxoArmendariz,0.0,28.0,11.0
2768,RezaSerkanian,0.0,7.0,2.0
2769,AmelieSarn,0.0,0.0,0.0
2770,JonHurwitz,0.0,19.0,6.0
2771,NoahOppenheim,1.0,8.0,0.0
2772,PaddyConsidine,7.0,25.0,56.0
2773,VladimirNesterenko,0.0,0.0,0.0
2774,PascalVuong,0.0,23.0,5.0
2775,RebeccaFrayn,0.0,16.0,0.0
2776,ChrisColfer,1.0,7.0,7.0
2777,CelineSciamma,9.0,14.0,10.0
2778,RajkoGrlic,0.0,33.0,7.0
2779,DominiqueMaillet,0.0,0.0,2.0
2780,LeeDaniels,7.0,35.0,19.0
2781,StanNeumann,0.0,60.0,20.0
2782,KurtSutter,0.0,19.0,8.0
2783,WimWenders,12.0,55.0,83.0
2784,DeyanSudjic,0.0,0.0,0.0
2785,WillCarlough,0.0,0.0,0.0
2786,KimNguyen,1.0,18.0,12.0
2787,RandyFeldman,0.0,29.0,2.0
2788,JudithAbitbol,0.0,18.0,4.0
2789,MathieuDemy,1.0,47.0,72.0
2790,JoeCornish,1.0,17.0,9.0
2791,OlivierTorres,0.0,36.0,12.0
2792,VaclavVorlicek,0.0,55.0,11.0
2793,AleksiBardy,0.0,24.0,0.0
2794,MichaelR.Roskam,6.0,15.0,10.0
2795,JanSchomburg,0.0,10.0,4.0
2796,SamLevinson,0.0,12.0,6.0
2797,JoelBackstrom,0.0,0.0,0.0
2798,FredericVideau,0.0,22.0,7.0
2799,AliceWinocour,3.0,20.0,9.0
2800,YaronZilberman,0.0,7.0,4.0
2801,BlakeMasters,0.0,10.0,0.0
2802,SylvieTestud,6.0,33.0,138.0
2803,VincentGlenn,0.0,22.0,4.0
2804,HinerSaleem,3.0,28.0,12.0
2805,SergePapagalli,0.0,49.0,7.0
2806,AndreOvredal,4.0,11.0,12.0
2807,DamonBeesley,0.0,13.0,4.0
2808,PaulaMarkovitch,3.0,6.0,5.0
2809,BobNelson,1.0,31.0,7.0
2810,MarianoCohn,1.0,21.0,13.0
2811,JohnJ.McLaughlin,0.0,17.0,0.0
2812,BujarAlimani,0.0,4.0,5.0
2813,MarieLosier,2.0,13.0,10.0
2814,CarlosCesarArbelaez,3.0,0.0,2.0
2815,EvaldsLacis,0.0,0.0,0.0
2816,AndyBelling,0.0,0.0,0.0
2817,JamesFranco,4.0,27.0,152.0
2818,MichalAviad,0.0,0.0,3.0
2819,CharlotteSilvera,0.0,39.0,19.0
2820,SabineBernardi,1.0,0.0,12.0
2821,AnneTesson,0.0,3.0,0.0
2822,JeffNichols,8.0,14.0,9.0
2823,GoranHugoOlsson,0.0,5.0,5.0
2824,Pierre-YvesVandeweerd,1.0,14.0,9.0
2825,DjoTundaWaMunga,0.0,5.0,2.0
2826,OlivierRinger,0.0,16.0,4.0
2827,CyrilTuschi,1.0,1.0,5.0
2828,EsbenToftJacobsen,0.0,3.0,2.0
2829,RagnhildTronvoll,0.0,0.0,0.0
2830,ElizabethHess(II),0.0,0.0,0.0
2831,DanfungDennis,1.0,0.0,0.0
2832,BritMarling,1.0,19.0,15.0
2833,MaryamKeshavarz,2.0,14.0,6.0
2834,JosefineAdolfsson,0.0,0.0,0.0
2835,BradIngelsby,0.0,15.0,0.0
2836,AndrewOkpeahaMacLean,0.0,3.0,2.0
2837,AndresBaiz,0.0,17.0,11.0
2838,IsabellaAguilar,0.0,0.0,0.0
2839,GianniDiGregorio,2.0,34.0,6.0
2840,MatthewMcDuffie,0.0,19.0,3.0
2841,ErwanLeDuc,0.0,0.0,5.0
2842,ElieWajeman,1.0,11.0,7.0
2843,DavidDusa,0.0,7.0,3.0
2844,EstelleLarrivaz,1.0,30.0,25.0
2845,PhilMulloy,0.0,13.0,5.0
2846,HomeidaBehi,0.0,0.0,0.0
2847,DominiqueAbel,1.0,30.0,13.0
2848,DavidF.Shamoon,0.0,0.0,0.0
2849,SandrineBonnaire,7.0,41.0,85.0
2850,GiovanniGalavotti,0.0,0.0,0.0
2851,JamieMoss,0.0,16.0,2.0
2852,EverardoGout,0.0,10.0,10.0
2853,BlayneWeaver,0.0,25.0,13.0
2854,AntoineJaccoud,0.0,13.0,0.0
2855,MichaleBoganim,1.0,21.0,6.0
2856,BillNicholson,0.0,0.0,0.0
2857,EliseGirard,0.0,97.0,3.0
2858,LaurentAchard,1.0,25.0,11.0
2859,AlexandreSokourov,1.0,49.0,69.0
2860,RegisJaulin,0.0,0.0,0.0
2861,ChristopheSahr,0.0,0.0,3.0
2862,Jung,1.0,0.0,0.0
2863,GereonWetzel,0.0,0.0,8.0
2864,JulianPolsler,0.0,0.0,5.0
2865,JonathanLevine,0.0,19.0,22.0
2866,EnriqueMorente,0.0,4.0,2.0
2867,JudyMorris,0.0,37.0,6.0
2868,BertrandBonello,1.0,29.0,27.0
2869,Pen-ekRatanaruang,0.0,21.0,15.0
2870,OlegNegin,1.0,11.0,0.0
2871,MarcGuggenheim,0.0,31.0,3.0
2872,TomasAragay,0.0,0.0,0.0
2873,BenjaminAvila,0.0,64.0,7.0
2874,GeraldineMaillet,0.0,9.0,5.0
2875,MikhailVaiger,0.0,0.0,0.0
2876,PipChodorov,0.0,23.0,6.0
2877,StephanStreker,0.0,28.0,6.0
2878,RithyPanh,6.0,31.0,22.0
2879,AudreyDiwan,1.0,16.0,5.0
2880,PierreSauvil,0.0,0.0,0.0
2881,JohnM.Phillips,0.0,0.0,0.0
2882,PaoloVacirca,0.0,0.0,0.0
2883,DavidSoren,0.0,19.0,7.0
2884,PatrickMille,2.0,32.0,53.0
2885,VivianeCandas,0.0,22.0,7.0
2886,HeleneLee,0.0,0.0,0.0
2887,CarlosReygadas,2.0,24.0,13.0
2888,BobcatGoldthwait,0.0,35.0,32.0
2889,PedroPeirano,0.0,12.0,2.0
2890,BernardoBertolucci,9.0,57.0,38.0
2891,FabriceDuWelz,4.0,22.0,10.0
2892,MihoMaruo,0.0,0.0,0.0
2893,FredericDantec,0.0,9.0,2.0
2894,TomStoppard,3.0,42.0,4.0
2895,MarkMoss,0.0,47.0,0.0
2896,NirBergman,0.0,19.0,6.0
2897,RaymondBriggs,0.0,0.0,0.0
2898,JuanitaWilson(II),0.0,7.0,4.0
2899,NolwennLemesle,1.0,17.0,4.0
2900,IsabelleQuerrioux,0.0,0.0,0.0
2901,DanielAuteuil,6.0,49.0,102.0
2902,SissiRuiqian,0.0,0.0,0.0
2903,JavierBaladia,0.0,0.0,0.0
2904,AndrewRossi,0.0,16.0,11.0
2905,NathalieSaugeon,0.0,20.0,2.0
2906,DavidWain,0.0,21.0,35.0
2907,LuisBerdejo,0.0,11.0,0.0
2908,ClarisseHahn,0.0,14.0,3.0
2909,HeleneMilano,0.0,16.0,7.0
2910,AlexandreVilleret,0.0,0.0,0.0
2911,SimonBarrett,0.0,17.0,10.0
2912,PhilippeCarrese,0.0,10.0,5.0
2913,DavideManuli,0.0,5.0,2.0
2914,JulienWar,0.0,12.0,6.0
2915,JohnAboud,0.0,14.0,0.0
2916,JohnScottIII,0.0,0.0,0.0
2917,AlainMinier,0.0,26.0,3.0
2918,Anne-ChristineCaro,0.0,0.0,0.0
2919,SophieLellouche,0.0,0.0,2.0
2920,EmmanuelleAntille,1.0,9.0,6.0
2921,CortoFajal,0.0,20.0,5.0
2922,JulieHeekin,0.0,0.0,0.0
2923,PatrickDeWitt,0.0,0.0,0.0
2924,LisaLangseth,0.0,0.0,4.0
2925,FredericPetitjean,0.0,13.0,2.0
2926,AndrewMcGarry,0.0,0.0,0.0
2927,EricKhoo,1.0,29.0,14.0
2928,AliceRohrwacher,2.0,17.0,12.0
2929,FlaviaCastro,0.0,0.0,3.0
2930,MichaelRadford,2.0,37.0,15.0
2931,Jean-ManuelFernandez,0.0,0.0,0.0
2932,JosephCedar,1.0,24.0,9.0
2933,JuliaLeigh,0.0,0.0,0.0
2934,GerardoNaranjo,1.0,16.0,14.0
2935,JulianaRojas,2.0,16.0,15.0
2936,KikumiYamagishi,0.0,0.0,0.0
2937,MarkusSchleinzer,0.0,23.0,21.0
2938,OliverHermanus,0.0,14.0,7.0
2939,JoachimTrier,2.0,17.0,7.0
2940,AndreasDresen,5.0,33.0,36.0
2941,ChristianRouaud,3.0,19.0,10.0
2942,NaotoInoue,0.0,0.0,0.0
2943,HarutoshiFukui,0.0,0.0,0.0
2944,FrancoisLunel,0.0,23.0,7.0
2945,PabloGiorgelli,6.0,0.0,3.0
2946,ZouPeng,0.0,3.0,2.0
2947,KonstantinBojanov,1.0,10.0,5.0
2948,JonathanCaouette,0.0,11.0,11.0
2949,JonathanTaieb,0.0,5.0,4.0
2950,ValerieMrejen,0.0,26.0,17.0
2951,VimukthiJayasundara,1.0,13.0,7.0
2952,AlejandroLandes,0.0,0.0,3.0
2953,Jean-JacquesJauffret,0.0,19.0,5.0
2954,AuraeusSolito,0.0,7.0,5.0
