,ID,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,distrib_1,distrib_2,distrib_3,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards
2911,139950,L'enfance d'Icare,Guillaume Depardieu, Alysson Paradis, Carlo Brandt, Sophie Lukasik,Alex Iordachescu,,,Marianne Brun, Marcel Beaulieu, Alex Iordachescu,Zootrope Films,,,Thriller,,,,,,,France,19.0,1.0,2011.0,2.0,1.9,96.0,296.0,1296000.0
2912,139957,Paisito,Emilio Gutierrez Caba, Andrea Davidovics, Maria Botto, Nicolas Pauls,Ana Díez,,,Ricardo Fernández Blanco,,,Bodega Films,,,Drame,,,,,,,Espagne,17.0,3.0,2010.0,2.0,2.5,88.0,415.0,357151.0
2913,139966,Leap Year,Amy Adams, Matthew Goode, Adam Scott, John Lithgow,Anand Tucker,,,Deborah Kaplan, Harry Elfont,,MC4 Distribution,,,Comédie, Romance,,,,,,U.S.A.,11.0,8.0,2010.0,2.0,2.1,100.0,9321.0,19000000.0
2914,139969,The Happytime Murders,Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker,Brian Henson,,,Todd Berger, Dee Austin Robertson, Todd Berger,Metropolitan FilmExport,,,Comédie,,,,,,,U.S.A.,19.0,9.0,2018.0,2.0,1.8,92.0,13732.0,40000000.0
2915,140000,The Way Back,Jim Sturgess, Ed Harris, Saoirse Ronan, Colin Farrell,Peter Weir,,,Peter Weir, Keith Clarke, Slavomir Rawicz,Metropolitan FilmExport,,,Aventure, Drame, Historique,,,,,U.S.A.,26.0,1.0,2011.0,2.0,3.1,133.0,391619.0,30000000.0
2916,140005,Moneyball,Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright,Bennett Miller,,,Steven Zaillian, Aaron Sorkin, Michael Lewis,Sony Pictures Releasing France,,,Biopic, Drame,,,,,,U.S.A.,16.0,11.0,2011.0,2.0,4.0,133.0,77846.0,50000000.0
2917,140017,La Ventana,Antonio Larreta, María del Carmen Jiménez, Emilse Roldán, Arturo Goetz,Carlos Sorín,,,Carlos Sorín, Pedro Mairal,,Luminor (CTV),,,Drame,,,,,,,Espagne,3.0,6.0,2009.0,2.0,3.8,75.0,8439.0,92816.0
2918,140085,Postales de Leningrado,Greisy Mena, Laureano Olivares, William Cifuentes, Haydee Faverola,Mariana Rondón,,,Mariana Rondón,,,Colifilms Diffusion,,,Drame,,,,,,,Vénézuela,11.0,3.0,2009.0,2.0,2.3,90.0,1136.0,185691.0
2919,140127,"Big Momma's: Like Father, Like Son",Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Max Casella,John Whitesell,,,Matthew Fogel, Don Rhymer, Darryl Quarles,Twentieth Century Fox France,,,Comédie, Policier,,,,,,U.S.A.,30.0,3.0,2011.0,2.0,1.3,107.0,167945.0,32000000.0
2920,140136,Killers,Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O&#039;Hara,Robert Luketic,,,Ted Griffin, Bob DeRosa,,Metropolitan FilmExport,,,Comédie, Thriller,,,,,,U.S.A.,23.0,6.0,2010.0,2.0,1.8,100.0,289852.0,75000000.0
