ID_film;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;scen_4;score_disctrib;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;budegt_dollars;premiere_semaine_france
139791;Jenedispasnon;SylvieTestud;StefanoAccorsi;LaurentStocker;ConstanceDolle;IlianaLolic;;;IlianaLolic;;;;0,00704;Comedie dramatique;;;;;;;France;15;7;2009;2;2,5;90;;2158
139812;PiratesoftheCaribbean:OnStrangerTides;JohnnyDepp;PenelopeCruz;GeoffreyRush;IanMcShane;RobMarshall;;;JayWolpert;TerryRossio;TedElliott;;0,02489;Aventure; Comedie; Fantastique;;;;;USA;18;5;2011;2;2,5;136;250000000;1693713
139824;50/50;JosephGordon-Levitt;SethRogen;AnnaKendrick;BryceDallasHoward;JonathanLevine;;;WillReiser;WillReiser;;;0,04368;Comedie dramatique;;;;;;;USA;16;11;2011;2;3,1;100;8000000;15199
139835;Fais-moiplaisir!;EmmanuelMouret;JudithGodreche;FrederiqueBel;DeborahFrancois;EmmanuelMouret;;;EmmanuelMouret;;;;0,0261;Comedie;;;;;;;France;24;6;2009;2;3,4;90;2018791;61272
139849;Lino;LinoMilesi;Jean-LouisMilesi;Jean-JeromeEsposito;GedMarlon;Jean-LouisMilesi;;;;;;;0,01422;Comedie dramatique;;;;;;;France;28;1;2009;2;3,3;83;42;2084
139950;L'enfanced'Icare;GuillaumeDepardieu;AlyssonParadis;CarloBrandt;SophieLukasik;AlexIordachescu;;;MarianneBrun;MarcelBeaulieu;AlexIordachescu;;0,01461;Thriller;;;;;;;France;19;1;2011;2;1,9;96;1296000;296
139957;Paisito;EmilioGutierrezCaba;AndreaDavidovics;MariaBotto;NicolasPauls;AnaDiez;;;RicardoFernandezBlanco;;;;0,02093;Drame;;;;;;;Autre;17;3;2010;2;2,5;88;357151;415
139966;LeapYear;AmyAdams;MatthewGoode;AdamScott;JohnLithgow;AnandTucker;;;DeborahKaplan;HarryElfont;;;0,00959;Comedie; Romance;;;;;;USA;11;8;2010;2;2,1;100;19000000;9321
139969;TheHappytimeMurders;MelissaMcCarthy;ElizabethBanks;MayaRudolph;LeslieDavidBaker;BrianHenson;;;ToddBerger;DeeAustinRobertson;ToddBerger;;0,04368;Comedie;;;;;;;USA;19;9;2018;2;1,8;92;40000000;13732
140000;TheWayBack;JimSturgess;EdHarris;SaoirseRonan;ColinFarrell;PeterWeir;;;PeterWeir;KeithClarke;SlavomirRawicz;;0,04368;Aventure; Drame; Historique;;;;;USA;26;1;2011;2;3,1;133;30000000;391619
140005;Moneyball;BradPitt;JonahHill;PhilipSeymourHoffman;RobinWright;BennettMiller;;;StevenZaillian;AaronSorkin;MichaelLewis;;0,02583;Biopic; Drame;;;;;;USA;16;11;2011;2;4;133;47000000;77846
140017;LaVentana;AntonioLarreta;MariadelCarmenJimenez;EmilseRoldan;ArturoGoetz;CarlosSorin;;;CarlosSorin;PedroMairal;;;0,00774;Drame;;;;;;;Autre;3;6;2009;2;3,8;75;92816;8439
140085;PostalesdeLeningrado;GreisyMena;LaureanoOlivares;WilliamCifuentes;HaydeeFaverola;MarianaRondon;;;MarianaRondon;;;;0,01105;Drame;;;;;;;Autre;11;3;2009;2;2,3;90;185691;1136
140127;BigMomma's:LikeFather,LikeSon;MartinLawrence;BrandonT.Jackson;JessicaLucas;MaxCasella;JohnWhitesell;;;MatthewFogel;DonRhymer;DarrylQuarles;;0,02846;Comedie; Policier;;;;;;USA;30;3;2011;2;1,3;107;32000000;167945
140136;Killers;KatherineHeigl;AshtonKutcher;TomSelleck;"CatherineO&#039;Hara";RobertLuketic;;;TedGriffin;BobDeRosa;;;0,04368;Comedie; Thriller;;;;;;USA;23;6;2010;2;1,8;100;75000000;289852
140139;Biutiful;JavierBardem;MaricelAlvarez;EduardFernandez;DiaryatouDaff;AlejandroGonzalezInarritu;;;ArmandoBo;AlejandroGonzalezInarritu;NicolasGiacobone;;0,02552;Drame;;;;;;;Autre;20;10;2010;2;3,3;138;5101237;120923
140140;AnimalKingdom;GuyPearce;JamesFrecheville;JackiWeaver;BenMendelsohn;DavidMichod;;;DavidMichod;;;;0,02552;Drame;;;;;;;Autre;27;4;2011;2;4;112;4500000;34066
