,ID_x,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,scen_4,score_disctrib,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards,ID_y,annee,titre,premiere_semaine,budget
5639,220997,Swandown,AndrewKotting,StewartLee,AlanMoore,PhilippeCiompi,AndrewKotting,,,,,,,"0,01423",Documentaire,,,,,,,Grande-Bretagne,4.0,12.0,2013.0,2.0,2.7,94.0,264.0,21632.0,,,,,
5640,220999,Auborddumonde,,,,,ClausDrexel,,,ClausDrexel,,,,"0,00409",Documentaire,,,,,,,France,22.0,1.0,2014.0,2.0,4.1,98.0,7594.0,,,,,,
5641,221001,DasmerkwurdigeKatzchen,JennySchily,AnjorkaStrechel,MiaKasalo,LukPfaff,RamonZurcher,,,RamonZurcher,,,,"0,01074",Comédie dramatique,,,,,,,Allemagne,2.0,4.0,2014.0,2.0,3.7,72.0,2452.0,5885.0,,,,,
5642,221009,BraddockAmerica,,,,,Jean-LoicPortron,GabriellaKessler,,,,,,"0,01134",Documentaire,,,,,,,France,12.0,3.0,2014.0,2.0,3.6,101.0,2181.0,,,,,,
5643,221010,MicmacMasters,VijaySethupathi,SanchitaShetty,RadhaRavi,AshokSelvan,NalanKumarasamy,,,NalanKumarasamy,SrinivasaKavineyam,,,"0,01441",Comédie dramatique, Thriller,,,,,,Inde,5.0,11.0,2014.0,2.0,2.7,125.0,66.0,,,,,,
5644,221014,WishIWasHere,ZachBraff,KateHudson,MandyPatinkin,JoeyKing,ZachBraff,,,AdamBraff,ZachBraff,,,"0,02538",Comédie, Drame,,,,,,U.S.A.,13.0,8.0,2014.0,2.0,3.3,107.0,48537.0,6000000.0,14426.0,2014.0,WishIWasHere,48537.0,6000000
5645,221081,Self/less,RyanReynolds,BenKingsley,NatalieMartinez,MatthewGoode,TarsemSingh,,,DavidPastor,AlexPastor,,,"0,02585",Science Fiction, Thriller,,,,,,U.S.A.,29.0,7.0,2015.0,2.0,2.7,118.0,233121.0,600.0,15138.0,2015.0,Self/less,233121.0,26000000
5646,221082,Jasmine,,,,,AlainUghetto,,,AlainUghetto,JacquesReboud,ChloeInguenaud,,"0,02470",Animation,,,,,,,France,30.0,10.0,2013.0,2.0,4.1,70.0,2039.0,,,,,,
5647,221092,Dreamers,GuillermoArriaga,JacquesAudiard,JohnBoorman,AkivaGoldsman,NoelleDeschamps,,,NoelleDeschamps,,,,"0,02266",Documentaire,,,,,,,France,15.0,5.0,2013.0,2.0,2.7,80.0,1003.0,,,,,,
5648,221093,ShauntheSheepMovie,,,,,RichardStarzak,MarkBurton(IV),,RichardStarzak,MarkBurton(IV),,,"0,02587",Aventure, Animation, Comédie, Famille,,,,Grande-Bretagne,1.0,4.0,2015.0,2.0,4.3,85.0,314419.0,25000000.0,,,,,
