distrib_score,Action,Animation,Aventure,Biopic,Comedie,Comedie dramatique,Comedie musicale,Drame,Epouvante-horreur,Famille,Fantastique,Guerre,Historique,Musical,Policier,Romance,Science Fiction,Thriller,Western,France,USA,Angleterre,Autres,jour_sortie,mois_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,budget_dollars,acteur_score,directors_score,scenarist_score,nombre_jour,jour_sortie_norm,cos_jour_mois,sin_jour_mois,cos_mois,sin_mois,cos_jour_semaine,sin_jour_semaine
0.01158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,2,3.0,100,334,162,3.4949098897269337,1.3281019724230587,0.449076486596028,31,0.06451612903225806,0.9189578116202306,0.39435585511331855,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.00912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,4,2,3.2,85,1662,180,0.0,0.2279851564643164,0.0,30,0.9,0.8090169943749473,-0.5877852522924734,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.00559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,11,2,2.6,120,6032,185,0.0412371134020618,1.2013545781145876,0.3987030281975566,30,0.3333333333333333,-0.4999999999999998,0.8660254037844387,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.01699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,2,3.2,90,295,199,0.0,0.3651725862773166,0.0,31,0.6451612903225806,-0.6121059825476627,-0.7907757369376986,-1.8369701987210297e-16,-1.0,0.6234898018587336,0.7818314824680298
0.02093,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,2,2.9,90,414,200,1.8586645450324324,1.0305730515110296,0.0548896994962654,30,0.43333333333333335,-0.913545457642601,0.40673664307580004,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.02583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,10,2,1.8,112,941871,200,3.471854458811574,1.5541068642430702,0.6012390712755487,31,0.3225806451612903,-0.4403941515576344,0.8978045395707416,-1.8369701987210297e-16,-1.0,0.6234898018587336,0.7818314824680298
0.02846,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,4,2,3.2,94,311292,200,0.0,1.4800653861286124,0.4554455445544554,30,0.5,-1.0,1.2246467991473532e-16,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.0261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,2,3.8,91,12564,200,0.9168848080642382,1.3805038665893774,0.4471732402442281,31,0.9032258064516129,0.8207634412072763,-0.5712682150947924,1.0,0.0,0.6234898018587336,0.7818314824680298
0.02134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,2,3.8,80,32198,216,2.8256679628125463,0.0,0.0,30,0.16666666666666666,0.5000000000000001,0.8660254037844386,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.01461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,2,3.1,83,106,216,2.4718548150430038,0.988994068831002,0.0467836257309941,28,0.8571428571428571,0.6234898018587334,-0.7818314824680299,0.8660254037844387,0.49999999999999994,0.6234898018587336,0.7818314824680298
0.00575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,11,2,2.9,87,449,216,0.0,0.6041442727576138,0.0,30,0.3,-0.30901699437494734,0.9510565162951536,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.01731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,12,2,3.6,88,48816,220,0.0,1.1545308694761498,0.0,31,0.41935483870967744,-0.8743466161445821,0.48530196253108104,0.8660254037844384,-0.5000000000000004,0.6234898018587336,0.7818314824680298
0.02324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,2,3.0,75,88,250,0.0,3.0156626886701727,0.0,30,0.3333333333333333,-0.4999999999999998,0.8660254037844387,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.02583,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,9,2,3.1,102,64588,254,2.8744793241531528,1.0076879899939155,0.023391812865497,30,0.4,-0.8090169943749473,0.5877852522924732,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.01299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,2,3.3,112,1926,254,2.1305614935086408,1.4306777650665357,0.5092426050754482,31,0.3225806451612903,-0.4403941515576344,0.8978045395707416,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.01485,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,9,2,3.2,90,206,273,2.150620150902288,0.9940742156918432,0.0198019801980198,30,0.43333333333333335,-0.913545457642601,0.40673664307580004,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,2,2.2,103,130509,287,2.809316695755138,0.8918735386694628,0.6768571594001506,31,0.25806451612903225,-0.05064916883871264,0.9987165071710528,-1.8369701987210297e-16,-1.0,0.6234898018587336,0.7818314824680298
0.02334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,6,2,3.5,172,910,300,0.0,1.2211562640090148,0.0,30,0.5,-1.0,1.2246467991473532e-16,-0.8660254037844385,0.5000000000000003,0.6234898018587336,0.7818314824680298
0.02489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,8,1,2,2.6,95,169125,300,4.17337328242727,1.2418063568614,0.1655955069191129,31,0.25806451612903225,-0.05064916883871264,0.9987165071710528,1.0,0.0,0.6234898018587336,0.7818314824680298
0.02429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31,5,2,3.0,98,122691,300,4.605434320584261,2.373599319776293,0.0,31,1.0,1.0,-2.4492935982947064e-16,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,12,2,1.6,103,316258,318,4.77356583701611,1.7189459994436342,1.10955526792068,31,0.4838709677419355,-0.9948693233918952,0.10116832198743228,0.8660254037844384,-0.5000000000000004,0.6234898018587336,0.7818314824680298
0.04368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,11,2,2.9,96,34698,324,3.309956650551038,1.444478978605526,0.5409067222511725,30,0.1,0.8090169943749475,0.5877852522924731,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.02538,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,7,2,2.8,81,8400,324,4.357122119954592,1.2054132859223676,0.2646054079092119,31,0.5483870967741935,-0.954139256400049,-0.2993631229733574,-1.0,1.2246467991473532e-16,0.6234898018587336,0.7818314824680298
0.01481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,6,2,3.0,109,7910,357,3.4145596761105903,1.650869472303027,0.9276318124172348,30,0.7333333333333333,-0.10452846326765423,-0.9945218953682733,-0.8660254037844385,0.5000000000000003,0.6234898018587336,0.7818314824680298
0.03024,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,11,2,3.9,107,51977,370,2.9734914751111177,1.6016170253105757,0.6478564664615867,30,0.9,0.8090169943749473,-0.5877852522924734,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.00998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25,5,2,4.3,126,213665,370,5.728138385606045,2.70818276874847,0.0,31,0.8064516129032258,0.34730525284481945,-0.9377521321470808,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.02552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,2,3.4,106,21207,378,2.4239469572337593,1.3776009908466134,0.4498366644813887,31,0.4838709677419355,-0.9948693233918952,0.10116832198743228,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.01496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,10,2,3.7,82,20898,381,0.0,0.9177384029543508,0.1386138613861386,31,0.6774193548387096,-0.440394151557635,-0.8978045395707414,-1.8369701987210297e-16,-1.0,0.6234898018587336,0.7818314824680298
0.01404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,2,3.0,100,116,403,2.273022549689584,0.9078667481552484,0.0584795321637426,30,0.16666666666666666,0.5000000000000001,0.8660254037844386,-0.8660254037844385,0.5000000000000003,0.6234898018587336,0.7818314824680298
0.0261,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,1,2,2.1,138,25397,445,3.573936895145637,1.8484917070528744,1.00990099009901,31,0.45161290322580644,-0.9541392564000488,0.29936312297335804,1.0,0.0,0.6234898018587336,0.7818314824680298
0.00649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,9,2,4.1,90,323,454,0.0,1.222283516547775,0.0,30,0.9666666666666667,0.9781476007338056,-0.20791169081775987,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.01642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,1,2,3.8,120,4420,500,3.2711779387120377,1.39823302590647,0.4390671664789569,31,0.2903225806451613,-0.25065253225872064,0.9680771188662043,1.0,0.0,0.6234898018587336,0.7818314824680298
0.02467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,11,2,3.2,100,35112,500,4.311449224420972,1.9744860002625928,1.1547475630415334,30,0.5,-1.0,1.2246467991473532e-16,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.02658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,10,2,2.4,114,279670,500,3.993385741198666,1.363005688531375,0.4815007816571131,31,0.5806451612903226,-0.874346616144582,-0.4853019625310812,-1.8369701987210297e-16,-1.0,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,2,2.9,99,64037,500,4.7933047490430125,2.1486139689494874,1.1744542875340165,31,0.3225806451612903,-0.4403941515576344,0.8978045395707416,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.02668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,12,2,2.9,110,423,504,1.9566399433289652,1.667233860228003,0.8594754212263331,31,0.25806451612903225,-0.05064916883871264,0.9987165071710528,0.8660254037844384,-0.5000000000000004,0.6234898018587336,0.7818314824680298
0.02489,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17,11,2,2.7,99,75483,508,3.0090802285378917,1.5584271769782296,0.6784279446620384,30,0.5666666666666667,-0.9135454576426011,-0.4067366430757998,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.02583,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,2,2.2,97,27833,539,2.746388113117007,0.2504865165415624,0.3077992009727288,31,0.0967741935483871,0.8207634412072763,0.5712682150947923,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.01384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,2,3.1,96,154,540,1.5838827581724053,0.1802891298304142,0.2214116148456951,31,0.12903225806451613,0.6889669190756866,0.72479278722912,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.02324,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,2,2,2.5,83,30,540,2.51569548993522,1.362902450856781,0.4941230965201783,28,0.7857142857142857,0.22252093395631423,-0.9749279121818236,0.8660254037844387,0.49999999999999994,0.6234898018587336,0.7818314824680298
0.01415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,4,2,3.8,83,4016,542,2.216286688406634,1.3478826006363775,0.4147489451831431,30,0.8666666666666667,0.6691306063588585,-0.743144825477394,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,11,1,3.2,98,102223,543,2.5599035323826937,1.0083214867968833,0.6245150830872561,30,0.03333333333333333,0.9781476007338057,0.20791169081775931,0.49999999999999933,-0.866025403784439,1.0,0.0
0.00546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,11,2,2.6,98,73,573,3.0530701132105724,1.676256933629597,0.0,30,0.9333333333333333,0.913545457642601,-0.40673664307580015,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.02585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,29,7,2,2.7,118,233121,600,4.335354195205602,1.4767498744260354,0.4220948410630536,31,0.9354838709677419,0.9189578116202306,-0.3943558551133187,-1.0,1.2246467991473532e-16,0.6234898018587336,0.7818314824680298
0.01724,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,2,3.1,93,20594,635,2.9279313297414586,1.512335241136536,0.6659718603439291,30,0.16666666666666666,0.5000000000000001,0.8660254037844386,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.02552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,4,2,3.8,137,11365,648,2.317535049405219,0.6262162913539061,0.7694980024318221,30,0.6,-0.8090169943749475,-0.587785252292473,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,2.6,110,113006,675,4.080804321948098,1.2054132859223676,0.2646054079092119,31,0.06451612903225806,0.9189578116202306,0.39435585511331855,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,9,2,2.5,83,38837,677,4.149745955402604,1.4753444322649414,0.5669115298626637,30,0.13333333333333333,0.6691306063588582,0.7431448254773941,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.02334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,2,2,3.1,113,23283,700,2.9618727949597528,1.0223507531101257,0.0584795321637426,28,0.25,6.123233995736766e-17,1.0,0.8660254037844387,0.49999999999999994,0.6234898018587336,0.7818314824680298
0.01086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,6,2,3.0,81,80,727,0.0,1.0895233239202593,0.1808812460193387,30,0.7333333333333333,-0.10452846326765423,-0.9945218953682733,-0.8660254037844385,0.5000000000000003,0.6234898018587336,0.7818314824680298
0.02412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,3.3,104,19030,740,3.547293284214401,1.377091837528537,0.3217756410615594,30,0.03333333333333333,0.9781476007338057,0.20791169081775931,0.49999999999999933,-0.866025403784439,1.0,0.0
0.01403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,9,2,3.4,107,5834,756,3.1349702296147894,1.728025094388935,1.4095304267268831,30,0.06666666666666667,0.9135454576426009,0.40673664307580015,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,25,8,2,3.0,116,99007,762,3.414553369065868,1.2652751427893436,0.3006195356377743,31,0.8064516129032258,0.34730525284481945,-0.9377521321470808,-0.8660254037844388,-0.4999999999999997,0.6234898018587336,0.7818314824680298
0.02334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,2,3.0,99,64195,848,4.38411039139746,2.113166374256083,1.3345567154338522,30,0.23333333333333334,0.10452846326765346,0.9945218953682733,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.00774,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,3,2,1.8,91,158,860,2.3997297827524235,1.410338956808433,0.4824271900874298,31,0.8064516129032258,0.34730525284481945,-0.9377521321470808,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.02372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,5,2,3.6,106,7125,876,0.0063492063492063,0.5479972218929599,0.8187283923638544,31,0.9032258064516129,0.8207634412072763,-0.5712682150947924,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.02334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,7,2,2.9,86,3597,879,3.22866668362485,0.9879407351461578,0.023391812865497,31,0.6774193548387096,-0.440394151557635,-0.8978045395707414,-1.0,1.2246467991473532e-16,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,2,2.7,98,60561,889,2.695602030498645,1.775426253501931,0.9991613762394916,31,0.1935483870967742,0.3473052528448203,0.9377521321470804,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27,2,2,1.5,85,871475,894,3.8579768827605747,1.4608716478132888,0.5769208499797348,28,0.9642857142857143,0.9749279121818235,-0.22252093395631464,0.8660254037844387,0.49999999999999994,0.6234898018587336,0.7818314824680298
0.02324,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,9,2,3.1,64,21,898,0.0,1.19682666945133,0.287997220774709,30,0.36666666666666664,-0.6691306063588579,0.7431448254773945,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.01443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,2,3.7,99,1925,911,0.0,0.9991468637570876,0.0350877192982456,30,0.43333333333333335,-0.913545457642601,0.40673664307580004,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.02587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6,2,1.3,90,106307,943,4.680818205804871,2.7141081391447925,2.421132945213027,30,0.16666666666666666,0.5000000000000001,0.8660254037844386,-0.8660254037844385,0.5000000000000003,0.6234898018587336,0.7818314824680298
0.02587,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,3,2,2.0,98,215260,954,2.959255543912309,1.3527072477726976,0.400223383968278,31,0.9354838709677419,0.9189578116202306,-0.3943558551133187,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.02334,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25,12,2,2.6,90,5351,976,4.6215317739506,1.4127298705041882,0.3672051415667882,31,0.8064516129032258,0.34730525284481945,-0.9377521321470808,0.8660254037844384,-0.5000000000000004,0.6234898018587336,0.7818314824680298
